,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X000568.SZ,X002304.SZ,X600690.SH,X600031.SH,X300124.SZ,X600104.SH,X300014.SZ,X000725.SZ,X002371.SZ,X000063.SZ,X600703.SH,X000338.SZ,X002129.SZ,X000625.SZ,X300142.SZ,X002241.SZ,X003816.SZ,X000661.SZ,X002049.SZ,X000100.SZ,X000596.SZ,X601877.SH,X002179.SZ,X600460.SH,X000157.SZ,X002074.SZ,X600584.SH,X000799.SZ,X002007.SZ,X600183.SH,X600702.SH,X002414.SZ,X600741.SH,X002236.SZ,X601799.SH,X600089.SH,X000800.SZ,X600779.SH,X000066.SZ,X300146.SZ,X300003.SZ,X600884.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.191480330893633,0,0.0473880139979312,0,0,0.0202670612149489,0.0980432106259718,0.0444163503390301,0.0912854881050334,0.0424611537201908,0,0,0,0,0,0,0,0,0.045568506216941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870164991581721,0,0,0,0,0,0,0.0224458446336567,0,0.0614610004976176,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.162594534997853,0,0,0.144656613087551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0856053397339478,0.0945675855909856,-0.0475638849736811,0,0,0,0.185824892952393,-0.00233828722322943,0,0,0,0,0,0.123662762688048,0,0,0,0,0,0,0,-0.0822101571259769,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.123989634305338,0,0,0.102772618630017,0,0,0,0.139893483032848,0,0.16039253460263,0,0,0,0.00445990805775345,0,0.052814399224887,0,0,0,0,0,0.0130225975129493,0,0,0,0.0394727354915579,0.0171054905089363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236529106986869,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.211071264205248,0.160402981070173,-0.0759810231943645,0,0.0337693974487852,0,-0.0406618203314161,0,0,0,0,0,-0.0833237573180965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503709624863355,0,0,0.0272197909553592,0,0,0,0,0,0,0,-0.112136373516986,0,0,0,0,0,0,0.0950562305326123,0,0,0,0,0,0
X600276.SH,0,0,0,-0.0316141555825752,0,0,-0.0984278977065754,0,0.113308668459085,0,0.037419757183401,0.162358425876374,0,0,0,0,0,0,0,0,0,0.0586516575627821,0,0,0.0268348793364392,0,0,0,0,-0.0444694468383134,-0.0458612077431153,0.304051124402551,0,0,0,0,-0.343206055156586,0.027177139152537,0.192523866561132,0,0,0,0,0,0,0,0,0,0.0213037111165846,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0868764490110712,0,0,0,0,0,0,0.207286845419224,0,0,0,0,-0.0194514494975881,0,0,0.0427841881397132,0,0,-0.0759827432993103,0,0,-0.00475023775366105,0,0,0,0,0,0,0.104920758726314,0,0,0,-0.0229712389324697,0,0,0,-0.0592878404264784,-0.0230496529587499,0,0,0,0,0,0.0843871837291462,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.022683509756904,-0.043265149905742,0,-1.73472347597681e-18,0,0.092526565557562,0,0,0,0,0,0,0,0,0.0502542351566524,0,0,0.168639955752203,0,-0.0360434307378841,0,0,0.0582620031339511,0,0,0,0,0,0,0,0,0,0,0.0870607808000003,-0.09756513104701,0,0,0,0.140811545409815,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.653267042165581,0,0.0405745414560903,0,0,0,0,0.154234949712491,0,0,0,-0.267550248397472,0,0,0,0.0187475116237599,0,0,-0.0312403698000936,-1.14722706258587e-05,-0.0234539671844445,0.0373248944989011,0,0,0,0,0.128780565695038,0,0,0,0,0,0,0,0,0,0,0.0471176621012057,0,0,0,0,0,0.0405478947721934,0,0,0,0,0,0,0,0,0,0,0,-0.0601407195035007,0,0
X002304.SZ,0,0,0,0.282947599083985,0,0,0,0.144931503703261,0,0,0,0,0,-0.0679472050062885,0,0,0,0.208679313756947,0,0,0,-0.0136219959495077,0,0,0,0,0,0,0,0,0,0,0.0767061736940975,0,0,0,0,0,0,0,0,0,0,0,0,0.0866050114933597,0,0,0,0.140514050272387,0,-0.0126084154829229,0,0,0,0,0,0,0
X600690.SH,0,0,0.262844735703263,0,0.264901053070394,0,0,0.0199877134227317,0,0,0,0,0,0,0.246848630338352,-0.0501399903647086,0.0376393617139868,0,0,0,0,-0.077565040567855,0,0,0,0,0,-0.0173688147425029,0,0,0.0102372022085481,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0761997828920754,0,0,0,0,0,0,-0.0702519702255972,0,0,0,0,-0.019075114911962,0,0
