,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X600031.SH,X002475.SZ,X002241.SZ,X000338.SZ,X600066.SH,X002456.SZ,X601877.SH,X300124.SZ,X002085.SZ,X000100.SZ,X002508.SZ,X300003.SZ,X600271.SH,X600089.SH,X300136.SZ,X002294.SZ,X002008.SZ,X600522.SH,X600177.SH,X600487.SH,X000157.SZ,X002007.SZ,X600118.SH,X600867.SH,X600699.SH,X600372.SH,X600809.SH,X600566.SH,X000981.SZ,X000559.SZ,X000050.SZ,X600498.SH,X002074.SZ,X000623.SZ,X000581.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0497687672324766,0,0,0,0.00949449962023842,0,0,0,0,0.183256764321568,0,0,0,0,0,0,0,0.0820622554159666,0,0,0.0493508615420981,0,0,0,-0.173759540984491,0.115412063681985,0,0,0,-0.0548246872781477,0,0.138727056838477,0,0,0,0,0,0,0.341993066383366,0,0,0,-0.013389309613947,0,0,0,0,0,-0.00103041433379698,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.266127531678096,0,-0.0353261828049634,0,-1.73472347597681e-18,0,0.12698186418027,0,0.26279895013676,0,0.0632075460634467,0,0,0,-0.0228274459481858,0,0,0,0,0,0,0,0,0.0560787526407205,-0.0812160723946813,0,-0.217342714676941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166974248344001,0.0214957128716425,-0.00411203737720162,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0755896053075616,0.0673317231947336,0.0542049099739608,0,0,0.0134199758203934,0,0,0.13699690615086,0,0.425352167316088,0,0,0,0,0,0,0,0,0,0,0.229558669055412,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191753097164057,0,0,0,0,-0.126961123078378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0.0307331195028152,0,0,0.199430506034117,0.0789620490579727,0,0,0,0.0940114586572295,0,0,0,0,0.0715744593452255,0,0,0,0,0.169113678629633,0,0,0,0.026343438686369,0,0.0762356504788067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949751533452548,0,0,0,0,0.0328883129750863,0,0,0,-0.00345708583474018,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.00419348608920743,0,0,0,0,0.712039030417007,0,0.0471467255061871,0,0,0,0,0,0,0.0736495381025628,0,0,0,0,0,0,0,0.0280439104775926,0,0,0,0,0,0,0,0,0,0,0,0.0278315685637038,0,0,0,0.0490218420744217,0,0,0,0,0,0.00715030407874986,0.00836640187883133,0,0,0,0,0,0
X000725.SZ,0,0,0.0552873290502823,0,0,0,0,0,0,0,0,0,0.0187584861774913,0,0,0,0,0,0,0,0,0,0,0.33534201784435,0,0.0639221780386513,0,0.647534834438017,0.257340597022719,0,0,0,0,0,0,0,0,0,0,0,0.0256514672562127,0,0,0,0,0.0989731575429909,0,-0.125028897073451,0,0,0,0,0.0369726058666727,0,0,0,0,0,0
X600276.SH,0,6.93889390390723e-18,0.126436735603339,0,0.0197049102275443,0,0,0.00779798009405438,0,0,0,0.176144047598398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954757031004637,-0.0372971251717926,0,0,0,0,0,0,0,0,0,-0.0622507180553987,0,0,0,0,0,0,0,0,0,0,0,-0.170984810394864,0,0.00979022564586173,0.0232472970708193,0,0,0,0,0,0
X002304.SZ,0.231593637200068,0.183380062460781,0,0,0.264562144150775,0,0,0,0,0.241349177378996,0,0,0.00762852075414397,0,0,0,0,0,0,0,0,0.00301514586422512,0,0,0,0,0,0,0,0,-0.061601044206029,0,0,0,0,0,0,0,0,0,0,0.142186095537778,0,0,0,0,0,-0.0231215642226508,0,0,0,-0.0218195689589217,0,0,0,0,-0.212792655990663,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,-0.0788687895657826,0.198461798817709,0,0,0,0.0537223220344302,0,0,0,0,0,0.0105799947656954,0,0.145075933197716,0,0,0,-1.73472347597681e-18,0,0,0,-0.0563884551315968,0.0223848301769404,0,0,0.152184539345057,0,0,0,0,0,0.0140655969397295,0,0,0,0,0.138875515671551,0,0,0,0,0,-0.0134443835115271,-0.0165909489438998,0,0,0,0,0,0
X600690.SH,0,0.318871039805955,0,0.156787808479636,0,0.0289608790363575,0,0.0463842351895646,0,0,0,0.25604017447004,0,0,0.168718931215848,0,0,0,0,0,0,0,-0.101625657379919,0,0,0,-0.157589867899226,0,0,-0.0280070392626422,0.05921376175834,0,0.00947500556008697,0,0,0,0,0,0,0,0,0.0110224407448978,0,0,0,0,0.010864490140259,0,0,0,0,0.0210126526385984,0,0,0,0,0,0,0
