,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002129.SZ,X003816.SZ,X000725.SZ,X600031.SH,X000596.SZ,X002371.SZ,X000625.SZ,X002049.SZ,X000063.SZ,X002179.SZ,X000338.SZ,X600089.SH,X600703.SH,X002180.SZ,X300142.SZ,X000661.SZ,X600522.SH,X000733.SZ,X002241.SZ,X601877.SH,X000100.SZ,X002074.SZ,X600741.SH,X600460.SH,X000157.SZ,X600702.SH,X600584.SH,X600884.SH,X300003.SZ,X600487.SH,X000066.SZ,X002414.SZ,X002294.SZ,X000799.SZ,X600563.SH,X002007.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.165665993188269,0.177820078308796,0,0.168963101182696,0,0.119557692831433,0,0,0,0,0,0.0155146514123567,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.266098669042308,0,0,0,0,0,0,-0.1150403179183,0,0,0.0431100586052004,0,0,0,0,0,0,0,0,0,0,0,0,0.0341970114119262,0,0,0,0,0,0.0295291514572889,0,0,0,0,0,0
X000858.SZ,0.173908585835317,0,0,0,0.289539492061074,0.0691136321423321,0,0,0.0382601000389082,0,0.082761849119743,0,0,0,0,0,0,0,0,0,0,0.0339165064429672,0,0,0,0,0.0412477130477823,0,0,0,0,0,0,0,0,0,0,0,0.15567978491794,0,0,0,0,0,-0.0593568586453429,0,0,0,0,0,0,-0.018068016160576,0,0,0,0,0,0,0
X600809.SH,0.25090096777876,0,0,0,0.518839525155363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167682612340433,0,0,0,0,0,0,0,0,0,-0.0465026121891344,0,0,0,0,0,-0.040749550090544,0,0.162302879567673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194040480879522,0.188031338345341,0,0,0,0,0,0,0,0.184849832201985,-0.0478814284130938,0,0.0830047353146713,0.144808414718066,0.170674439507127,0.0140983182101859,0,0,0,0,-0.012997958200878,-0.0603909176740279,0,0,0,0,0,0
X000568.SZ,0.398671441157914,0.157245675042357,0.66993815961524,0,0,-0.0447276771466988,0,0,0,0,0,0,0,0,0,0,0,0.0273948702419426,0,0,0,0,0,0,-0.00306935436932839,0,0,0,0.0754853285638557,0.0758675084031579,0,0,0,0,0,0,0,0,0,-0.0502085089957159,0,0,0,0,0,0,0,0,0,-0.0380902031796742,0,-0.0244163486505685,0.0366373280205717,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.0135986978961993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344780993530645,0.130454738384522,-0.0534906308734404,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.167095145203446,-0.0513982946117503,0.0226376356893327,0,0.0179733420885582,0.00604834700304348,0,0.00103284992999172,0,0,-0.0223029735928752,0,0,0,0,0,0,0
X600690.SH,0.148003568206292,0,0,0,0.273625451487423,0,0,0,0,0,0.131212777052959,0,0,0.0549564685375767,0,0,0,0,0,0,0,0,0,0,0,0,-0.0576589155902576,0,0,0.00435299484814218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475108183700786,0,0,0,0,0,-0.0303863333218945,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.120309550254536,0,0,0.0931912701957489,0,0,0,0,0,0.0730545640534164,0,0,0,0,0,0,0,0,0,0.158765004684748,0,-0.100610114511748,0.293192944829244,0,0,0,0,0,0,0.0521049328059731,0,0,0,-0.0284049306125919,0,0,0,0,0,0,0,0,-0.0155536105615367,0,0,0,0,0,0,0
X002304.SZ,0,0.215112272826909,0,0,0.0481994570976178,0,0,0,0,0,0,0,-0.0654175220789687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236871985064835,0,0,0,0,0,-0.211261457883667,0.0285067699340152,0,0,0,0.0912716028947574,0,-0.0245143875138238,-0.02692427139902,0,0,0,0,0,0
X300124.SZ,0,0,-0.157045045495651,0,0,0,0,0.366954262223073,0,0,0,0,0.0597253657375523,0,0,0,0,0,-0.0830329760626837,0,0.0220427711450743,0,0,0,0,-0.0557101142366247,0,0,0.0655534519122166,0,0,0,0,0.0256512480227389,0.202665572992593,0,0,0,0,0,0,0,-0.113988753613049,-0.0277515253954682,0.0649280252849619,0,0,0,0,0,0,0.0151676134992437,0,0,0,0,0,0,0
