,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X000725.SZ,X600809.SH,X000661.SZ,X000063.SZ,X003816.SZ,X600690.SH,X002241.SZ,X000596.SZ,X600703.SH,X000338.SZ,X000100.SZ,X300124.SZ,X002007.SZ,X300142.SZ,X300014.SZ,X600741.SH,X002371.SZ,X002049.SZ,X000625.SZ,X000800.SZ,X000157.SZ,X300003.SZ,X601877.SH,X002236.SZ,X002414.SZ,X002129.SZ,X600584.SH,X300136.SZ,X600183.SH,X002179.SZ,X000066.SZ,X000977.SZ,X601799.SH,X600118.SH,X002294.SZ,X002456.SZ,X002185.SZ,X000050.SZ,X002008.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0927197331751229,0,0,0,0,0,0.223061976617798,0,0,0,0.0808131448720734,0,0,0,0,0,0.0450409189466958,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.056593670134292,0,0,0,0,0,0,0,0,0.0248035272367834,0,0,0,0,0,0,0,0.111249588987846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.267354741054606,0,0,0.393601040245694,0,0,0,0,0.0682971891144269,0.0085438888517015,0,0,0,0,0,0,0,0,0,0.0168409585518598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212891595105439,0.0554364164818169,0,0,0,0.0291875616133075,0,0.0373458839519554,0.0375936523476552,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.142183825731637,0.0396549287591642,0,0,0,0,0,0,0,0,0,0.00151579654567439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289958765903095,0,0,0,0,0,0,0,0.230215001652959,0,0,0,0,0,0,0,0.0104753046794989,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334072017965173,0,0,0,0.069094065704813,0,0.0465983298747256,0,0,0,0,0,0,0,0,0,0,0,0,0.0239544136224239,0,0,0,0,0,0,0.0337155020065162,0.0356023700872149,0.104824331072204,0,0.126662752705459,0.0177647587020002,0,0,0,0.0206730076833053,-0.0142873211742314,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0549924084101897,0,0,0,0,0,0.04781509857454,0,0,0,0,0,0.25328621324476,0.0334183935869942,0,0,0,0,0,0,0,0,0,0,0.0479486381237434,0,0,0,0,0,0.0922285501930444,0,0,0,0.0361869254043635,0,0,0,0.161290057533135,0,0,0,0,-0.086291419179069,0,0,0,0,0.0130371130204142,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0198030918605085,0,0,0.056118111664599,0,0,0,0,0,0,0,0.0281363030521701,0.0562448085536387,0,0,0.222370586525613,0.00448803335609577,0,0,0,0,0,0,0.101820880355807,0,0,0.0570096135300963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195113758497699,0,0,-0.0443890955058933,-0.0113391018147879,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0864625444985968,0,0,0,0,0,0,-0.0076642628340138,0,0.0994667386635826,0.0857779723992134,0,0,0,0,-0.0201657188215531,0,0.0997686204801549,0,0,0.0417165831212831,0,0,0,0.137880982562104,-0.0105291542429424,0,0,0,0,0,0.0402892631197125,0,0,0,0,0,0.0583419087598045,0.0288510737926745,0,0,0,-0.0328972191178578,0,0,0,0,0,0,0
X000568.SZ,0,0.163864713216938,0,0,0,0,-0.103903320357877,0,0.536012976859711,-0.224049300284399,0,6.93889390390723e-18,0,0,0,0,0.146073239248789,0.153482442976636,0,0,0,0,0.0586804080202001,0,0,0,0,0,0,0,0,0,0,-0.0223702514448762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00791197746950696,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.0729694384074347,0,0,0,0,0,0.402735361861836,0,0,0,0.197528104626652,0,0,0,0,0,0,0,0,0,0,0,0.0334234351403022,0,0,0.0226748095532043,0,0,0,0,0,0,0,0,0.0568335629962768,0,0,0,0,0,0,0,-0.00690425076119318,0,0,0,0,0,0.0726624205854956,0,0.0223822811569843,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363082513297071,0,0.27619727060761,0,0,0,0.0278571794182427,0,0.102041739340213,0,0,0,0,0.34588499907956,0,0,0,-0.0239759380762813,0,0,0.0147761937003724,0,0,0,0,0,0,0,0,0,0,-0.0277463946256965,0,0,-0.0196518516414647,0.0197873230912768,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.102418065719558,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.458616892836259,0,0,0,0,0,0,0,0,0,0.166917604110038,-0.112412851817468,0,0,0,0.145092426903262,0.00232877239286812,0,0.0558114490622855,0,0,0,-0.0166375308786012,0,0,6.93889390390723e-18,0,0.174214661851209,0,0,0,0.0315844836348979,0.0422451386943262,0,0,0,0,0,0
