,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600741.SH,X600031.SH,X002475.SZ,X002241.SZ,X600066.SH,X002236.SZ,X000338.SZ,X000100.SZ,X601877.SH,X600271.SH,X600118.SH,X300124.SZ,X002508.SZ,X002085.SZ,X002456.SZ,X600089.SH,X000157.SZ,X600372.SH,X600177.SH,X600522.SH,X002007.SZ,X300003.SZ,X300136.SZ,X000981.SZ,X600487.SH,X002294.SZ,X600699.SH,X600867.SH,X000066.SZ,X002074.SZ,X000559.SZ,X002180.SZ,X002008.SZ,X600435.SH,X002292.SZ,X600498.SH,X600809.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.136556454101601,0,-0.0112608339450667,0,0,0,0.0318954851125862,-0.0637500917082039,0,0,0,0,0.118419804715005,0,0,0,0,0,0,0,0,0,0,0.0246912345238556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527563557434479,0,0.00731752287939622,-0.000165323294315854,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0430499661315229,0,0,0,0,0.0611396204496633,0,0,0,0.0736836464503834,-0.00773870576298625,0,0,0,0,0,0,0,-0.0183632912198523,0,0.0798976769358938,0,0,0,0,0,0,-0.0377540999720777,0,0.142938837016138,0,0,0,0,0,0,0,0,0.0824122896513037,0,0,0,0,-0.00881581807902821,-0.0148656956084786,0,0,0,0,0,0
X002415.SZ,0,0,0,0.222060257752162,0,0,0,0,0,0,0,0,-0.0472220768038699,0,0,0,0.130611057754648,0,0.221435902883822,0.0782306756163676,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0848106848164282,0,0,0,0,0.0363269459548988,0,0.24957468186707,0,0,0,0,-0.0720385655708605,0,0,-0.208173458652117,0,0,-0.0086295638725498,-0.000648888516128418,0,0,0,0,0,0
X000651.SZ,0.0601627742288308,0,0,0,0,0.0636426420185727,0,0,0,0,0,0,0.272388780014367,0,0,0.0163450814037688,0,0,-0.00606248780102625,0,0,0,0,0,0,0,0,-0.0704080481340628,0,0,-0.0239758863541228,0,0,0,0,0,0,0.0522628697430352,0,0,0,0,0,0,0,0,0,0.0179861341043673,0,0.041851650010089,0,0.019526725850085,-0.00318341763111403,0,0,0,0,0,0
X000858.SZ,0,0,0,0.038980778474201,0,0,0,0.198783353137944,0,0,0,0.0321832595895226,0.232157349180689,0,0,0,0,0,0.10405599380361,0,0.0601370975451361,0,0,0,0,0,0,0.0245738725829403,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.124440054570595,0,0,0,0,-0.0127706218434729,0,0,0.00638107898165276,0,0.00351344303458015,0.00265316011544108,0,0,0,0,0,0
X000725.SZ,0,0,0,0.304566787981167,0,0,0,0,0,0,0.0254926614352915,0.0515162144852949,0,0,0,-0.188165372496749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660104612362847,0,0,0,0,0,0.0802314777891656,0.255446993365288,0,0,0,-0.0337867859797769,0.0216066325998246,0,0,0,0,0,0
X600276.SH,0,0,0,0.0578953762247044,0,0,0,0.0121941453999309,0,0,0,0.234649907097842,0,0,0,0,0,0,-0.0542808520477469,0,0,0,0,0,0,0,0,0.0190702756990063,0,-0.111401548609814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101428832340758,0,0,0,0.0378165364657498,0.0666155271764626,0,0,0.00588838307956217,-0.150683854099438,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0999946532876997,0,0,0,0,0,0,0,0.343177791799128,0,0.0519295191889872,0,0,0,0,0,0.123780250194027,0,0,0,0,0,0,0.0108988421184091,0,0,0,0,0,0,0,0,0,0.109907034951911,-0.173095762741099,0,0,0.112837337799643,-0.0498619768859146,0,0,0,-4.33680868994202e-19,0,0,0.0818483388864165,0,0.0168879913384005,-0.00577719875489301,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16393475567249,0,0,0,0.165640529962679,0.168308034938164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08109865108186,-0.122752975986334,0,0.0706675905430549,0,0,0,-0.0150136367281583,0,0,0,0,-0.0461328868826214,0.151967376749785,0,0,0,-0.0123420332762386,0.00739033397978895,0,0,0,0,0,0
X600690.SH,0,0,0,0,1.38777878078145e-17,0,0,0.159686549554346,0,0,0,0,0,0.0819172765496722,0,0,0,0,0,0.0265991859992143,0,0,0,0,0,0,-0.0114804898553534,0,0,0,0,0,0,0,0,0.0282516626417358,0,0,0,0,0,-0.0162907009948268,0,0,0,0.0708178338169249,-0.0421075723090848,0,0,0.0749691270727086,0,-0.00504666111022396,-0.0134575474954044,0,0,0,0,0,0
