,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X000651.SZ,X600690.SH,X600809.SH,X002371.SZ,X000063.SZ,X600104.SH,X003816.SZ,X000568.SZ,X300124.SZ,X000725.SZ,X600031.SH,X000338.SZ,X000625.SZ,X002304.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X002241.SZ,X600418.SH,X002179.SZ,X000977.SZ,X002463.SZ,X600584.SH,X600089.SH,X000157.SZ,X600066.SH,X600183.SH,X600703.SH,X600372.SH,X002028.SZ,X600741.SH,X002049.SZ,X002236.SZ,X601877.SH,X600522.SH,X000066.SZ,X000921.SZ,X002156.SZ,X600460.SH,X600839.SH,X002281.SZ,X000800.SZ,X601799.SH,X000988.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0280231020351858,0,0,0,0,0.0409195084334489,-0.000497188889227181,0,0.24490348538517,0,0,0,0,0,0,0.195368244961731,0,0,0,0,0,-0.0296098528370897,0,0.078188174038899,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228960737217244,0,0,0,-0.01459261993978,-0.022697350879858,0,0.00639204798054972,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.0356561160924268,0,0,0,0,0,0,0.277638537881874,0,0,0,0,0.470448759954923,0,0,0,0,0,0,0,0,0,0.0221401101232241,0,0,-0.061826861552352,0,0.0237439629567841,0,0,0,0,0,0,0.0840716231310761,0,0,0,0,0,-0.0445100361116503,0,0,0,0.0262735917949237,0,0,0,0,0,0,-0.00047424429062836,-0.00300975127900069,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0.014610076524007,0,0,0.0946163818332865,0,0,0,0,0,-0.0172681645705137,0,0,0,0,0.0301358143662719,0.300087828784193,0.0417455017055248,0,0.0443859019549599,0.102550047059698,0,0,0,0,0,0,0,0,0.121338473180185,0,0,0,0,-0.0442926641985145,0,0,0,0.0856294779743257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180451915679913,0,0,0,0,0,0,0,0,0,0,0.263585453175807,-0.0647401422177886,0,0,0,0,0,0,0.0324381498092871,0,0.0621016510540525,0,0,0,0,0,0,0,0,0,0,0.0416364930080441,0,0.0744858988092477,0,0,-0.125232247263306,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0785482222333012,0.0351793740787274,0.140431995713926,0,0,0,0.00319990331256766,0,0,0,0,0,0,0,0.0163432422731368,0,0,0,0,0,0.107089644454789,0,0,0,0,0,0,0,0,0.0279007720404505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131749094810841,-0.011582996223051,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.11899407202007,0,0,0,0.0288306847011761,0,0,0,0,0,0,0,0,0,0,0,0,-0.112469787165544,0,0,0,0,0,0,0.285211795146193,0,0,0,0.154385238616542,0.0426871445722551,0,0,0,0,-0.000180998695366181,0,-0.0325502029004483,0,0,0,0,0,0.0671352229731197,0,-0.00358839502598437,0,0.0187842163647998,-0.0222393450297495,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0463363803165054,0,0,0,0,0,0.0397439460529202,0,0,0,0,0,0,0,0.0369199697077845,-0.0306624296000044,0,0.00315902733976806,0,0,0,0,0,0,0,0.0721411112243017,0.228548502691239,0,0,0.117596052282187,0,0,0,0,0,0,0.330178813992433,0,0,0.0338939128153819,0,0,0,0,0,0,0.0168126816832722,-0.00367575244084685,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.026080649596748,0,0,0.526844125963058,0,0,0,-0.00402747225582037,0,0,0.247351271284554,0,0,0,0.00403228936545036,0,0,0,0,0.0327092937576944,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319126783543064,0,0,0,0,0,0,0,0,0.0271615682242088,0,0,0,0,0,0.0516518636853183,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,-0.0387736683853895,0,0,0.340145141369859,0,0,0,0,0,0,0,0,-0.06354953533924,0,0,0.221633812492296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145872445072102,0,0,0,0,0,0.051767414477865,0,0,-0.000820485990211811,0.00102080829468313,0,0,0,0.0224096935051645,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.011332755638664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289654224709395,0,0.28627853259979,0,0,0,0,0,0,0,0,0.0555603650880884,0,0,0,0.103010715938043,0,0,-0.118325146919034,-0.0792759385696445,0,0,0,0.043213861062749,0,-0.0323653735444112,0,-0.0299082373038244,0,0,0,0,0,0
