,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600703.SH,X600271.SH,X600690.SH,X600741.SH,X002292.SZ,X600066.SH,X000100.SZ,X002241.SZ,X600031.SH,X002236.SZ,X600118.SH,X600177.SH,X002506.SZ,X600372.SH,X000559.SZ,X002475.SZ,X000157.SZ,X000338.SZ,X000568.SZ,X002085.SZ,X300003.SZ,X002074.SZ,X300124.SZ,X002294.SZ,X600089.SH,X600867.SH,X002456.SZ,X002426.SZ,X002465.SZ,X002508.SZ,X002007.SZ,X600498.SH,X000869.SZ,X002180.SZ,X002008.SZ,X601877.SH,X000977.SZ,X000050.SZ,X002049.SZ,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.171521441653653,0,0.0984015815962054,0.353027004112119,0,0,0,0,0,0,0,0,-0.0249803659522946,0,0,0,0,0,0,0,0,-0.102062207208202,0.0809210267912417,0,0,0,0,0,0,0,-0.082231079706996,0,0,0,0,-0.134747076239205,-0.0486126533126039,0,0,0,0.0419194278131652,0.0673142763978175,0,0,0,0,0,0,0,-0.019123608561476,0.0681990483836756,0,-0.0200776317767449,0,0,0,0
X600104.SH,0.0608647046673272,0,0.19213717813978,0,0,0,0,0,0,0,0,0,0,0.394496295678327,-0.033486166973298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0037142107259624,-0.020490021369805,0,0,0,0,0,0
X002415.SZ,0,0.00957453998956299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440125583941843,0.0412511142676523,0,0,0,0,0,0,0.0202669411843864,0,0,0,0,0,0,0.101582130696456,0,0,0,0,0.069472381341426,0,0,0,0,0,0,0.0510165730664472,0,0,0.00237831035877461,0.0301868591733339,0,0,0,0.0574606276156783,0,0,0,0,0,0,0
X000651.SZ,0,0,0.00911948517043161,0,0,0,0,0,0,0.0672251893898254,0,0,0,0,0,0,0,0,0,0,0,0,0.0203113656651659,0.0439294523727098,0,0,0,0,0,0,0,0,0,0,0,0,0.0171041926972708,0,-0.0611859840818224,0,0,0,0,0.0175664115964177,0,0.0105249113639135,0,0,0.00744127353593682,0.0181578596574396,0,0.0459413397073834,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0186588585982066,0,0,0,0,0,0,0,0,0.113196511469651,0,0,0,0,0.0554074902824614,0,0,0.106867643435362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482884913575867,0,0,0,0,0,0,0,0.0333504703313047,0,0,0,0,0,0,0.000945756140753633,0,0,0,0,0,0,0
X002304.SZ,0.306122392825704,0,0,0,0.375260603365364,0,0,0,0,0,0.138432689083199,0,0,0,0.0366674251313955,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.067449218027824,0,0,0,0,0,0,0,0,0,0,-0.0652956355162849,0,0,0.0857688608259686,0,0,0,0,0,0.111208180586386,0,0,1.0842021724855e-19,0,0,0,0,0,0,0
X600276.SH,0,0.152297644684672,0,0,0,0,0,0,0,0,0,0,0,0.0683139774982224,0.062304474232562,0,0,0,0,0,0,0.00402465154891166,-0.134461233864784,0,0,0,0,0,0,-0.0321043484267111,0,0.141522039408339,0,0,0,0,0,0,0.0910158363713454,0,0,0,0,-0.0738623155812011,0,0,0,0,0,0.102309179045789,0,-0.00872323790310154,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780665086238526,0.133110657173513,0,0.17964309397757,0,0,0,0,0,0,0.0110258452999564,0.0811906138875868,0,0,0,0.122629331046309,0,0,0,0,0,0,0,0,0.00362269689490802,0,0.0672564835412521,0,0,0,0.00725965365483864,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.133645932800264,0,0,0,0,0,0,0,1.73472347597681e-18,0.0161550697522151,0,0,0.0466212617465854,0.0377428181502453,0,0.10196231535963,0.0550958686356694,0,0,0,0,0,0,0.0191915563314455,0,0,0,0,0,0.0271568671393255,0.0806087027406401,0,0,0,0,0,0.0449570173399388,0,0.0155454016296954,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0101156373226062,0,0,0,0,0,0,0,0,0,0,0,0,0.521863279272676,0,0.0465077604214565,0.152713690891894,0,0,0,0,0.0307391769240959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355260754341449,0,0,0,0,-0.0413989234468708,0,0,0,0,0,0,0
X600703.SH,0,0,0.0450680080013544,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0110437404434374,0,0,0,0.00289996264186729,0,0,0,0,0,0,0.0548492263508424,0,0,0,0,0,0,0,0,0,0.29433757619372,0,0,-0.0291608121442485,0,0.0903988611629512,0,0,0.00743772709550463,0,0,0,0,0.0999365633919531,0,0.0171670379479337,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0948458118708972,0,0,0,0,-0.241527270795249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179873640102115,0.0648585035235695,0,0,0,0,-0.0815694299820926,0,0,0.139252912823303,0,0.0642051391952243,0.0308176729745312,0,-0.0419466547497467,0.306648615068353,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0858759857827374,0.0862991059800137,0,0,0,0,0,0,0,0.426567108166944,0,0,0,0.139142628349599,0.126935220870638,0,0,0,0,-0.0681241222274065,0.102097517506071,0,0,0,0.119169741909402,0,-0.111939261975065,0,-0.17971179181591,0,0,0,0.179590205463614,0,0.0978570738065234,-0.281957266356601,0,0,0,0,0,0
X600741.SH,0,0.286540425195184,0.183700629059931,0,0,0,0,0,0,0,0,0.0290186817419424,0,0,0.0153017361969949,0,0,0,0.191889937842903,0,0,0,0,0,0.0122212963127459,0,0,0.0282408938263518,0,0,0,0,0,0,0,0,0.0375860707504586,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.00467163069968363,0.0624414593222269,0,0.0185480992543785,0,0.00882018991620962,0,0,0,0,0,0,0
