,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600741.SH,X000568.SZ,X000338.SZ,X002475.SZ,X002241.SZ,X000100.SZ,X600066.SH,X002236.SZ,X600118.SH,X600271.SH,X002456.SZ,X601877.SH,X000157.SZ,X600177.SH,X300124.SZ,X600372.SH,X600522.SH,X002085.SZ,X600089.SH,X002007.SZ,X000981.SZ,X300003.SZ,X002294.SZ,X600867.SH,X600699.SH,X002508.SZ,X000559.SZ,X000066.SZ,X002180.SZ,X600498.SH,X002292.SZ,X002074.SZ,X000623.SZ,X300136.SZ,X002426.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0848506222276126,0,0,0,0,0,0,0,0,0,0,0.129278502939182,0.0205227587072849,0,0,0,0,0.190734522122025,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107989797310472,0.00739532200083796,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,-0.0743565704783831,0,-0.0182411666204599,0,0,0,0,0,0.796114199210507,0,0,0,0,0,0,0,0,0,0.0706868016284703,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0301291550643167,0,0,-0.100024330240639,0,0,-0.0791917338561257,-0.000397166753749318,0,-0.137489195467148,0,0,-0.0744524441343248,-0.00310040438819552,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.137667959907689,0,0,0,0.0388855002380404,0,0,0,0,0.00942125057410924,0,0,0.0515914207510081,0,0,0,0,0.0414528504111805,0,0,0,0,0,0,0,0,0,0,0,0,-0.115911743527884,0,0,0,0,0,0,0,0.0579369834315816,0,0.20490575607962,0,0,0,0,0,-0.0163032431132438,0,0.000664154461053645,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.210581148496711,0.961952283696705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136808933338368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264980340060856,0.098128616740361,0,0,0.356607816694511,-0.0390464237864192,0,0,0,0.00962531381573757,0.011937331295326,0,0,0,0,0,0
X000858.SZ,0.158861749896303,0,0,3.46944695195361e-18,0,0,0,0,0.0228266069298282,0,0,0.0246290295693788,0.0114787739882618,0.163285918904841,0.233477866835179,0,0,0,0,0.0995999995428202,0,0,0,0,0.0981562974993209,0,0,0,0,0,0,0,0,-0.083791505100191,0,0,0,0,0,0,0,0,0,0,0,0,0.057869175181178,0,0,0,0.00480046564864295,0.00350002250650503,0,0,0,0,0,0
X002304.SZ,0,0.16929479940124,0,0.0217714169651338,0,0,0,0,0,0.0433296530124552,0,0,0,0.198602366130117,0.0812320419260728,0,0,0,0,0,0,0,0,0.0837610098852463,0,0,0,0,0,-0.0413200995623036,0,0,0,0,0,0,0,0,0,0,0.0695189381124816,0,0,0,0,0,0,0,0,-0.0767669109150868,0.00590065793885047,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0521836971875843,0,0,0.0741437398383554,0,0,0,0.185229093232639,-0.0706052452994537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0373204633834169,0,-0.0062767414643535,0,0,0,0,0,0,-0.0844393042236808,0.024328023700533,-0.00385871471108602,0,0,0,0,0,0
X000725.SZ,0,0,0,0.136736886968444,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.178605352253399,0,-0.301688951987861,0,0.293268509591979,0,0,0,0,0,0,0,0,0,0,0,0.011305109743317,0,0.0508648536341898,0,0,0,0,-0.0780009434767556,0,0,-0.0782568044534184,0,0,0.140168641579007,0,0.0185793278241076,0,0,0,0,0.0110926943316205,-0.0327429784361539,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0954301172294872,0,0,0,0,0,0.0102908479261791,0,0,0.100742638895771,0.443196577131404,0,0,0,0,0,0,0,0.07103586073443,0,-0.0342760727955025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113641450669226,0,0,0,0,0,-0.00243986196711676,0,0,0,0,0,0
X000063.SZ,0.185844444208114,0,0,0.209290275807229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203041020946217,-0.0827499888247674,0,0.0019797077001139,0,0,0,-0.0422196411893215,0,0,0,0,0,0.163447303414631,0,0,0,0,0.0622548642217228,0,0,0,0,0,0.00620870345704269,-0.0666256021132909,0.133183569758715,0,0,-0.0129482412275057,0.0170421098397601,0,0,0,0,0,0
X600690.SH,0,0,0,0.205962167459335,0,0.0201125193300049,0,0,0,0,0,0,0,0,0,-0.0120009159974025,0,0,0,0,0,0,-0.113367599422856,0,0,0,0,0,0,0.0711636483159638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00371040856785941,0,0.0486934522177285,-0.171062667049748,0,0,0.000899360097735054,0,0,0,0,0,0
X600703.SH,0,0,0.0865267201532722,0,0,0.165334808799867,0.0726412859054878,0,0,0,0,0,0.163058288755404,0,0,0,0,0,0,0,0,0,0.105412273052749,-0.211584339911508,0.195215941426295,0,0,0,0,0,0,0.280689403209028,0,0,0,0,0.254043173195831,-0.0490445219648333,0,0,0,0,0,0,0,0,0,0,0,0.263133976747294,0.0274311124049134,-0.016582051838069,0,0,0,0,0,0
X600031.SH,0,0,0,0,0.0589354117975177,0,0,0,0,0,0,0.0821062916242913,0,0.0299846818161162,0,0,0,0,0,0,0,0,0,0,0,0.739129118457822,0,0,0,0,0,0,0,0,0.0542568167056207,0,0,0,0,0,0,-0.0441605530924492,0,0,0,0,0,0,0,-0.160109338824419,0,0.0063999148313539,0,0,0,0,0,0
