,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X000338.SZ,X000157.SZ,X600372.SH,X600741.SH,X600089.SH,X002241.SZ,X000100.SZ,X600703.SH,X600066.SH,X600118.SH,X000581.SZ,X600271.SH,X000550.SZ,X601877.SH,X000568.SZ,X000623.SZ,X002236.SZ,X000800.SZ,X002475.SZ,X600177.SH,X000869.SZ,X600582.SH,X002294.SZ,X002129.SZ,X300124.SZ,X000559.SZ,X600839.SH,X000400.SZ,X000050.SZ,X600809.SH,X002456.SZ,X002007.SZ,X000977.SZ,X002465.SZ,X002292.SZ,X600252.SH,X000596.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.261044198825934,0,0,0.14159246519105,0,0,0,0,0,0,0.587304544793217,0,0,0,0,0,0,0,-0.04701315829744,0.00474987878560496,0,0,0,0,0.0234563177669415,0,0,0,0,0,-0.0519117376931892,0,0,0.00829044702881584,0,-0.171588186826716,0,0,0,0,0.206895088912734,0,0,0,0,0,-0.0146090468082331,0,0,0,0,0,0,0
X600519.SH,0,0,0.0476690750076431,0.0711376534998928,0,0,0.292988793522261,0.123003521112542,0,0,0.233076947352733,0,0,0,0,0,0,0,0,0,0.0643892246556413,0,0,0,0,0,0,0,0.0423263356187425,0,0,0,0,0,0,0,0,0,-0.039986284581981,0,0,0,0,-0.0247343086595957,0,0,0,-0.1660689211148,0.0179452977166266,0,0,0,-0.00881803573746537,-0.120891622498115,0,0,0,0,0
X000651.SZ,0.15674688750192,0,0,0.13004834486288,0.070635001199995,0,0,0,-0.0699158635240442,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.313653968409127,0.0232114584443129,0,0,0,0,0,0,0.0417920673022425,0,0,0.0664294317649707,0,0.0747436435552896,0,0,0,0,0,0.0424756007998289,0,0,0,0,0,0,-0.0719194654694324,-0.0153804560667595,0,0,0,0,0,0
X000725.SZ,0,0.121316784129589,0,0,0,0,0,0,0,0,0,0,0,0.0608028158013296,0,0,0,0,0.414217796472713,0,0,0.0670882169296675,0,0.0753393523880729,0,0,0,0.092860858017677,0,0,0,0.177500762506173,0,0,0,0,0,0,0,0,0,0,0,0.0226278317638257,0,0.0663861049762832,0,0,-1.0842021724855e-19,0,0,-0.0574762942170333,-2.16840434497101e-19,-0.0527413976144709,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0813113040982211,0,0,0,0,0.0257841019695093,0,0,0,0,0,0,0,0,0,0.0153123958586765,0,0,0,0,0,0,0,0.129787610630209,0,0,0,0,0.287740143820702,0,0,0,-0.0404149102977265,0,0,0.110979712038081,0,0,0,0,0,0,0,0,0,0,-0.0469442902027806,0.00296670676211399,0,0,0,0,0,0
X000625.SZ,0.383845246426109,0,0,0,0.0103811808022135,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0379711399976387,0,0,0.115257379008766,0.159345400178842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106054285605126,0,0,0,0,0,0,0,-0.028839491581321,-0.00388254424959218,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,-0.0285322372906341,0,0,0,0,0,0,0,0,0.319616063719992,0,0,0,0,0,0,0,0,-0.0369205519285307,-0.165181062075818,0,0,0,0,0,0,0,0,0,0,0,0,0.269637390675868,0,0,0,0,0,0,0.300903819448114,0,0,0,0.0158738979209738,0,0,0,0,0,0
X000858.SZ,0,0,0.229078842244714,2.16840434497101e-19,0,0,0,0,0,0,0.0752418274882218,0,0,0,0,0.162655202452483,0,0,0.0420636275160544,0,0,0,0,-0.00467158896054862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0110576125710834,0,0.00664032056171657,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.00304051249628098,0,0,0,1.02374070254306,0,0,0,0,0.0329729528905581,0,0,0,0,0,0,0,0,0.0372535404740282,0,0,0,0,0,0,0,-0.00446257924602033,0,0,0,0,0,0,0,0,0,0,0,0,0.104952908692921,0,0,-0.0510604697753902,-0.00739173263657953,0,0,0,0,0,0
X000063.SZ,0.0988081141582959,0,0,0,0,0,0,0,0.0886817492000875,0,0,0,0,0,0,0,0,0,0,0.102135988588584,0,0,0,0,0,0,0,0.0134402727470563,0,0,0,0.0884457272523059,0,0,0,0,0,0.0857803265404789,0.0220276346471831,0,0,0,0,2.7882234577011e-05,0,0,0.022040869796125,0,0,0.00562561193392126,0,0,-0.00309353293683386,0,0,0,0,0,0
