,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600276.SH,X600690.SH,X600031.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600089.SH,X600066.SH,X000100.SZ,X600118.SH,X600271.SH,X000550.SZ,X601877.SH,X002236.SZ,X000581.SZ,X600582.SH,X002475.SZ,X000800.SZ,X000623.SZ,X600177.SH,X000568.SZ,X300124.SZ,X600839.SH,X002294.SZ,X002129.SZ,X000559.SZ,X000050.SZ,X000400.SZ,X000869.SZ,X002456.SZ,X000977.SZ,X002292.SZ,X002465.SZ,X600312.SH,X002007.SZ,X300003.SZ,X600435.SH,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.146996250923345,0,0,0,0,0,0.099663876130562,0,0,0,0.551687223534704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504950433221235,0.063332877141573,0,0,0,0.103142926926576,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0928634088790921,0,0,0,0,0,0,0.00609200967511143,-0.167551612092971,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.0423923170054721,0.0830152520443992,0,0,0.216447517237009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264927767525333,0.0794863610587405,0,-0.0203675670170905,0,0,0,0,0,0.0829887215813772,0,0,0,0,-0.0645206068571989,0,0,0,0,0,0,-0.00183191426841974,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.224763352463012,0.077956483083326,0,0,0,0,0.0556671037073972,0,0,0,0,0,0,0,0,0,0,0,0.0403762388999408,0,0,0,0,0.0116869733239093,0,0.103916573106873,0,0,0,0,0,0,0.057924749869025,0,0,0,0,0,0,0,0.00274376118166638,0,0.187447707246228,0,0,0,0,-0.0481080549500868,-0.0312782944023741,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.21919079639686,0.121167069496448,0,0,0,0.0675817637679344,0,0,0,0,0,0,0,0,0,0,0,0,0.00816826584034207,0,0.33494492385508,0,0,0,0,0,0,0,0,0,0,0,0,0.0114295475534928,0.0774932272519682,0,0,0,0,0,0,0,0,0,0.0626655133922689,0,0,-0.00191970278817404,0,0,0,0,0,0
X000725.SZ,0.0563504372621106,0,0.207940534165192,0,0,0,0,0,0,0,0,0,0,0,0.211203356650427,0,0,0,0,0,0,0.0719526473717261,0,0,0,0,0,0,0,0,0.0194762063033595,0.160451628346824,0.115276679931774,0,0,0,0,0,0,0,0,0,0,0,0.119833494908026,0,0,0,0,0,0,0,0.0132032134300542,0,0,0,0,0,0
X000625.SZ,0.396989372679779,0,0,0,0,0,0.0873014042960833,0,0.189912686805221,0,0,0,0,0,0,0.113762910969604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067898743207278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0523710381392776,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.418645206933962,0,0.118390187163141,0,0,0,0,0,0,0,0,0,0.0316226834587546,0,0,0,0,0,0,0.0640954236238908,0,0,0,0,0,0,-0.0148668854617886,6.93889390390723e-18,0,0,0,0,0,0.130956956328217,0,0,0,0,0,0,0,0,0,0,0,-0.00352597240389163,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0998586277027289,0,0.00654440493505274,0,0.220072783191366,0,0,0,0,0,0,0,0.104619754355512,0,0,0,0,0,0.0744780407837728,0,0,-3.46944695195361e-18,0,0.0800023485070394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149295708921075,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0596550451161861,0.0936781373032424,0,0.0918923626010162,0,0,0.14956260760913,0,0,0,0,0,0,0,0,0,0,0,0.0490744368619071,0,0.248331433824271,0,0,0,0,0,0,0,0,0,0,-0.0309715458544718,0,0,0,0,0,0,0,0,-0.0302944680618155,-0.0212811070620321,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.108194094542081,0,0,0,0,0,0,0,0,0,0,0,0,0.098299565881844,0,0,0.110176249859352,0,0,0.0746688242305592,0,0,0,0,0,0,0,0,0,0,0,0.0697722155675415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178471340043775,0,0,0,0,0,0
X600690.SH,0,0,0.171086494541316,0,0,0,0,0.305022882406318,0,0,0,0,0.0345050528090601,0,0,0.153635022715554,0,0,0,0,0,0,0,0.0932850254143468,0,0,0,0,0,0,0,0.18166903780718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00720955814258681,0,0,0,0,0,0
X600031.SH,0.162177177700646,0,0,0,0,-0.108281169077223,0.0353145000405455,0,0,0,0,0,0,0,0.905489339132401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443302966419148,0,0,0,0,0,0,0,0,0,0,0,-0.0311768670604139,-0.00683837600444781,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0354509406067638,0,0.241280761794205,0,0,-0.0316371512224519,0.592142620190541,0,0,0,0,0,0,0,0.0483035696801187,0,0,0,0,0.0373559259010534,0,0,0.0637183998286558,0,0,0,0,0,0,0,0,0,0,0.105831441102044,0,0,0,-0.159874511418915,0,0,0,0,0,-0.0161822684935449,0.00486247680587971,0,0,0,0,0,0
