,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002236.SZ,X000568.SZ,X002241.SZ,X600271.SH,X600031.SH,X000100.SZ,X600118.SH,X600177.SH,X002292.SZ,X600372.SH,X000559.SZ,X000338.SZ,X002475.SZ,X002456.SZ,X002007.SZ,X000157.SZ,X002180.SZ,X300003.SZ,X002074.SZ,X600867.SH,X002506.SZ,X600522.SH,X002426.SZ,X300124.SZ,X002294.SZ,X002085.SZ,X000981.SZ,X600089.SH,X601877.SH,X000869.SZ,X002508.SZ,X600498.SH,X002249.SZ,X000050.SZ,X002465.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.53041136919816,0,0,0,0,0,0,0.021346142352931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0818713741270731,0.0222864043515209,0,3.46944695195361e-18,0,0.09293978193005,0,0,0,-0.042697735731575,0,0,0.338614930707638,0,0,0.0262112793052745,0,-0.128864819031913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0.183858539186423,0,0.0617842204689064,0,0,0,0,0.0913794999832518,0.0879684794872526,0,0.112380035520202,0,0,0,0,0,0,0,0,0,0,-0.0253358879306642,0.0238609094955092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139245673922445,0,0,0,0,0,0,0,0,0,0,0,0.057657196417456,0,0,0,0,0,0,0
X002415.SZ,0.0463059962747283,0,0,0,0,0,0,0,0.105414088144052,0,0,0,0,0,0.0315457856920159,0,0,0,0,0,0,0,0.0377334722428826,0,0,0.10595215213805,0,0.116905908200595,0,0,0,0,0,0,0,0,0,0,0.0295799533720775,3.46944695195361e-18,0,0,0.0884445895977579,0.106461287216292,0.103910517133055,0,0,0,0,0,0.0238273049427905,0,0,0,0,0,0,0
X000858.SZ,0.117134593575413,0,0,0,0.149390459830943,0,0,0,0.227298486298307,0,0.0818150250242858,0,0,0,0.394060127858355,0,0,0,0,0,0,0,0,0,0,0,0,0.0416724891208917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.721534224699955,0,0,0,0,0,0,0,0,0,0,0,0.039661954933332,0,0,0,0,0,0,0.0590395304268198,0,0,0,0,0,0,0.0442609949589859,0,0,0,0.0207001649372176,0.00372636565137194,-0.0238343898931405,0,0,0,0,0,0.0140374880363571,0,0,0,0,0,0,0,0,0.00314476181374622,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0708440395941556,0,0,0,0,0.0779394264163339,0,0,0,0.154874671399854,0.0613632578512973,0.0221802133007991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0380600546441645,0,0.059179595942845,0,0,0,0.0177036713128514,0,0,0,-0.0464477422713882,0,0,0,0,0,0,0,0,0,0,0,-0.00307023930035868,0,0,0,0,0,0
X000725.SZ,0,0,0.0147160842162825,0,0,0,0,0,0.0389972015688636,0,0,0.015106371923357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522967437017172,0,0,0,-0.0360862111851238,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.234461125495866,0,0.0525886754652831,0,0,0.0138757061923252,0,0,0,0,0,0
X000625.SZ,0,0.203390258162918,0,0,0,0,0,0,0,0,0.172201823843733,0,0.00525859497341164,0.123592868088075,0,0,0.0353185366542754,0,0,0,0,0,0,-0.0874109117699223,0,-0.0626908690569502,0,0,0,3.46944695195361e-18,0,0,0,0,0.044625262934447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011719967124029,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0606005563527455,0,0,0,0.130216839507201,0,0.0424979205249583,0.0612855329650912,0,0.00651928401567161,0,0.0446297564348296,0,0,0,0,0,0,0,0,0,0,0,0,0.156328932999918,0,0,0.046096197116814,0,0,0,0.0248815989079058,0,0,0.122491182120225,0,0,0,0.0116728094020921,0,0,0,0,0.00964579701075478,0,0,0,0,0.0622749632065777,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0810140542173721,0,0,0,0,0,0,0,0,0,0,0.00335231504586649,0.0828443622794605,0,0,0,0,0,0,0,0,0.0847492928970377,0,0.0936143840319714,0,0,0.0725848873514638,0,0,0,0,0.0392746993591131,0,0,0,0,0,0,0.0458997704476137,0,0,0.135975232039797,0,0.0640079536664812,0,0,0,-0.000676732413955988,-4.33680868994202e-19,0,0,0,0,0,0
X600741.SH,0,0.438190067848889,0,0.0469088784915246,0.128513821316229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276083922846698,0,0,0.0694330648533491,0,0,0.0561149573316085,0,0,0.0561432496291863,0.0477543377007854,0.05746683080697,0,0,0,0,0,0,0,0.111482210017646,0,0,0,0,0,0.0218715957827536,0,0,0,0,0,-0.0183290897249743,0,0,0,-0.0525542700443841,0,0
X600703.SH,0,0,0,0,0,0,0.15699415990887,0,0,0,0,0,0,0,0,0.0571160113842264,0,0,0,0,0.0610282513919343,0,0.172312954729996,0,0,0,0,-0.00738132828865325,0,0.0476924072309937,-0.274807349710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165092746740844,0,0,0,-0.00519174680345758,0.0496407237940276,0,0,0,0,0,0
