,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X300003.SZ,X000338.SZ,X600031.SH,X601877.SH,X002008.SZ,X600867.SH,X300124.SZ,X600809.SH,X002456.SZ,X000625.SZ,X600066.SH,X002294.SZ,X600271.SH,X600487.SH,X600566.SH,X000100.SZ,X000596.SZ,X000981.SZ,X300142.SZ,X000661.SZ,X002241.SZ,X002180.SZ,X300136.SZ,X002007.SZ,X000050.SZ,X002038.SZ,X600522.SH,X002508.SZ,X000157.SZ,X002179.SZ,X600498.SH,X000869.SZ,X600089.SH,X002049.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.404400535163845,0.0826874788637114,0.056666307835871,0,0,0,0,0.0341967334911878,0,0.0259689113131065,0,0,0,0,0,0,0,0,0,0.0479429036318552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257763982185796,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.108377139197695,0,0,0,0,0,0,0,0,0,0,0.132811294162538,0,0,0,0,0,0,0,0,0,0,0.183021361058046,0,0,0,0,0,0,0,0,0,0,0,-0.0899330834635656,0,0,0,0,-0.0401574889648143,-0.117752209300368,0,-0.00107372747017659,0,0,-0.0484567009725592,-0.0853329036182862,0,0,0,0,0,0
X002415.SZ,0.0565889888465993,0,0,0,0,0.0303040913325695,0,0,0,0,0,0,0,0,0.178344145457527,0.0190446581942538,0,0,0,0.0597759023577486,0,0,0,0,0,0,0,0,0.118099659848215,0.17507558367578,0,0,0,0.04412860132517,0,0.254921587719135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00542300141151492,-0.0206813196872338,0,0,0,0,0,0
X000858.SZ,0.249132081213046,0,0,0,0,0.206886455310341,0.018467516153097,0,0,0.0312800509469882,0.126052984948246,0,0.0764174058113284,0,0,0,0,0,0.00353369622916368,0,0,0,0.134901768620621,0,0,0,-0.0633217959827028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202338170568635,0,0,0,0,0,0,0,0,0.0104049057537778,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,-6.93889390390723e-18,0.089463351915498,0,0,0,0.111912336522301,0,0,0.0407331757504951,0,0.320971582746465,0,0,0,0,0.02619430194723,0,0,0,0,0,0,-0.0650713690009097,0,0.185936385451269,0,0,0,0,0.161785709052961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0666841384343617,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.481898910909395,0,0,0,0,0,0.312845996968617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497502464879403,0,0,0,0,0,0,0,0,-0.129086389479784,0,-0.000206351044476019,0.225651051722941,0,0.205890616749081,0,0,-0.0423975150365833,0,0,0,0,0,0,0.0372695966601675,0.072597114110574,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0471507086955096,0,0,0,0,0,0,0.0341517182362623,0,0.433153644296232,0,0,0,0,0.154009770223701,-3.46944695195361e-18,0,0,0,0.0921428816329258,0,0,0,0,0,-0.00908916058224004,0,0,0,0,0,0.0935093623250368,0,0,-0.0830959194007138,0,0,0.131430263887971,0,0.205891697827369,0,0,0,0,0,0,0,0,0.0323454363048447,0.00621042301058173,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.023938898192165,0,0,0,0.0523859049071,0.0120742815918484,0,0,0,0.0354282615699603,0,0,0,0,0,0,0,0,0,0,0.129193498989084,0,0,0.0840474241854549,0,0,0,0,0,0,0.129724794408476,-0.150295343555062,0.0651986435007311,0,0,0,0,0,0,0,0.0590346702070404,0,0,0,0,0,-0.00292794309632679,0.0377434106972159,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411201999154622,0,-1.73472347597681e-18,0.089003249366335,0,0,0,0,0,0,0.017835557963133,0.155741130252349,0,0.262789204459878,0,0,0,0,0,0,0,0,0.0930291265169562,0,0,0.00691116500113662,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.376867224835559,0,0.0168452683203101,0.166316549622202,0,0,0,0,0,0.0260444412083979,0,0,0,0,0,0,0,0,0,0.0246776826707069,0,0,0,0,0,0,0,0,0.091671426388242,0,0,0,0,0,0,0,0,0,0,0.0620431201389214,0,-0.0469466299351184,0,0,0,0,0,0,0.0102583552712256,0,0,0,0,0,0,0
