,X600519.SH,X000858.SZ,X000568.SZ,X600809.SH,X002415.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X600104.SH,X600031.SH,X000725.SZ,X300014.SZ,X000596.SZ,X000063.SZ,X003816.SZ,X002129.SZ,X000625.SZ,X002371.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002179.SZ,X000661.SZ,X600089.SH,X002180.SZ,X000100.SZ,X002241.SZ,X600702.SH,X601877.SH,X300142.SZ,X000157.SZ,X600741.SH,X000977.SZ,X000733.SZ,X002074.SZ,X000799.SZ,X600522.SH,X600584.SH,X600460.SH,X300003.SZ,X000066.SZ,X002236.SZ,X600183.SH,X600779.SH,X002294.SZ,X600884.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0918943324049397,0.0902144074663646,0.195771236999056,0,0,0.0505324120402836,0,0,0,0,0,0,0,0,0,0.041956092974631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321182539381493,0,0,0,0,0.0940025269906988,0,0,0.0770672655947956,0,0,0,0,-0.017486138290448,0,0,0.0505924961531959,0,0,0,0,0.00476838115210047,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0073317956711269,0.18808995122709,0.0714468070569388,0,0.6213974042044,0.0546869789002662,0,0.150381138337424,0,0,0.0135729189106632,0,0,0.0366456101118103,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397101062724301,0,0,0,0,0,0,0,0,-0.0272929554758804,0.00611928424333765,0,0,0,0,0,0
X000568.SZ,0.119188592752272,0.525451945287242,0,0,0.0626147315395797,0,0.210670516900103,0.0496915152421472,0,0,0,0,0,0,0,0,0,0,0,0,0.0434967749940629,0,0,-0.155045378506797,0,0.0634509128527635,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0591327206220185,0,0,0.038416552088755,-0.0292451723981902,0,0.108183728745011,0,0,-0.110616594004422,0,0,0,-0.00308081334820581,0,0,0,0,0,0
X600809.SH,0,0,0.241219612522077,0,0.0618590168344013,0,0.182096531180617,0,0,0,0.0170041126536873,0,0,0,0,0.185169782279401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344708519700453,0,0.159845920770343,-0.0021734651559553,0,0,0,-0.0395668487629719,0,-0.0201377473089517,0,0,0,0,0,0,-0.00620250150511957,0,0,0,0,0,0
X002415.SZ,0,0.153110034309788,0,0,0,0,0,0,0,0,0,0,0,0,0.0146309249193541,0,0,0,0,0,0.0186781068922225,0,0,0.054310950981694,0,0,0,0,0,0,0,0,0.0295085902113569,-0.102701744436998,0,0.203410609793555,0,0,0,0,0,0,0,0,0,-0.0239095650785424,0,0,0,0,0,0,-0.0273699526806349,0,0,0,0,0,0
X600276.SH,0,0,0.0348682373050948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099944249156201,0,0,0,0,0,-0.0972175191728184,0,0,0.165821496814275,0.0422422563242156,0,0,0,0,0,0,0,0.130039977789849,0,0,0.0885163614285975,0.0750501920076121,0,0,0,-0.0217493454143142,0.0144901442251573,0,0,0,0,0,0
X002304.SZ,0,0.35237283115636,0.346601128259328,0,0,0,0,0,0,0,0,0,0,0,0,0.126407830073816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0563571318432613,0,0,0,0,0,0,-0.0458637098588274,0,0,-0.0619381451497069,-0.0411592181855139,0,0,0.00927392591247588,-0.0359929916971744,0,0.0587868546996768,0,-0.0311227536585825,0.027050007928378,0,0,0,0,0,0
X600690.SH,0,0,0,0.029148154502495,0.11341735593347,0,0.0232525607010967,0,0,0,0,0,0.340043681233787,0,0,0.0972639197509675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027210278519298,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.00755128693382593,0,0,0.0274509626055083,0,0.000794322844650491,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.203598154011036,0,0,0,0.0290871768407473,0,0,0,0.0502968936109534,0,0.211458252121363,0,0,0,0,0,0,0,0,0,0,0.00795304371956802,0,0,0,0,0,0,0,0.0795369304782357,0,0,0,0,0,0,0,0,0,0,0.121561856613883,0,-0.0346375512374413,0,0,0,0,0,0
X000651.SZ,0,0.257469601354204,0,0,0,0,0,0.210725985733239,0,0,0,0,0.0677018767078214,0,0,0,0,0,0,0,-0.0130151393134716,0,0,0,0,0,0,0,0,0,0,0,0.0417591983375923,0,0,-0.0292263186062267,0,0,0,0,0.0185151619024452,0,0,0,0,0,0,0,-0.00724864913993878,0,0,0,-0.00237982907249433,0,0,0,0,0,0
