,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X000725.SZ,X002371.SZ,X300014.SZ,X600031.SH,X300124.SZ,X002129.SZ,X003816.SZ,X002241.SZ,X002049.SZ,X000338.SZ,X600703.SH,X000063.SZ,X000596.SZ,X300142.SZ,X002179.SZ,X601877.SH,X000625.SZ,X600460.SH,X600089.SH,X000661.SZ,X000100.SZ,X600741.SH,X600522.SH,X002180.SZ,X002074.SZ,X600702.SH,X600884.SH,X000157.SZ,X000733.SZ,X000799.SZ,X002236.SZ,X600563.SH,X600584.SH,X601799.SH,X600779.SH,X002414.SZ,X000977.SZ,X002007.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.383946612508094,0,0,0.0168798998589005,0,0,0,0.0650211282947229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170487664530051,0,0,0,0,0,0,-0.00750714657325025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520643763967935,0,0,0,0,0,-0.0137873222256043,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.251620361282786,0,0,0.184177083186294,0.0701964968321487,0,0,0,0,0,0.0054610833557074,0,0,0,0,0,0,0,0,0.00458604364255682,0,0,0,0,0,0,0,0,0,0,0,0.022709376732249,0.105574958769356,0,0,0,0.00797558073088516,0,0,0,0.053230804218405,0,0,0.0935044563484707,0,0,0,-0.0281996412786276,0.029784945539625,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0714119078354061,0,0.122986590404275,0,0,0,0,0,0.0726198241369868,0,0.0631309347545061,0,0,0,0,0,0.0168667359570714,0,0,0,0,0,0,0,-0.116352443485086,0,0,0,0,0.150902884424979,0,0,0,0,0,0,0,0,0,0,0,0,0.223738217075818,0,0,0,-0.00198193846949416,0.020599077920076,0,0,0,-5.42101086242752e-20,0,0
X600809.SH,0,0,0,0,0.406198383016913,0,0,0.240781206185091,0,0,0,0,0,0,0,0,0,0,0,0.0684875427087859,-0.298138445822356,0,0,0,-0.110471855809087,-0.0544236537236791,0,0,0,0,0,0,0,0,0,0,0.0204979559915749,0,0,0,0.106560728558398,0,0,0,0,0,0,0.0509587815714609,0,0,0.0284586911891406,0.0204427872991026,0,0,0,0,0,0,0
X000568.SZ,0.157143104807409,0.257672624976584,0,0.0703701106767198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191073058048207,0,0,0,0,0,0,0,0,0,0,0.0931228063073078,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0460377511689434,0,0,0,0.0110139057143385,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.330899802583891,0,0,0,0,0,0.267667750528946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615917094148299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323889159176858,-0.00823267307569035,0,0,0,0,0,0
X600276.SH,0.145487655931954,0,0,0,0,0,0,0,0.255715105659849,0,0,0,0,0,0,0,0,0,0,0,0.0814788009887458,0.0432503549666072,0.158214316458791,0,0.0445176727878541,0,0,0,-0.00813135468818187,-0.0498038908814791,0.0427305012498554,0,0,0,0.057496771913262,-0.0814212638727073,0,0,0,0,0.0243881388032992,0,0,0,0,0,0,0,0,0,0,0,-0.0385058138012194,0,0,0,-0.0458126347880258,0,0
X002304.SZ,0.239454579000726,0,0,0.0166607630734035,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.280206791676244,0,0,0,0,0.0835779856111666,0,0,0.174935594908622,-0.0156565752386465,-0.0899217380960524,0,0,0,0,0.00216048599289366,0,0.0250352585639749,0,0,0,0.0825797657026641,0,0,0,0,0,0,0,0.061531569118125,0.103490944111596,0,0,0,0,0,-0.0725981547322313,0.0677754066504115,0,0,0,0,0,0
X600690.SH,0.0543962361954444,0.0544576769466929,0,0,0,0,0,0.0875586755489328,0,0,0,0,0,0,0,0,0,0,0,0,0.214281667462285,0,0.10356291474155,0,0,0,0,0,0,0,0,0,0,0.109150215767145,0,0,0.0831898756995382,0,0,0,0.0567347734061343,0,0,0,0,0.0280958037588433,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0713396581602894,0,0,0,0,0,0,0,0,0,0.0445718032243292,0,0,0.115850184770806,0,0,0,0,0,0,0.099063939043235,0,0,0,0.231382144227833,0,0,0,0,0,0,0,0,0,0,0.000658020700463583,0,0,0,0,0,0,0,0,0,0.00160886981741417,0,0,0,0,0,0
