,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X600690.SH,X000338.SZ,X000661.SZ,X600741.SH,X600809.SH,X600703.SH,X000596.SZ,X002241.SZ,X002236.SZ,X000100.SZ,X300003.SZ,X601877.SH,X000625.SZ,X600183.SH,X300124.SZ,X300014.SZ,X000157.SZ,X002371.SZ,X002007.SZ,X000066.SZ,X300142.SZ,X002008.SZ,X600271.SH,X300136.SZ,X002456.SZ,X002463.SZ,X000977.SZ,X002179.SZ,X002180.SZ,X600177.SH,X002129.SZ,X600584.SH,X600487.SH,X000050.SZ,X002049.SZ,X600498.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.420417511408013,0,0,0,0,0.0490179901233541,0,0,0,0,0,0.171474557711763,0,0,0,0,0,0,0.222129463649117,0,0,0,0.105064218111266,0,0,-0.0536203199430307,0,-0.00839125658080313,0,0,0,0,0.0588218461417831,0,-0.000995713635834481,0,0,0,0,0,0,0,0,0,0,-0.0353654569923502,-0.0505422904834698,0,0,0,-0.0487111964645922,-0.0293433137857496,0,0,0,-0.0400745941957959,0,0
X000858.SZ,0,0,0,0,0,0,0.0623923286990953,0,0,0,0,0,0.163374351890722,0,0,0,0,0.210547421065648,0,0,0.0122548636450464,0,0,0,0,0,0,0,0,0,0,0,0.0583552846944554,0.0364588129400127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00814806028852805,0,0,0,0,-0.0284567786533639,0,0
X000651.SZ,0,0,0,0,0,0.177236492247478,0,0,0,0,0,0,0,0.255323657953994,0,0,0,0,-0.0286130361011427,0,0,0,0.0743351444275927,0,0,0,-0.112809334160207,0,0,0,0,0.0129430376624123,0,0,0,0,0.0650613035562704,0,-0.0872809201654484,0,0,0.154355670789707,0,0.0169113000197395,0,0,0,0,0,0,0,0,0.0166700235070281,0,0,0,-0.030077694522402,0,0
X600276.SH,0.196906447377962,0,0,0,0,0,0,0,0,0,0,0,0,0.0606466287846168,0,0.246366164432341,0,0.0308248693968808,0,0.102517782167891,0,0,0,0,0,0.134436827567332,0,0,0,0,0,0.140555191720005,0,0,0,0,0,-0.00525943580157096,0,-0.0959327389529586,0,0,0,0,0,0,0,0,0,0,0,0.0153231392767918,-0.00974594350394892,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.122459268619832,-0.127003991357247,0,0,0,0,0,0,0,0,0,0,0,0,0.017291138011256,0.224836022961425,0,0,0,0,0,0,0,0,0,0,0,0,0.0805250134098306,0,0.163845750200222,0,0,0.090064649945003,0,0,0,0,-0.16722728215775,0,0,0,0,0,0,0.0467378713408618,-0.00689438286522536,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380039950323413,0,0,0,0,0,0,0.0359059381042003,0.00942100452006844,0,0,0,-0.0661225763044709,0.249887221484233,-0.0237024790690601,0,0,0,0,0.00421571181093717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136616725345305,0,0,0,0,0,0,0
X002475.SZ,0,0,-0.0250841170167633,0,0,0,0,0,0,0,0,0,0,0,0.116630239450729,0,0,0,-0.0391152769638225,0,0.395960526818587,0,0,0,0,0,0,0,0,0,0,0,0.173863358575429,0,0,0,0,-0.00241118103514258,0.120324816998694,-0.065200191576757,0,0,0,0,0,0,0,0,0,-0.00248963691461032,0,0,0.0290606797707987,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0.0659789755879898,0,0,0.157809851823281,0,0,0,0,0,0,0,0,0,0,0,-0.0353211881838383,0,0,-0.0941095635286956,0,-0.07286509742487,0,0.0253629235460396,0,0,0.183219704449709,0.143223552673021,0.0671506658285395,0.12232680346521,0,0,0,0,0,0,0,0.0231866858785233,1.73472347597681e-18,0,0,0,0.00396684925555256,0.0238024177722276,0,0,0,0,0,0
X002304.SZ,0,0,0.00981499861975051,0,0,0,0,0.0578430752846298,0,0,0,0,0,0,0,0,0,0,0,0.106812176576783,-0.0346360325723266,0,0,0,0,0,0.0461379882775226,0,0,0,0,0.209261968560078,0,-0.030779251496643,0,0,0,0,0.0356132997114936,0,0,0,0,-0.0322283786389136,0,0,0,0.0339974973091989,0,0,0,-0.0303180176478691,0.0165926544327919,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.00723127855677241,0,0,0,0,0,0,0,0,0,0,0,0.204864282972273,0,0,0,0,0,0.0749588403495897,0,-3.46944695195361e-18,0,0.0229249704240649,0,0,0,0,0.0410997775324884,0.0841693613509294,0.0369871961170743,0,0.0285156880503201,0,0.0137701948962547,0.0851082774680035,0,0,0,0,0,0,0,-0.0173521699113053,0,0,0,0,0,0
