,X600519.SH,X600104.SH,X000725.SZ,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X000100.SZ,X600703.SH,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X000559.SZ,X600839.SH,X000338.SZ,X002236.SZ,X002241.SZ,X600066.SH,X600089.SH,X600741.SH,X002475.SZ,X002129.SZ,X300124.SZ,X000547.SZ,X000016.SZ,X002506.SZ,X002465.SZ,X600435.SH,X600582.SH,X000568.SZ,X000800.SZ,X600177.SH,X300003.SZ,X000977.SZ,X002294.SZ,X000066.SZ,X002456.SZ,X600867.SH,X002008.SZ,X600006.SH,X002007.SZ,X000581.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.24938321614947,0,0,1.73472347597681e-18,0,0.00497947655624082,0,0.110295612091979,0.0281775574237077,0,0,0,0,0,0,0,0,0,0,0,0,0.137229100186118,0,0,0,0.055030470814208,0,0,0,0,0,0,0,0,0.0133158318825607,0,0,0,0,0,0,0,0,0,0,0,0.00523212492767509,0,0,0.00975367202442606,0,0,0,0,0,0
X600104.SH,0.144267543736896,0,0,0,0,0,0.303783089169166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944481787944975,0,0,0,0.10431056510594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00531052926732325,0,0,0,0,0.0334433869437603,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0.13185220238013,0,0,0,0,0,0,0,0,0,0.20378179670371,0.0234766660055716,0,0,0.107024773708189,-6.93889390390723e-18,0,0.0742485733588301,0.0432746176282713,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.116705270714821,0,0.158109040464908,0,0.00167587266070611,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.203059013550571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403007504814591,0,0,0,0,0,0,0.0338877110401227,0,0,0,0.0916489984399874,-0.0295293096227125,0.217843835523998,0,0,0,-0.0378261939805093,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0197200146313412,0,0,0,0.0438032588643953,0.0458816778375664,0,0.075178494066428,0,0,0.11705543972189,0.00748737057273709,0.0355132766467607,0,0,0,0,0,0,0.0289229088380415,0,0,0,0,0,0,0,0,0.371081311584266,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199851759832002,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.183819134421705,0,0,0,0,0,0,0,0,0,0,0.0277901559580839,0,0,0.204211178144117,0,0,0.0253472349262367,0,0,0,0,0,0,0,0,0,0,-0.0570062941797577,0.434078482624678,0,0,0,0,0,0,0,0.0735410143312941,0,0,0,0,0,0.0190686464480611,-0.0155495920162139,0,0,0,0,0,0
X002304.SZ,0,0.133655143004822,0,0,0,0.234062253487202,0,0,0,0,0,0,0,0,0,0,0,0,0.0280942160499404,0,0,0,0,0,0,0,0,0,0.114255889058885,0,0,0,0,0,0,0,0,0,0,0,0.0217712472950364,0,0,0,0,0,0,0,0,0.00741069122719993,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.18536534648253,0,0.15158413812175,0,0,0,0,0.0795068680919978,0,0,0,0,0,0,0.125512547298485,0,0.101237649160879,0,0,0,0,0,0,0,0,0,0,0,0.0708291129134584,0,0,0.106272801984698,0,0,0,0,0.0669260578636585,0,0,0,-0.0060652981317173,0.0167609416772869,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.236225570029325,0,0,0.0258052483304846,0,0.0167446482141008,0,0,0,0,0,0.0687695371975772,0,0.27997396027808,0.0918002292420762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00499810559063244,0,0,0,0,0,0,-0.0162177941039206,0,0,0,0,0,0,0
X000625.SZ,0,0.021274217689944,0,0,0,1.73472347597681e-18,0,0.0410207259414314,0,0,0,0,0.11843368594098,0,0,0,0,0.0606895161327606,0.0087843462577329,0,0,0,0,0,0.0721419029028577,0.150153192890673,0,0,0,0,0,0,0,0,0,0.163051462113563,0.0754384208016036,0,0,0,0,0,0,0,0,0.0162684899920392,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.0684154103340576,0,0,0.0790312471194313,0,0,0,0,0.0585654621105797,0.0149174963610915,0,0.0795912775194251,0,0,0,0,0,0,0,0.205708752518875,0,0,0,0,0,0,0.0781047684227509,0.0999038563921122,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.027841792267584,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781316593663786,0.225249093242826,0,-3.46944695195361e-18,0,0.11487021247593,0,0,0,0,0,0,0,0,0,0,0,0,0.0217028279040089,0.493413453860487,0,0,0,0,0,0,0,0,0,0,0,0.053544486147701,0,0,0,0,0.0333133891625278,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206103233179122,0,0,0.0446512730696508,0,0,0,0,0,0,0,0.240425936994716,0,0.0447028443622558,0,0,0,0,0,0,0,0,0.059703546806225,0.09938162798624,0,0,0.230263609313528,0,0,0,0,0,0,0,0,0,-0.0302865184657644,0,0.0215389210039791,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0.332598919262316,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0547310594146568,0,0,0,0,0,0,0,0,0,0,0.0123444259128164,0,0,0,0,0,0,0,0,0,0.248007368812649,0,0.105569593478025,0,0,0,0,-0.0127511494125215,-0.0422098625951192,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0.271618280020321,0.00815365401262988,0,0,0,0,0.0541052365599218,0.167081783154764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869185262750602,0,0.0482501868164649,0,0,0,0,0,0.0104143873093145,-1.73472347597681e-18,0,0,0,-0.00268651859868876,-0.00819712393986617,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0.243462174782927,0,0,0,0,0,0,0.253327570551703,0,0,0,0,0,0,0,0,0.0673801098165861,0.0397145753109302,0.0186352565198048,0,0.0690561523054699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870380410490228,0,0,0,0,0.000915147470655952,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0.0888734424844635,0.0370988578581507,0.0189847448036566,0,0,0,0,0.277208134509025,0,0,0,0,0,0.0636509360750045,0,0,0,0,0,0,0,0,0.0290076111578351,0,0,0,0,0,0.0266988810822426,0,0,0,0,0,0,0,0,0,0,-0.0112177110271792,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0.102766776707814,0,0,0,0,0,0,0,0.059779241627953,0,0.273828152929153,0,0,0,0,0,0.110026893266485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260904641960418,0,0,0,0,0,0,0,0,0,-0.0744845194049524,0,0,0,0.0135131910017889,0,0,0,0,0,0
