,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X300003.SZ,X000338.SZ,X600031.SH,X601877.SH,X002008.SZ,X300124.SZ,X600809.SH,X600867.SH,X002456.SZ,X000625.SZ,X600271.SH,X600066.SH,X000596.SZ,X600487.SH,X002294.SZ,X000100.SZ,X600566.SH,X000981.SZ,X300142.SZ,X002180.SZ,X002241.SZ,X000661.SZ,X300136.SZ,X002007.SZ,X000050.SZ,X002508.SZ,X000157.SZ,X002038.SZ,X002179.SZ,X000869.SZ,X600522.SH,X002049.SZ,X600177.SH,X600498.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.400721543775949,0.0834689917261575,0.062116384357146,0,0,0,0,0.0342003745967607,0,0.0256063017004577,0,0,0,0,0,0,0,0,0.0472960017477535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00136398768591849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00222682032349553,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.145209161892649,0,0,0,0,0,0.0492266251447951,0,0,0,0,0.13623460760785,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.199186348020269,0,0,0,0,0,0,0,0,0,0,0,-0.0319022181322473,0,-0.0897982486006567,-0.0163865199394909,-0.0770019585267314,0,0,0,-0.0712315809391575,0,0,-0.0464645967260138,-0.0750717881072707,0,0,0,0,0,0
X002415.SZ,0.0679457072949374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152826772818343,0,0,0,0,0.0881080772039277,0,0,0,0,0,0,0,0,0.140850281233312,0,0,0.177677687534266,0,0.029095147128455,0,0.237850965503691,0,0,0,0,0.0105839100093081,0,0,0,0,0,0,0,0,0,0,-0.00531004914383263,-0.021523881559857,0,0,0,0,0,0
X000858.SZ,0,0,0.154491096692274,0,0,0.166025462055369,0.00171552732174747,0,0,0.121240585038187,0.189510611331001,0,0.127174802802638,0,0,0,0,0,0,0,0,0.0422566492689336,0,0,0,0,0,0,0,-0.0625423807944826,0,0,0,0,0,0,0,0,0,0,0,0,-0.00337983995253332,0,0,0,0,0,0,0,0,0.00408309772200865,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0180448110687854,0,0,0,0.112491766517739,0,0,0,0,0.278238254759076,0,0,0,0,0,0.0558146675327559,0,0,0,-0.0792583643344032,0,0,0,0.0785235964059823,0,0.169709420822654,0,0,0,0,0.225329121968057,0,0,0,0,0,0,0,0.113415338493887,0,0,0,0,0,0,-0.057899901667898,0.00774592053643746,0,0,0,0,0,0
X000651.SZ,0,0,0,0.500612064427232,0,0,0,0,0,0.285022183403196,0,0,0,0,0,-0.00465041775347709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143300586631052,0,0,0,-0.00976779408312689,0.218503089168502,0,0,0,-0.039992252327912,0,0.203683840712041,0,0,0,0,0,0.0369614845347518,0.0702020807282252,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0.178201563033047,0,0.474884255399204,0,0,0,0,0,0.0657619973098874,0,0,0.0244890231635548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522949290496728,0,0,0.260950333958378,0,0,0,0,0,0,0,0,0,0,0.0231935093720491,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0154184409015787,0,0,0,0.0438944245792124,0,0,0,0,0,0,0,0,0.0305962648663123,0,0,0.199757602230378,0,0.167981262194115,0,0,0,0,0,-0.0773656961455011,0.0518802786163523,0,0,0,0,0,0,0,0,0,0,0,0,0.0352047535268647,0,0,-0.0217013120054463,0.0190609646477485,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052221257592234,0,0,0.041814918803152,0,0,0.0787554537959398,0,0.170816492001467,0.0131706202737243,0,0,0,0,0,0.0501712393625268,0,0,0,0,0.0253508465091,-0.0231013075119898,0,0,0,0,0,0
X600690.SH,0,0,0,0.377358863374544,0,0,0.178674378693133,0,0,0,0.00557753991735719,0,0,0,0,0,0,0,0,0,0,0.0378807797921211,0,0,0,0,0,0.0862037459045567,0,0,0,0,0,0,0,0,0,0,0,0,0.0639349905177992,0,0,-0.0484541974078737,0,0,0,0,0,0,0,0.00887649638358721,-0.00370719077569028,0,0,0,0,0,0
