,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X600031.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X601877.SH,X600809.SH,X000100.SZ,X300003.SZ,X600271.SH,X000157.SZ,X600703.SH,X002007.SZ,X300124.SZ,X002236.SZ,X300142.SZ,X002008.SZ,X002179.SZ,X000625.SZ,X600177.SH,X600776.SH,X600498.SH,X000977.SZ,X002371.SZ,X300146.SZ,X600487.SH,X002506.SZ,X000066.SZ,X600066.SH,X600183.SH,X000050.SZ,X600867.SH,X002049.SZ,X600522.SH,X600566.SH,X002180.SZ,X600089.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.199161731192319,0,0.0704467326726895,0,0,0,0,0,0.0380285756433336,0,0,0,0,0,0,0,0,0,0,0.0155348530063832,0.143183324284295,0,0,0,0,0.0291438381145736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382211582597713,0,0.00491573704648769,0,0,-0.0322664389749736,0,0,0,-8.67361737988404e-19,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.272512254509215,0,0,0,0,0,0.449171745370985,0,0,0,0,0,0,0,0,0.130776348294403,0,0,0,0,0,0,0,0.0550576407288465,0,0,0,0,0,0.00479970256650042,0.0221936478031911,0,0,0,0,0,0,0,0,-0.0226864084200181,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.146996098855328,0,0,0,0,0.211471651887993,0,0,0.188153553039797,0.0737945617477524,0.105301196377373,0,0,0,0,0,0,0,0,0,0,0,0,0.0500615089785656,0.016707807376835,0,-0.0531280801733331,0,0,0,0,0,0.0633840744341793,0,0,0,0,0,0,0,0.00318695425774852,0,0,0,0,-0.0579902505606475,0,0,0,0,-0.015251436136343,0,0
X600104.SH,0,0,0.144386394932488,0,0,0.079895512893832,0,0,0,0,0,0,0,0,0.0192600169470042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336140529471426,0,0.0732763245547189,0,0,0,0.0807012525647831,0,0,0,0,0.0687321302539142,0,0,0,0,0,0,0,0,0,-0.017143390700991,0,-0.0190895480938182,-0.00675236795479099,0,0,0,0,0,0
X600276.SH,0,0,0.0406435547443961,0,0,0,0,0,0,0,0,0,-0.0108463946986459,0.24266414678733,0.105577247316029,0.112871544376035,0.0757783467470123,0,0,0,0.00222771059062593,0,0,0,0,0,0,0,0.0709077083909329,0,0,0,0.0546716281157619,0,0,0,0.00970192567982887,0,-0.0310906748342555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486004068695437,0.160332809892677,0,0,0,0,0,0,0,0,0,0,0,0.31815879466168,0,0,0,0,0,0,0,-0.0197092883551253,0,0,0.205139757861369,0,0,0,0,-0.0101218628084111,0,0,0,0,0,0,0,0,0,0.0053410183785886,0,0,0,-0.0541629098409737,0,0
X002304.SZ,0,0.320542227568204,0,0,0,0,0,0,0,0,0,0.0132936954075748,0,0.0388162147341636,0,0.122903890398953,0,0,0,0,0,0,0,0,0.127508413568748,0,0,0,0,0,0,0,0,0,0.0412307551247795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044758739181821,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.0267276056404872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169080337284552,0,0,0,0,0,0,0,0,0.152359203283393,0,0,0.109172922445378,0,0,0.0794828646136458,0,0,0.189868574213004,0,0,0,0,0,0,0,0,0,-0.0536085175777185,-0.0666042585555867,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192582960130268,0,0,0,0,0,0,0,0,0,0,0,0,0.0216479896881715,0,0.0349837117719743,0,0,0.046223899691938,0,0.00620548019840655,0,0.184097712868008,0.192499446153379,0,0,0,0,0,0,0.0899276414355379,0,-0.0356971677216257,0,0,0,0,0.046610551522757,0,0
X000568.SZ,0,0.319942002748348,0,0,0,0.0442220372404982,0,0,0,0,0,0,0.168250637708923,0,0,0.0689487610759039,0,0,0.0919818053397337,0,0,0,0,0.0482308130841614,0,0,0,0,0,0,0.0926735159472497,0,0,0,0,0,0,0,0,0,0.0276925473327059,0,0,0.0141966591756471,0,0,0,0,0,0,0,-0.0181691590975761,0,0,0,0,-0.0279600822931703,0,0
X600690.SH,0,0,0,0,0,0.198503847320687,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0795051649750853,0,0,0,0.208247122306728,0,0,0,0,0.164996019863006,0,0,0,0.0175846019640646,-0.00633833368337058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023151085215242,0,0,0,0,0.00509656363775479,0,0
