,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002236.SZ,X600741.SH,X002475.SZ,X000338.SZ,X600031.SH,X002008.SZ,X002456.SZ,X000625.SZ,X600487.SH,X300124.SZ,X600066.SH,X000100.SZ,X002241.SZ,X601877.SH,X300003.SZ,X600809.SH,X002294.SZ,X600867.SH,X300136.SZ,X600522.SH,X002508.SZ,X600271.SH,X000050.SZ,X600566.SH,X600089.SH,X000157.SZ,X000981.SZ,X600177.SH,X600498.SH,X600707.SH,X002085.SZ,X000596.SZ,X002179.SZ,X002180.SZ,X600699.SH,X300142.SZ,X000661.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.584290044770754,0.0299406644665661,1.73472347597681e-18,0,0,0,0,0,-0.0417816595071046,0,0,0,0,0,0,0,0.0282682000950755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620289914786184,0,0,0,0,0,0,0,0.0571852518452977,0,0,0,0,0,0,0,0.00809735989585861,-0.0117503304753782,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,-0.0171072363081284,-0.160215358389476,0.179135097471982,0,0,0,0.118946600650704,0.187150357747725,0,0,0,0,0,0,0,-0.185475514254032,0,0,0.0820397295826349,0,-0.0266915624358691,0,0,0,-0.00864569523587001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014904438070724,0,0,0,0,0,0,0
X002415.SZ,0,0,0,4.33680868994202e-19,0,0,-0.0311328206399738,0,0,0.165895915599365,0.17927190791909,0,0.109740790299235,0,0,0.0856700045117686,0,0.153387625749196,0,0,0.134258312662332,0,0,0,0,0,0,0.0201068739335003,0,0,0.119231901030347,0,0,0,0,0,0,0,0.0372983448508324,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161757144520125,0,-0.0194351938582917,0,0,0,0,0
X000651.SZ,0,0,0,0,0.404288343778463,0,0,0,0.0229731084523176,0.153761721877859,0,0,0,0,0,0.0926760596319557,0.0357200974778217,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0488541193903603,0,0.100398774053388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00352437161254707,1.35525271560688e-20,0,0,0,0,0,0
X000858.SZ,0.00969911766162723,0,0,0.358260150014454,0,0,0,0.163016245293288,0,0,0,0.488497701957899,0.0246667379667115,0,0,0,0,0,0,0,0.0164615104834114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,-0.0163867950513649,0,0,0,0,0,0
X600276.SH,0,0,0.072395036182178,0,0.124299803396887,0,0,0,0,0,0,0,0.0178348017097967,0,0,0,0,0,0,0,0.247117475602481,0,0,0,0.0127436574374401,0,0,0.0443273734627091,0,0.115869722454489,0,0,0.0916452034718966,0,0,0,0,0,0,0,0,0,0,0,0,0.0162198853794876,0,0,0,0,0,0.0051256237203688,0,0.0336510023769174,0,0,0,0,0
X000725.SZ,0.0592304256696308,0,0,0,0,0,0,0,0.396153844011475,0,0,0,0,0,0,2.61901297112662e-05,0,0,0,0,0,0,0,0,0,0.0247594514977302,0.153896655343877,0,0,0,0.0387373206882169,0,0,0.132901639235604,0,0.0846690325521015,0,0,0,0,0.0824374404535625,0,0,0.00360889998841518,0,0,0,0,0.088576266487838,0.220394917596005,0,-0.0291512444672102,0.0345163071471526,0,0,0,0,0,0
X002304.SZ,0.0883743426467958,0,0,0,0.0863712274669548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0902545241254113,0,-0.00873069640140876,0,0,-0.00166223507884041,0,0,0,0.426177221929236,0,0,0,0,0,0,0,0,0,0,0.202455949926863,0.0303876742878409,0,0.0910155555025656,0,0,0,0,0.000263432992543965,2.16840434497101e-19,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.41030249060242,0,0,0,0,0,-0.0580611477520669,0,0,0,0,0,0,0,0.294022955014574,0,0,0,0,0.0489905704939368,0,0,0,0,0,0,0,0.487676556104106,0,0.0577594839206461,0,0,0,0,0.171921235392063,0,0.0960224831831443,0.0692386629362223,0,0,0,3.46944695195361e-18,0,0,0,-0.00595689934398249,0.024643027490154,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.436568313623357,0.0503797005231084,0,0,0,0,0,0,0,0.0801331154526039,0,0,0,0,0,0,-0.0491799903182864,0,0,0,0.0124310481421988,0,0,0,0,0.0707243866951288,0,0,0.179357379328181,0,0,0,0,0,0,0,0,0,0,0.0403534027047411,0,0,0.0422525026066103,0,0,0,0,0,0.00940432119990538,0,0,0,0,0,0
X600703.SH,0,0,0.151949516104211,0,0,0,0,0,0,0,0,0,0.219868657777049,0,0,-0.10740508902493,0,0.305292080912994,0,0,0.0323687049385986,0,0,0,0,0.0483819652686019,0,0,0,0,0,0.197700037417249,0,0,0,0,0,0,0,-0.17621680693472,0,0,0,0,0,0,0,0.0876957903212548,0,0.287838757216558,0,0,-0.0313941111439414,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.466902307141671,0,0,0,0,0,0,0,0.0309040026876934,0,0,0,0,0.0464415725040796,0,0,0,0,0,0,0.047313892787442,0,0,0.0193583208173722,0,0,0.0713879758336655,0,0,0,0,0,0,0,0,0,0,0,0,0.281792817248936,0,0,0,0,0,-0.0094945921579581,0,0,0.0012439959286791,0,0,0,0,0,0
