,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002241.SZ,X002475.SZ,X000338.SZ,X600066.SH,X000100.SZ,X601877.SH,X002236.SZ,X600118.SH,X002456.SZ,X600271.SH,X000157.SZ,X300124.SZ,X600177.SH,X600372.SH,X600089.SH,X600522.SH,X002007.SZ,X002085.SZ,X002508.SZ,X000066.SZ,X000981.SZ,X300003.SZ,X600867.SH,X002294.SZ,X600699.SH,X000559.SZ,X002292.SZ,X300136.SZ,X002180.SZ,X002074.SZ,X600809.SH,X000623.SZ,X600498.SH,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600690.SH,0,0,0,0.183188246144835,0,0.000911678991616691,0,0,0,0,0,0,0,0,0,0,0,0,0.128415575041817,0,0,0,0.151792755595902,0,-0.0776530166059221,0,0,0,4.33680868994202e-19,0,0.0348425816417864,0,0,0,-0.0595875695247733,0,0,-0.0911870836601549,0,0,0,0,-0.107006666685949,0,0,0.0844425049761889,-0.026205770576158,0,0,0,-0.00381807407672336,0.000239555199932789,0,0,0,0,0,0
X600703.SH,0,0,0.092745515546389,0,0.171522836067345,0.169624090112335,0,0,0,0,0,0,0.0870079544335401,0,0,0,0,0,0,0.0171850390566128,0.222970983167235,0,0,-0.07487761329344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121309825768793,0,-0.0221984607165351,0,0,0,0,0,0,0,0,0,0.249601010915906,-0.00997937567211666,0.00337687758468809,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133777737771586,0,0,0.658055974562288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000396589373528659,0,-0.00564810526028084,0.00090484739789227,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.311242765102727,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.138717529892167,0,0,0,0,0,0,0.0934318184722768,0,0,0,0,0,0,0,0,0.230396337348429,0,0,-0.129347155307167,0,0,0,0,0,0,0,0,0.0110765685479423,0,0,0.0710120688113434,0,0.0675382340601193,0,0.0100229771837268,-0.0078805405920139,0,0,0,0,0,0
X600741.SH,0,0.310437701428203,0,0,0.130022426150115,0,0.05502452594954,0,0.267517500800318,0,0,0,0,0,0,0,0,0.0146717524676977,0,0,0,0,0,0,0,0,0,0,-0.141093165390103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124255272185871,0,0,0,1.0842021724855e-19,0,0,-0.0434935178352571,-0.00736427912717019,0.00124452399914815,0,0,0,0,0,0
X002241.SZ,0,-0.021531583199815,0,0,0,0,0,0.0896143952303875,0,0,0,0,0,0,0,0,0,0.0381602938077194,0,0,0,0,0.0332612401198068,0.00645972003683112,0,0,0.148099545355933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863605138567766,0.278564992985293,0,-0.117111887908558,0.0362329714185574,0,0,1.0842021724855e-19,0.000678471753877364,0,0,0,0,0,0
X002475.SZ,0.184237472065381,0,0,0,0,0,0,-0.257567138485808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117188475150396,0,0.226178320829103,0,0,0,0,-0.191957321747841,0,0,0,0,0.00935371228492078,-0.00259648470476804,0,0,0,0,0,0,-0.0707313863966066,0.16176919356192,0.126772088960328,0,0,0.0982161417012527,0,0,0,-0.0407654222799121,0.0103970612677803,0,0,0,0,0,0
X000338.SZ,0,0,0,0.00628206938576095,0,0,0,0,0,0.0371470175190995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340437761600557,0,0,0,0,0.184328780379253,0,0,0.0842918960280234,0,0.0960223105684496,0,0,0,0,-0.00305942819043207,0,0,0,0,0,0
X600066.SH,0,0.118549266579835,0,0,0.0264446922137952,0.0633475975286077,0,0,0,0,0,0,0,0,0,-0.0739195265406547,0,0,0,0,0,0,0,0.0182364623369682,0,0,0,0,0,0,0.146198209341655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127066393287827,0.166276368269221,0,0,0.188451204982013,-0.0461656299022069,0.017271150941209,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0.0727570847749065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136415062865668,0,0,0,0,0,0.0171123260037955,0,0,0,0,0.0583845525937826,0,0.0394985380930982,0,0,0,0,0,0,0,0,0.0482776838370531,-0.0089823470214417,0,0,0,0,0,0
