,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X300124.SZ,X600104.SH,X002371.SZ,X000725.SZ,X002304.SZ,X000625.SZ,X000063.SZ,X000338.SZ,X000596.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X000977.SZ,X002241.SZ,X002049.SZ,X002463.SZ,X600372.SH,X002129.SZ,X600741.SH,X000661.SZ,X600584.SH,X600522.SH,X002028.SZ,X601877.SH,X600066.SH,X000921.SZ,X600183.SH,X601799.SH,X000800.SZ,X002156.SZ,X600418.SH,X002074.SZ,X002007.SZ,X000988.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0874725776872338,0,0.227097526414266,0,0.0763583006123421,0,0,0,0.151532342429933,0,0,0,0,0,0.0532123124032415,0,0,0,0,0,0.0367632975773451,0,0,0,0,0,-0.084331628559589,0,0,0,0,0.0239295008872581,0,0,0,0,0,0,0,0,0,0.0171201455830182,0,0,0,0,0,0,0,0,0,0.0130432155734386,0.0107037878134632,0,0,0,0,0
X000858.SZ,0,0,0,0.18023388005869,0,0.379094403998244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1061309180515,0,0,0,0,0,0,-0.0396164992630526,0,0,0,0,0.0624647649495048,0,0,0,0,0,0,-0.00185243429190162,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.145791941659618,0,0,0,0.10398743675791,0.0421815897998936,0,0,0,0,0,0,0,0.0433243174193626,0,0,0.225005297200258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116843025582677,0,0,0,0,0,0.116570026133463,0,-0.0249420717231593,0.0224844279838485,0,0,0,0,0,0
X600809.SH,0,0,-0.0606146670266461,0,0,0.558859409231472,0,0,0.20079719324753,0,0.0696211330067269,0,0,0,0.147284860779855,0,0,0,0.27252666211375,0,0,0.0329510172870656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177601423558758,0.058614735542905,0,-0.031827078529363,0,0,0,0,0,0,-0.014116498858338,0,0.0898405717165127,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300097607792816,0,0.047221871224703,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.531302539484293,0.192316863274005,0.0663371207380416,0,0,0,0,0,0,0,0,0.0101605349597907,0,0,0,0,0,0,-0.00771410919573242,0,0,0,0,0,0
X000568.SZ,0,0.712544608935168,0,0.0389100890363098,0,0,0,0,-0.0685887561251655,0,0,0,0,0,0.172843175844405,0,0,0,0,0,0.123282535654384,0,0,-0.0922507750737324,0,0,0,0,0,0,0,0,0.019736956534061,0,0,0,0,0,0,0,-0.0208509652993118,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0169590712240511,0,0,0,0,0,0
X600690.SH,0,0,0,0.0720320316525304,0,0,0,0,0,0.00988589261125982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03050832279174,0,0,0,0,0,0,0,0.076568661937804,-0.110506263955108,0.0968500403462857,0,0.00693725691668939,0,0,0,0,0,0,0.0213930849253095,-4.33680868994202e-19,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0509490349795965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706878946976189,0,0,0,0,0,0,0,0,0.00660091811838764,0,0,0,0,0,0.0666722915881641,0,0,0,0,0,0,0.137645429314181,0.072101522779997,0.128343020089875,0,-0.0787451807699305,-0.0650334171260027,0,0,0,0,0,0.0615899468551442,-0.0680908394759838,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456644019371073,0,0,0,-0.0820279065597319,0,0,0,0,0.195245160413623,-0.341134683339083,0,0,0,0.00151690191224937,0,0,0.139161312173304,0.100457954997365,0,0,0.0658852636235422,0.0366848457688406,-0.170040069744128,0,0.0937516425214503,-0.021122814554473,0.0897316140833159,0.0270653363671334,-0.0389779015542382,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0954421202431013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116127681249878,0.573631403712071,0,-0.0749172183368739,0,0,0,0,0.169879710588397,0,0,0.147216655895375,-0.00454068953181892,0,0,0,0,0.11033218580911,0,0,0,-0.159683765600007,0,0,-0.0258496357710194,0,0,0,0,0,0,0
