,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600031.SH,X000338.SZ,X002475.SZ,X600741.SH,X000661.SZ,X000596.SZ,X601877.SH,X600809.SH,X000100.SZ,X600703.SH,X600271.SH,X000157.SZ,X002007.SZ,X300003.SZ,X300142.SZ,X002236.SZ,X300124.SZ,X002008.SZ,X600177.SH,X000625.SZ,X002179.SZ,X002506.SZ,X600498.SH,X000977.SZ,X600776.SH,X600183.SH,X600487.SH,X002049.SZ,X002371.SZ,X600867.SH,X300146.SZ,X000066.SZ,X600118.SH,X600522.SH,X002129.SZ,X000050.SZ,X600066.SH,X600089.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.112030689650275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125571518821002,0,0,0,0.00812779160145963,0,0,0,0,0.200808648480941,0.122880481114541,0,0,0,0,0,0,0,0,0.00267006341684513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382043913681737,0,0,0,-0.00495813960621841,0,0
X000858.SZ,0,0,-0.0294459227772113,0,0,0,0,0,0,0.129514347400373,0,0,0.301343450062886,0,0,0,0.00534938851794145,0,0.325058719218516,0,0,0,0,0,0,0.166480535507794,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0675490889206824,0,0,0,0.0107946744026766,0,0,0.00547152365792763,0,0,0,0,-0.0239034099497092,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.305152623054156,0,0.0772268760673872,0,0.0640052989589027,0.0653956283394005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147651360517502,0,0.0183546085111084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0423808756742187,0,0,0,0,-0.00317107156115709,0,0
X600104.SH,0,0,0.0407517552629864,0,0,0.144716136741435,0,0,0,0,0,0.0552838465979485,0,0.0263573545309468,0.0501431567001979,0.0358113385755374,0,0,0,0,0,0,0,0,0,0,0,0,0.0586866854514184,0,0.0527589965005806,0,0,0,0,0,0,0,0,0,0,0,0.117608604677294,0,0,-0.0451920947818928,0,0.0183101830661346,0,0,0,-0.0163913112825248,-0.0065222219565761,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0753991647040246,0,0,0,0,0,-0.0513432322477193,0.18311987564095,0.148837223602519,0.157065382385557,0,0,0,0,-4.33680868994202e-19,0,-0.0114817824781381,0,0,0,0,0,0.101908308029987,0,0,0,0,0,0,0.00525364651759459,0,0,0,0,0,0.0679574561401534,-0.0201041999915269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132309419141386,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124646929048745,0.100189567953354,0,0,0,0,0,0,0,0,0,0,0,0.315102616569548,0,0,0,0,0,0,0,-0.0361690267096812,0,0,0.217138538292028,0,0,0,0,-0.0234004254019914,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0515386165729107,0,0
X002304.SZ,0,0.255893294504477,0.141601982058672,0,0,0,0,0,0,0,0,0.0257081836425362,0,0.0191755484983577,0,0,0.144085801138818,0,0,0,0,0,0,0.139107774761311,0,0,0,0,0,0,0,0,-0.0148216816044676,0,0.0374724160961845,0,0,0,0,0.00259125577537528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183888705492929,0,0
X000063.SZ,0,0,0.0310888208456816,0,0,0,0,0,0,0,0,0,0,0.0511813738712867,0,0,0,0,0,0,0.120702030831131,0,0,0,-1.73472347597681e-18,0,1.73472347597681e-18,0.136020174202484,0,0,0,0,0.0756247549860906,0,0,0.133131389628402,0.153353018600013,0,0,0.183974836381486,0,0,0,0,0,0,-0.0455934632201816,0,0,0,0,-0.0268612790901662,-0.060440549399381,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432397843903984,0.0620223725488403,0,0.0591002630259133,0,0,0,0,0.158901912043723,0.245141788192111,0,0,0,0,0,0,0,-0.0132730115980055,-0.0796661485941576,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.20876895522869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395600407281528,0,0.180318716479269,0,0,0.179186751470545,0,0,0,0.002742337077908,0.0236266396573845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162408317578933,0,0,0,0,0.0206482281734922,0,0
