,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X000568.SZ,X002304.SZ,X600690.SH,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X002371.SZ,X600703.SH,X000063.SZ,X000625.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X300142.SZ,X000661.SZ,X002049.SZ,X601877.SH,X000596.SZ,X000100.SZ,X002179.SZ,X600460.SH,X000157.SZ,X000799.SZ,X600741.SH,X600702.SH,X002007.SZ,X002074.SZ,X002414.SZ,X002236.SZ,X600584.SH,X600779.SH,X600089.SH,X600183.SH,X000800.SZ,X601799.SH,X300146.SZ,X300003.SZ,X600884.SH,X000066.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.322618026008828,0,0.0347806347208687,0,0,0,0.113136686947813,0.046443392134717,0,0.0792607363903361,0,0,6.93889390390723e-18,0.0192095235240283,0,0,0,0,0,0.00402780459946588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843135014070481,0,0,0,0,0,0.0168841462424018,0,0,0,0,0,0,0,0,0,0,0,0.0306553292436782,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.16099460645054,0,0,0.164799170579687,0,0,0.32973550043239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801213993975635,0,0,0,0,0,0,0.0138500915845295,0.0770069220698906,0,0,0,0,-0.0727195353639042,0,-0.0644231111550194,0.148438542303097,0,0,0,0,0,0,-0.0514101589504169,0,0,0,0,-0.000275948053291245,0,0,0,0,0,0
X002415.SZ,0,0.0610597290894005,0,0,0.0657516588950067,0,0.124264324177946,0,0,0,0.109945992723305,0,0,0.12762275354033,0,0,0,0.0570649812874612,0,0,0.0260125793274139,0,0,0.0604101746193596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258453286125295,0,0,0,0,0,0,0,0.0799322168071158,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.13749301144627,0.173684531831778,0,0,0,0,-0.0384712101802717,0,0,0,0,0,-0.0120965314521847,0,0,0,0,0,0,0,0,0,0,0,0,0.49354918644819,0,0.126779207610691,0,0,0,0,0,0.0116831861318787,0,0,0,0,0,0,0,-0.172534421040119,0.0448800106163481,0,-0.0707828235837125,0.116350116091472,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,-0.155478551206747,0,0,0.0274103873559042,0,0,0,0,0.0773117616267328,0,-8.67361737988404e-19,0,0,0,0,0,0,0.126939232245081,0.165506470231687,0,3.46944695195361e-18,0,0,0,0,0.272945142078443,0.024445596192267,0,0.00149564013466584,0,0,0,0,0,0,-0.0202043405696375,-0.196181586595473,0,0,0,0,0.104526378773326,0,0,0,-0.0276896585442449,-0.107815547318413,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0170236180242128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137545888988025,0,0,0,0,0,0.0246329833345453,0,0.016467090259154,0,0,0,-0.0518549197494098,0,0,0.0621378969748664,0,0,0,0,0,0,0.0573264703515346,0,0,0,-0.112631567352123,0,0,0,-0.0574224216142287,0,0,-0.0285905169173057,0.110590339929635,0,0,0,-0.0283696612148433,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.0541528037510792,-0.129095187064554,0,0,0,0,0,0,0.0427977925842072,8.67361737988404e-19,0,8.67361737988404e-19,0,0.309736101431773,0,0.0447058087279435,0,0.0976456903787835,-0.0490146061128606,-0.0397281297859615,0,0.0613619967885999,0.0499390664441389,0,0,0,-0.0145908552669535,0,0,0,0,3.46944695195361e-18,0,-0.150125994938883,0,0,0.258415787743795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.215333035551811,0,0.207286422951601,0,0,0,0,0.0698695134318853,0,0,-0.0413004060603157,0,0,0,0,-0.0525787062085059,0,0,0,0,0,0,0,0,0,0,0.11015399969341,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0638704231450532,0,0,0,0,0,0,0,0,0,0,-0.0385714301081968,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.331221012973955,0,0,0,0.349618229409344,0,0,0,0,0,-0.127589088556737,0,0,0,0.175029024740188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810760860880039,0,0,0.100243375744755,0,0,0,0,0,0,0,0,0.128824722211581,0.0396593907135497,0,-0.0792588939430586,0.00627700608791221,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.158797784593544,0,0,0.143087114010964,0.135350939446619,0,0.0629014296870139,0,0,0.0581526931261192,0,0,-0.0324246332137825,0,0,0,-0.0193063155055943,0,0,0,0.0231277297071651,0,0,0.0161184250844351,0,0,0,0,0,0,0.00728948526449887,0,0,0,0,0,0.0541422093754317,0,0,0,0,0,0,0,0,0,0,-0.0523714658977227,0,0,0,0,0,0,0
