,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600271.SH,X600690.SH,X600703.SH,X600741.SH,X002292.SZ,X000100.SZ,X600066.SH,X600031.SH,X002241.SZ,X002236.SZ,X600118.SH,X600177.SH,X600372.SH,X002506.SZ,X000559.SZ,X000157.SZ,X002475.SZ,X000568.SZ,X000338.SZ,X002085.SZ,X300003.SZ,X600089.SH,X300124.SZ,X002074.SZ,X002294.SZ,X600867.SH,X002456.SZ,X002426.SZ,X002465.SZ,X600498.SH,X002180.SZ,X002007.SZ,X002008.SZ,X000869.SZ,X601877.SH,X002508.SZ,X000977.SZ,X000050.SZ,X002049.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.215243318517222,0,0,0.334773709816253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04118487940307,0,0,0,0,0,0,0,0,0,-0.0628963963185451,0.0594960553672527,0,0,0,-0.14959405408387,-0.0103838233069246,-0.0845869968127115,0.0642436477265715,0,0,0.0604556581808036,0,0,0,0,0,-0.000690526539249128,0,-0.0246099761921529,0.0724548965932436,0,0,0,0,0,0
X600104.SH,0.0713168139115801,0,0.185170111742651,0,0,0,0,0,0,0,0,0,0,0.403526501233549,-0.0311205326123733,0,0,0,0,0,0,0,0,-0.00871209268743813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-0.0049575451159691,-0.0172679968514075,0,0,0,0,0,0
X002415.SZ,0,0.0972718909990246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375880978530683,0,0,0.0772056196505892,0,0,0,0,0.036846717935051,0.0287839664010563,0,0,0,0,0,0,0,0,0.0590259776659173,0,0,0.0958793066376614,0,0,0,0.0295394852139038,0,0.0294973668582545,0,0,0,0,0,0,0,0,0.0464789091261661,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.067599608437895,0,0,0,0,0,0,0,0,0,0,0,0,0.0600884500642558,0,0,0,0,0,0,0.0353156003386002,0,0,0,0,0,0,0.000982661215660809,0,-0.0116640179267462,0,0.0348226167026862,0,0,0,0,0,0,0,0.024860389318806,0,0,0.0427365223977792,0.0128286285993491,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0186588585982063,0,0,0,0,0,0,0,0,0.113196511469651,0,0,0,-1.38777878078145e-17,0.0554074902824613,0,0,0,0.106867643435362,0,0,0,0,0,0,0,0,0,0,0,0,0.0482884913575864,0,0,0,0,0,0.0333504703313047,0,0,0,0,0,0,0,0,0.000945756140753552,0,0,0,0,0,0,0
X002304.SZ,0.335998523024035,0,0,0,0.392829585067306,0,0,0,0,0,0,0,0.135552423030103,0,0.0462303379315329,0,0,0,0,0,0,0,0,0,0,0,0,0.0702974475811738,0,0,0,0,0,0,0,0,0.00381710472580628,0,0,0,0,0,0,0.053354683031054,0,-0.0741365806244211,0,0,0.122288234203741,0,0,0.00261152771920646,0,0,0,0,0,0,0
X600276.SH,0,0.19669797446361,0,0,0,0,0,0,0,0,0,-0.0173310494329631,0,0.105371614228436,0.0821469015448023,0,0,0,0,0,0,0.0328979318096018,0,-0.129981806495368,0,0,0,0,0,0,0,0,0,0.11774548839325,0,0,0.0424005977391407,0,0.0839100521291969,0,-0.126585551813554,0,0,0,0,0,0,0,0,0,0,-0.0205789034986789,-0.0014331896260657,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601598348484651,0,0,0,0.0332426305862099,0,0.139708088729746,0.200169373795578,0,0,0,0,0,0,0,0.0485891663637259,0,0,0,0.102514527982681,0,0,0,0,0,0,0,0,0,0,0.068162954211087,0,0,0,0.0332901070462904,0,0,0,0,0,0,0
X000625.SZ,0.0306472203828184,0,0,0,0,0,0,0,0,0.160827963186597,0,0,0,0,0,0,0,0.0321477093972773,0,0,0,0,0,0.0574965408142472,0.0479053599012988,0,0.0355218049089647,0,0,0,0,0,0.0214025774951925,0,0,0,0,0,0.0276680939078356,0,0,0,0,0,0.0371006011099834,0.100508275078065,0,0.0627415746291997,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0193463753799812,0,0,0,0,0,0,0,0,0,0,0,0,0.500515613239822,0,0,0.18315807058451,0,0,0,0,0.0170710116703304,0,0,0,0,0,0,0,0,0,0,0.00499970566170658,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.0267740495870127,0,0,0,0,0,0,0
