,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X000625.SZ,X600690.SH,X000651.SZ,X600104.SH,X002304.SZ,X300124.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X000338.SZ,X002371.SZ,X000063.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600703.SH,X002129.SZ,X000661.SZ,X002236.SZ,X600372.SH,X002241.SZ,X002049.SZ,X600741.SH,X000157.SZ,X600584.SH,X000977.SZ,X601877.SH,X000800.SZ,X600522.SH,X002007.SZ,X600418.SH,X002180.SZ,X601799.SH,X600183.SH,X002074.SZ,X002463.SZ,X300142.SZ,X002028.SZ,X002294.SZ,X000733.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.00089411781688932,0,0.334661559160306,0,0.0965072571190857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0204530354589021,0,0,0,0,0,0,0,0,0,0,0.0868508362348685,0,0.0271000868892261,0,0,0.118182096232789,0,0,0,0,-0.0102102315041299,0,0,0,0,0,0,0
X000858.SZ,0.408736766471375,0,0,0,0,0,-0.0415537061742613,0,0,0,0,0,-0.125708595072414,0,0,0,0,0,-0.0412687523782631,0,0,0,0,0,0,0,0,-0.00223121788752097,0,0,0,0,0,0,0.0309053078556772,0,0,0,0,0,0.0244199825976232,-0.0878832540370481,0,0,-0.011257415538371,0.202955188966801,0,0.0195464237900807,0,0,0,-0.00361670023434473,0,0,0,0,-0.0366187001971346,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768530688877424,0,0,0.0573206413058512,0,0,0,0,0,0,0,0,0.108771823045883,0,0,0,0,0.121735670125044,0,0,0,0,0.0541332398141472,0,-0.100971474377132,0,0,0,0,0,-0.013494033284352,-0.0946062840127495,0,0.0060965670410599,0.00236380884692558,-8.67361737988404e-19,0,0,0,0,0,0
X000568.SZ,0.401832149646893,0.0279359791801027,0,0,0,0.269216637965495,0,0.0283031235395402,0.0880427236106032,0,0,0,0.128177014019599,0,0,0.262314613440838,0,-0.0446962604580651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00784758921389364,0,0,0,0,0,0,0,-0.0369651647483367,0,0,0,0,-0.00627043383148758,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0771493441878173,0.00542843062722536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199719032776211,0.0517222710316289,0,0,0,0,0,0,-0.0339178190135298,0,0,0,0,0,0,0.031652734980074,0,0,0,0,0,0.209283456132074,0,-0.0652873162880878,0,0.00568629615942226,0,0,0,0,0,0,0
X600809.SH,0.259964342738349,0,0,0.31559351101103,0.00854423089414904,0,0.0745717779607789,0,0,0,0,0,0,0,0,0,0,-0.0263482321708724,0,0,0,0.0381869078686754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0822702003264239,0,0,0,0,0,0,0,0.0253833431360106,0,0,0,0.0706091899211697,0,-0.0244761687480272,0.0469035436313758,-0.0910397388743993,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.16924760724432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880395002096262,0,0.175251181407512,0,0,0,0,-0.0324279178235174,0,0.026724660386925,0,0,0.0622661146024429,0,0,0,0,0.202375718908345,0,0,0.16476882080535,0,0,0,-0.0595372004558395,0.0752199601751543,0,0,0,-0.153218843695516,0,0
X000625.SZ,0,0,0,0,0.0802610972912733,0,0,0,0,0,0,0,0,-0.0204778043266213,0,0,0,0,6.93889390390723e-18,0,0,0,-0.189882852835017,0,0,0,0,0,0,0,0,0,0,0,0,0.393121120687852,0,0,0,0.503800252921593,0,0,0,0,0,0,0,0,0,0,0,-0.0312735354120337,0.0221409834737676,-0.192981252416707,0,0,0,0,0
X600690.SH,0.158105307410058,0.0456590332836808,0,0,0,0,0,-0.0174930880438094,0,0.122886730107264,0,0,0,0,0,0.0137791725167861,0,0,0,0,0,0,0,0,0,0,0.0834718525911183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0459812381420076,0,0,0,-0.00980968033664463,0,0,0.0090916433591779,0.00841846380760561,0,0,0,-0.0186882825919794,0,0
X000651.SZ,0,0,0,0,0,0,0.0124498559179277,0.022065509206974,0.23717266948545,0,0,0,0,0,0,0,0.0454891183899999,0,0,0,0,0,0,0,0,0,0.0644157218558638,0,0,0,-0.037156915870477,0,0,0,0,0,0,0.0592421296267536,0,0,0,0.0212851250769286,0,0,0,0.0492688315964549,0,0,0,-0.131815042002754,0,0.0665433247500856,-0.138303787650103,0,0,0,0,0,0
