,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X600031.SH,X002475.SZ,X002241.SZ,X000338.SZ,X600066.SH,X002456.SZ,X601877.SH,X300124.SZ,X000100.SZ,X002508.SZ,X002085.SZ,X300136.SZ,X300003.SZ,X600089.SH,X600271.SH,X002294.SZ,X002008.SZ,X600177.SH,X600522.SH,X000157.SZ,X002007.SZ,X600487.SH,X600118.SH,X600867.SH,X600809.SH,X600566.SH,X000981.SZ,X600372.SH,X600699.SH,X000559.SZ,X002074.SZ,X000050.SZ,X600498.SH,X300115.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,-0.0073443820428906,0,0.00740350920646576,0,0,0,0,0.0424273641001939,0,0,-0.0420476902097289,0,0,0,0,0,0,0,0,0,0.0722816415986358,0,0,0.0923696101823874,-0.0407453528837736,0,0,0,0,0,0,0.20415702831298,0,0,0.425878572983084,0,0,0,0,0,0,0,0,0,0,0,0,-0.00416892472728478,0,0,0,0,0,0
X600104.SH,0,0,0,0.289228384119945,0,0,0,0,0,0.0528887375751272,0,0.361152270024834,0,0.0416284732028953,0,0,0,-0.00958582003648388,0,0,0,0.0110222990983705,0,0,0,0,-0.196197502884676,0,0,-0.142148628888068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073566010173295,0,-0.0500288704984455,0.0213812454156562,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.204765982881492,0.130072813154137,0.0733151457227741,0,0,0,0,0,0.00587845359167381,0,0.415739144904756,0,0,0,0,0,0,0,0,0,0.230769232951916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.199782042928208,-0.0588367613799859,0,-0.0360888492432681,0,0,0,0,-0.00452224985735661,0,0,0,0,0,0,0
X000651.SZ,0,0.0964010951040818,0,0,0.130982213482793,0.0539410830045524,0,0,0,0,0,0,0,0,0.14858125758487,0,0,0,0,0,0,0,0,0,0.0904183946373831,0,0,0,0.0109551968008677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123082048323026,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.695437636333985,0,0.0875532323437315,0,0,0,0,0.0232187742434255,-0.0176195029470469,0.0426700957015551,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0982526659589402,0,0,0,-0.00582126054515237,0,0,0.0626544913784981,0,0,0,0,0.00133216617291211,0.00851868309229162,0,0,0,0,0,0
X000725.SZ,0.0539994694114878,0,0.0719267847019576,0.0532779109928253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309993404009137,0,0,0.234195563869119,0.68295556665986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13891575109761,0.12584168941539,0,0,0,0,0.000285390381052057,0.0452226607166297,0,0,0,0,0,0
X600276.SH,0,0.151264948504113,0.161079546519384,0,0,0,0,0.00762079529220964,-0.00823790028752016,0,0,0.0851744861031491,0,0,0,-0.11282369987407,0,0,-0.0236037396992261,0,0,0,0,0,0,0,0,0,0,-0.189770885178557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0332484749208856,0,0,0,0,0.00719579633054037,0.00699358442882454,0,0,0,0,0,0
X002304.SZ,0.154143606726373,0.138969310728775,0,0,0.44485730105455,0,0,0,0,0.0648928306327189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010017343780804,0,0,0,0,0,0,0,0.140720782688331,0,0,0,0,0,0,0,0,-0.116191458184236,0,0,-0.00783469567955256,-0.013681045836369,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,-0.0125146989966111,0.217693908547861,0,0,0,0,0,0,0,0,0,0.129873088629034,0,0.172458733817648,0,0,0,0,0.051385702069373,0,0,-0.0331020899314441,0.0183690238822892,0,0,0,0,0.077414058052498,0,0,0,0,0,0,0,0,0,0.118839820735032,0,0.140012472107386,0,0,-0.0126606135178793,-0.0186908239968887,0,0,0,0,0,0
X600690.SH,0,0.311204387729655,0,0.0857066431494418,0,0,0,0.0410178253190469,0,0,0,0.287842042061282,0,-3.46944695195361e-18,0.179195607945506,0,0,0,0,0,0,0,-0.0448831750884825,0,0,0,0,-0.148828974456234,0,0,0.0462808855154753,0,0,0.00286410780069064,0,0,0,0,0,0,0,0,0,0,0,0,-0.00915121219464751,0,0,0,0,0.0216752234986063,0,0,0,0,0,0,0
