,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X002304.SZ,X600104.SH,X000568.SZ,X600031.SH,X600809.SH,X000725.SZ,X600690.SH,X000661.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002241.SZ,X300014.SZ,X000596.SZ,X000100.SZ,X600741.SH,X002371.SZ,X000157.SZ,X002007.SZ,X002179.SZ,X002129.SZ,X600584.SH,X601877.SH,X002049.SZ,X600183.SH,X002236.SZ,X002414.SZ,X300142.SZ,X000800.SZ,X300003.SZ,X601799.SH,X000066.SZ,X300136.SZ,X002008.SZ,X002185.SZ,X002456.SZ,X000977.SZ,X300146.SZ,X600066.SH,X002156.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.352031624058565,0,-0.0621397503383245,0,0.0438566204733553,0,0,0,0,0.152583991296316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146943211665444,0,0,0.055338055576853,0,0,-0.0163062996365434,0.14435637955037,0,0,0,-0.0649800539922252,0.0475898694434373,-0.0228416293702063,0,0,0,0,0,-0.0776807926914951,0,0,0.0291261356861108,0,0,0,0,0.0242505252050798,0,0
X000858.SZ,0,0,0,0,0,0,0.141356061469867,0,0,0.00631626022005902,0.338276548891572,0,0.0219812812662919,0,0,0,0,0,0,-0.0461444212871538,0,0,0,0,0.0366670345006906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212656991393502,0,0,0,0,0,0,-0.0263216008400578,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0954616908610733,0.146617035754662,0,0,0,0.11136766676412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00292248585088608,0,0,0,0,0,0,4.33680868994202e-19,0,0.0520068336816223,0,0,0,0,0.0111144532554488,0,0,0,0,0,0,0,-0.239506465940185,0,0,-0.0292114241156767,0,0,0,0.0082082935187818,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0814052179751093,0,0.0495060385119025,0,0,0,0,0,0,0,0.0185014862123835,0,0,0.0529425478211212,0,0.00891080954323129,-0.0407374046030968,0,0,0,0,0,0,0,0.19541207793176,0,0,0,0,0.15173219563449,0,0,0,0,0,0,0,0.00222228461988232,0.104012221138959,0,0,0,-1.73472347597681e-18,0,0,0,-0.000736994362218568,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0202968539097933,0,0,0,0,0.136366556028587,-0.0513549068983446,0,0,0,0,0,0,0,0,0,0,0,0,0.161666370210474,0,0.143787655008619,0,0,0,0,0.0571875706109379,0.0290094380988417,0,0.116865819317255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019267878836978,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.08688876319611,0,0,0,0,0,0,0.109992480612775,0,-0.0389623413214591,0,0,0.58676985499607,0.0400448444412314,0.075626009346905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425215688877494,0,0.029615063758309,0.00571406188514706,0,0,0,0,0,0,0,0,0.00817478623680445,0,0,0,0,0.00988853225290921,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.227462758109873,0,0.214492768108026,0,0,0,0.00837191990338256,0,0,-0.0484848482666453,0,0,0,0.202422989400611,0.0872222254417513,0,0,0,0,0,0.0486070084518209,0,0,0,0,0,0,0.0449467159015831,0,0,0,0.133882063529237,0,0,0,0,0,0,0,0,0,0,0,0.0398976601443711,0,0,0,0,-0.00185361190377465,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,-0.0504073920248226,0,0,0,0,0,0,0.159550340740459,0.184744131444431,1.73472347597681e-18,0,0,0,0,0.0695434181656843,0.162176390692578,0,0.0418652849049834,0,0,0,0,0.0502467893499181,0,0,0,0.029790423195885,0,0,0,0,0,0.111979137274118,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0239529798379265,0,0
X000568.SZ,0,0,0,0,0,0,0.320042525590753,0,0,0,0.33389264873592,0,0,-0.0181873678370652,0,0,0,-0.13465915780165,0,0,0.117705116959403,0.100235461853539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820954072963407,0,0,0,0,0.112569056492224,0,0,0,0,0,0.0458745767956402,0,0,0,0.00998463959311378,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.0618158505297071,0,0,0.183988407036525,0,0,0,0,0.224780926668531,0,0,0.0573370620164337,0,0,0,0.0701876176890946,0.235645998376871,0,0,0.107763849496612,0,0,0,0,0,0,0,0,-0.105504172662897,0.118673666966273,-0.108841941964028,0,0,0,0,0,0,0,0,0,0,0.0393096398509174,0,0,0,0,0.0204082891139472,0,0
