,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X600690.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X000725.SZ,X002371.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X000596.SZ,X000625.SZ,X600031.SH,X000063.SZ,X000100.SZ,X300014.SZ,X000157.SZ,X002179.SZ,X600089.SH,X002463.SZ,X600703.SH,X600372.SH,X000977.SZ,X600066.SH,X002236.SZ,X000921.SZ,X002241.SZ,X002028.SZ,X600741.SH,X002049.SZ,X000661.SZ,X600584.SH,X600522.SH,X600183.SH,X601877.SH,X002129.SZ,X000800.SZ,X601799.SH,X600566.SH,X002223.SZ,X600060.SH,X600177.SH,X002007.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.257377880754268,0,0.0141815711046122,-0.0146773400445885,0,0,0,0,0,0.0606746525895835,0,0.015344053667736,0,0,0,0,0,0,0,0.000583919904064816,0,0,0,0.0224078955403194,0,0,0,0,0,0,0,0.0554950554763313,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210361938371757,-0.00767964454065071,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.417257167477173,0,0,0,0,0,0,0,0,0.149825102594073,0.0321546460256893,0,0,0,0,0.0568038218777534,0,0,0,0,0,0,0,0,0,0,0,-0.0100215694277369,0,0.0341207591383929,0,0.0540070642939797,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025534736332522,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.374990534450124,0,0,0,0,0,0.0329323765391672,0,-0.0497380007995358,0,0.0718755067319833,0,0,0,0,0,-0.129036739172371,0,0,-0.0412651775747613,0,0,0,0.183107645755752,0,0,-0.00460193069824883,0,0,0,0,0,0,0,0,0,-0.0239684526544563,0,0,0,0,0,0,0.0868351787918389,0,-0.0841540645439495,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0479462326721667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658755539695276,0,0,0,-0.0522410657073584,0,0,0,0,0,0.0444740880913086,0,0,0,0,0,0,0.0659652745204964,0,0.0509212011736445,0,0,0.154438987659152,0,0,0,0,0,0,0.0540013340140528,0,8.67361737988404e-19,-0.00751540408751697,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186878361442911,0,0,0,0,0,0,0.00846567145221011,0,0,0,0,0,0,0.0362504499059967,0.307730818478188,0,0,0,0,0,0.0666839031605786,0,0,0,0,0.106293168159535,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.213703359843596,0,0,0,0,0,0,0,0.0837910959533389,0,0,0,0,0,0,0,0.0731445110887079,0,-0.133764430079422,0,0,0,-0.0817252926820472,0,0.235148483366045,0,0,0,0,0,0.0573171525345833,0.00648499010270295,0.043614955821193,0,0,0,0,0.0993533051480421,0,0.066180870676278,0,0,0,0,-0.0252918637113289,0,-0.0881810235747388,0,0,0,0,0
X000568.SZ,0,0.802301715352703,0.221137497554955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494931656886582,0,0,0.0842239047998767,0.147644819645633,0,0,0.0546525785253678,-0.170530261220233,0,0.041755155349321,0,0,0,-8.67361737988404e-19,0,-3.46944695195361e-18,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146516894039127,0.0287088078538096,0,0,0,0,0,0
X000651.SZ,0,0,0,0,-0.0886060563955206,0.250664090789283,0.109728038976837,0,0,0,0,0,0,0.0954567165426093,0,0,0,-0.112097303191877,0,0,0.033006637016426,0,0,0,0.248799574606636,0,0,0,0,0,0,0.156828677007634,0,0,0,0,0,0,0,0.0547367162419154,-0.223224816207668,0,0,0,0,-0.0543853591245977,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251530622875902,0,0.0388428448229579,0.00287698758873305,0,0,0,0,0,0.264691380192243,0,0,0,0,0,0,0,0,0.43691495260755,0,0,0,0,0.0628535900332395,0,0.0183748162053237,0,0,0,0.0968361045159025,0,0,0,0,0,0,0,0.00978325921236353,-0.0775339224763034,-0.288446991705972,0,0,0,0,0
X003816.SZ,0,0,-0.0724712637833889,0,0,0,-0.261339893421923,0,-0.088209925121088,0,0,0,0,0,0,0,0,0,0,0.181066053473009,0,0.163634224046322,0.241952607070016,0,0,0,0,0.0964151689176503,0,-0.0348401622141766,-0.0424298911448879,0.0683730691946557,0,0,0,0.0182609116208686,0,0,0.0588795769936434,0,0,-0.284699671819166,0,0,0.299336715954018,0,0,0,0,0,0,-0.0806738982170096,-0.0466421619260952,0,0,0,0,0,0
