,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X000338.SZ,X002241.SZ,X002236.SZ,X600271.SH,X002456.SZ,X600118.SH,X002085.SZ,X600177.SH,X000157.SZ,X002292.SZ,X600372.SH,X002426.SZ,X300124.SZ,X002007.SZ,X000559.SZ,X600867.SH,X300003.SZ,X600089.SH,X002294.SZ,X002180.SZ,X002506.SZ,X600522.SH,X002074.SZ,X601877.SH,X000981.SZ,X000623.SZ,X002508.SZ,X600498.SH,X300136.SZ,X000869.SZ,X000050.SZ,X000536.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.274218368724524,0,0,0,0,0.00229789479272198,0.093914239049109,0,0,0,0.0606833597259253,0,0,0,0.0737296896459022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258787638574013,0,0.0115470898530454,0.0532707734150078,0,0,-8.67361737988404e-19,0,0,0.0303342220489198,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.141291920827612,0,0.255980125409445,0,0,0,0,1.73472347597681e-18,-0.00763813439878224,0.00211126954155008,0.0190149260657306,0,0.162529731357854,0,0,0,0,0,0,0,0,-0.264551965774215,0.0971792689993393,0.0413568021281697,0,0,0,0.107316594730942,0,0,0,0,0,0,0,0.0450819297271229,-0.101086686939667,0,0,0,0,0,-0.0023229433018443,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0321940497909161,0,0.191113144288158,0.512396346096786,0,0,0.0533848139000228,0,0,0,0,0,0,0,-0.0202553338651644,0,0,0,0,0,0,0,-0.132587266484681,0,0,0,0,0,0,0.0279493582800098,0,0,-0.0201884549370158,0,0.148964889930547,0.221849318933943,0,-1.73472347597681e-18,0,0,0,0,0,0.0501887138817794,0.160054188381029,0,0,0,-0.302209166535987,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695646229726406,0.0976915975496912,0,0,0,0,0,0,0.0166451454946793,0,0,0,0,0.14322985388475,0,0,0,0,-0.0427843225955966,0,0,0,-0.0417363097549257,0,0,0,0.502529764751718,0,-0.0178616987481016,0.0370570299371939,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.0462935799242869,0,0,0,0,0,0.0479107747304305,0,0,0,0.0139413141854329,0,0,0.0805929036644042,0.378611808577452,0,0,0.0415099217658079,0,0,0,0.0356122136356407,0,0,0,0,0,0,0,0,0.0277016119713639,0,0.0475625355674232,0,0,0,0,0,0,0.0234619289530904,0,0,0,0,0.045764680214826,0,0.160932099082284,0,0,0,0,0.025329673391487,0,0,0,0,0,0
X600276.SH,0,0,0.010045150935496,0,0,0,0,0,0,0,0.0778923608430054,0,0,0,0.171307870583701,0,0,-0.0779358429691054,-0.0751525606736125,0,0,0.0956269013695589,0,0,0,0,0,0,0,0,0,0,0,0,0.163094929229702,0,0,0,0,0.0882487535088796,0.0551448528988543,0,0,0,0,0,0,0,0,0,-0.00164753136604127,-0.0565842104612985,0,0,0,0.0576025017333296,0,0
X002304.SZ,0,0,0,0,0.32146704622218,0,0,0,0,0,0,0.0214531856344698,0,0,0,0,0,0.0389538595408097,0,0,0,0,0,0,0,0,0,0,0.0347812012073785,0,0.0217377745421419,0,0,0,0,0,0,0,0,0,0,0.0463000253107077,0,0,0,0.0507809126905549,0,0,0.0993007516285526,0,-0.0120398043932628,0,0,0,0,0,0,0
X000725.SZ,0.0193461872500817,0,0.117910535291391,0,0,0,0,0,0,0,0,0,0,0.0314417354181807,0,0,0,0,0.0781718042564613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678278739983772,0,0.31068764953721,0.0373389196186964,0,0,0.0338086182750983,0,0,0,0.129335266881159,0,-0.00523567232382473,0,0,0,0,0,0
X000625.SZ,0,0,0.0911972758766913,0,0.156438501885105,0,0,0,0,0,0,0.105230430379593,0,0,0,0,0,0,0,0,0,-0.0579617026954223,0,0,0,0.0560610206801091,0,0,0,0,0.0192346273396254,0,0,0,0,-0.0849937153680678,0,0,0,0.067870633876668,0.0259309076060506,0,0.00478935456978097,0,0,0,0.0953133563227712,0,0.0179361432798793,0,0.0693102495317279,-0.0350407152661178,0,0,0,0,0,0
X000063.SZ,0,0.0501491100322941,0.0534960141352713,0,0,0,0,0,0,0,0,0,0,0.0409338099441118,0,0,0,0.211332756036603,0,0,0,0,0,0,0,0,0,0,0.0215462020800138,0,0,0,0.288070066583899,0,0,0,0,0,0.00432682691910429,0,0,-0.024470476261781,0.256839014869623,0,0,0,0,0,0,0,-0.00136113472994841,0.00310251813113699,0,0,0,-0.26613681175432,0,0
