,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X000661.SZ,X000063.SZ,X600031.SH,X000568.SZ,X000725.SZ,X003816.SZ,X600809.SH,X000338.SZ,X002241.SZ,X600690.SH,X600703.SH,X300142.SZ,X002007.SZ,X300014.SZ,X000596.SZ,X002371.SZ,X300124.SZ,X000100.SZ,X002049.SZ,X300003.SZ,X600741.SH,X600584.SH,X002129.SZ,X000157.SZ,X000800.SZ,X600183.SH,X002414.SZ,X002236.SZ,X601877.SH,X000977.SZ,X000625.SZ,X000066.SZ,X002456.SZ,X300136.SZ,X002179.SZ,X002185.SZ,X002008.SZ,X002463.SZ,X600118.SH,X601799.SH,X002180.SZ,X000021.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0987129383103766,0,0,0,0,0,0.132864765498855,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.171554244006457,0,0,0.135426821633481,0,0,0,0.00544023882186325,0,0,0.0244479908237876,0.00458420813796003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100512112017312,0,0,0,0,0,0,0
X000858.SZ,0.173164826566143,0,0,0,0,0,0,0.178989660887003,0,0,0,0.13586649271338,0,0,0.293317897150009,0,0.127907490484571,0,0.0201849811663289,0.0187530111732669,0,-0.00868635813617571,0.0521259180333915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194562063868566,0,0,-0.00859743754270732,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0585996154035252,0.102287721283008,0,0,0,0,0,0.0656549050466772,0,0,0,0,0,0.0561433564351461,0,0,0.103966900772806,0,0,0.0357037365742683,0.189809127503634,0,0,0,0,-0.0626136382833038,0,0,0,0,0.0739356330968552,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143093568645575,-0.00136293587966867,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288880450037152,0.0669801095695717,0,0,0,0,0.0736923905953208,0,0,0,0.0876984294974092,0,0,0.0385549236527186,0,0,0,0,0,0,0,0,0,0,0.124940828069993,0,0,0,0,0,0,0,0,0,0,0,-0.0352029261773901,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0283738414183358,0,0,0,0.0837728991261825,0,0,0,0.102954248636984,-3.46944695195361e-18,0,0.012026244647964,0.064236434350098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305348484553951,0,0,0,0,0,0,0.0187602718953161,-0.0248392471912732,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0383322494402895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141984672956821,0,0,0,-0.0402680390278011,0,0,0,0,0.316430976403288,0,0.135008441316529,0,0,0,0,0,-0.0219930033935277,0.0606483630178664,0,0,0,0.0418469440546305,0,0,-0.00238871838828065,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0443188126300951,0,0,0,0,0,0,0,0,0.120530220890901,0,0,0,-0.0549786638831035,0,0,0,0,0,0,0,0,0,0,0.087446719060877,0,0,0.201447622660253,0,0,0.0865280875727226,0.0194546511922437,0.0231135235638975,0,0,0.0923750622558829,0.0214330266105833,0,0,-0.0646364873135462,0,0,-0.0869629294618856,-0.0163491904031561,0.0120721388717455,0,0,0,0,0,0
X002304.SZ,0,0.245929895721929,0,0,0,0,0,0,0,0,0,0.379969757469554,0,0,0,0,0,0.00467598653399914,0,0.0504053842163051,0,0,0.13923369747796,0,0,0,0,0,0,0,0,0,0,0,0.0205230689112268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00881695301522342,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0.16593183443736,0,0,0,-0.0537876454213087,0,0,0,0,0,0,0,0,0.0287404400232661,0,0,0,0.292319390622245,0,0,3.46944695195361e-18,0.0264865107159189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107092358646973,0,0,0,0.0125867873729805,-0.029008817140378,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560594090036845,0,0,0,0,0,0.0133484417663656,0,0,0,0,0.0494497103204214,0,0,0,0,0,0,0.244769994579235,0,0,0,0.0480460583938264,0,0,0,0,0.246515114775999,0,0,0,0.212026430498262,0,-0.00981629040241333,0.0156014546988104,-0.0254951922484357,0,0,0,0,0,0
