,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X000568.SZ,X600031.SH,X002304.SZ,X600809.SH,X000725.SZ,X000063.SZ,X000661.SZ,X003816.SZ,X600690.SH,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X002007.SZ,X300124.SZ,X300014.SZ,X000100.SZ,X600741.SH,X300142.SZ,X002371.SZ,X002049.SZ,X002129.SZ,X000625.SZ,X601877.SH,X000157.SZ,X002236.SZ,X300003.SZ,X000800.SZ,X600584.SH,X002414.SZ,X300136.SZ,X600183.SH,X002179.SZ,X000066.SZ,X000977.SZ,X601799.SH,X002456.SZ,X600118.SH,X002185.SZ,X000050.SZ,X002294.SZ,X002008.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0679314081519069,0,0,0,0,0,0.190327317804019,0,0,0.246712052510489,0,0,0,0,0,0,0,0.034271892398256,0,-3.46944695195361e-18,0,0,0.000779928879679856,0,0,0,0.00376447573005668,0,0,0,0,0.0630273877944718,0,0,0.0400654355216767,0,0,0,0,0,0,0,0,0,0,0,0.0726688514543471,0,0,0,0.00339580915374986,0,0,0,0,0,0,0
X000858.SZ,0.098510040287284,0,0,0,0,0,0,0,0.0768393273141511,0.232069773427319,0.431476380300835,0,0,0.0196889207400674,0,0,0.0810076127700397,0,-0.0100824812763249,0,0,0,0,0,0,0,0,0.0112396398011039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315851774430251,0.0278226990354421,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.237166071271947,0,0.0577029974611379,0.0699858238635062,0,0,0,0,0,0,-0.0828664207170863,0,0,0.0498887538153887,0,0,0,0,0,0,0,0,0,0,0,0.0942197909531598,0.0776963653499827,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0239812481206279,0,0,0,0,-0.00249220640455817,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328682409046697,0,0,0,0,0,0,0.0639774820599444,0,0,0,0,0.0700441310777292,0,0,0,0,0,0,0.0600140993772163,0,0.013701409916598,0,0,0,0,0.0287033964112705,0,0.0189027316224091,0.0801238002722262,0.103265691757714,0.0544464667076323,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.125135401886841,0,0,0,0,0,0,0,0,0,0,0,0.0909142018008821,0,0,0.0411949447479894,0,0,0,0,0,0,0,0,0.0775524550486096,0,0,0,0,0.216359570811194,0,0,0,0,0.0472834149660632,0,0,0,0,0,0,0,-0.0810866158178509,0,0,0,0,0,0.0126721579000759,-0.00386429437257235,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.036902860829735,0,0,0,0,0,0,0,0,0,0,0.136735233205733,0,0,0,0,0,0,0,0,0,0,0,0.157801641403769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323975669265574,0,0.0352898531366449,0,3.46944695195361e-18,0.020592129149821,0,0,-0.0433235566960577,-0.0276143262893671,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.141463489871952,0,-0.0851802628147883,0,0,0,0,0,-0.0138482820817435,0.149130905687351,0.0964322456020581,0,0,0,0,0,0.135632248055436,0,0,-0.0533545134963673,0,0.0287588175358645,0,0,0,0,0.0249985025332593,0,0,0,0.0274204666909697,0,0.116557160095706,0,0,0,0,0,0,0,0,0,0,-0.0281816265671773,0.0212966511089982,0,0,0,0,0,0
X000568.SZ,0,0.0657197971782437,0,0,0,0,0,0,0,0.446456249826536,0.237008496068786,0,0,0,0,0,0.0838701044013561,0,0,0,0.0825520116942936,0,0,0,0,0,0,0,0,0,0,0,-0.0722549229321852,0,0,0.016708257676861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214080246641272,0.00729811440171972,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.0657659755353235,0,0,0,-0.00925572142911293,0,0,0,0.402974471608587,0,0,0,0,0,0,0.0497020936287577,0,0,0,0,0,0,0.350134248851801,0,0,0,0,-0.00951765130321475,0.0160899379083388,0,0,0,0,0,0,-0.0181518133551321,0,0,0,-0.0699160475815141,0,0,-0.0143696880883856,0.0326227413699865,0,-0.0452285564816968,0,0,0,0
X002304.SZ,0,0.21141605230245,0,0,0,0,0,0.245565571504433,0,0,0.0607107077907294,0,0,0,0,0,0,0,0,0.108399203748104,0,0,0,0,0,0,0,0,0.185422115095539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615612530459419,0,0,0,0,0,0
