,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X002304.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X600703.SH,X000661.SZ,X600741.SH,X000100.SZ,X002241.SZ,X600809.SH,X300014.SZ,X002371.SZ,X002236.SZ,X000596.SZ,X600183.SH,X000977.SZ,X300003.SZ,X601877.SH,X002007.SZ,X300124.SZ,X002129.SZ,X000625.SZ,X002180.SZ,X000157.SZ,X600584.SH,X002456.SZ,X300142.SZ,X000066.SZ,X300136.SZ,X600271.SH,X002008.SZ,X002179.SZ,X600118.SH,X002463.SZ,X002049.SZ,X002414.SZ,X000050.SZ,X600699.SH,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.083221831881522,0,0,0,0,0,0,0,0,0,0,0.134410315742238,0,-0.0164175736651385,0,0,0,0,0,0.382937639197451,0.00206291767230499,0,0,0.0276768881143505,0,0,0.133145625648572,0,0,0,0,0,0,0,0,0,0.0805437003457435,0,0,0,0,0,0,0,0,-0.0134246870807423,0,0.0107916263035885,-0.151491200997782,0,-0.0375291387187343,-0.0400795959897152,0,0,0,-0.112455927592495,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0620486771186091,0,0.458509633194718,0,0,0,0,0,0,0,0.0080703290496781,0.00561015081807647,0,0,0,0,0,0,0,0,0,0.037974243363498,0,0,0,0,0.0340009417902206,0.124218415601159,0.00920501263543898,0,0.00586078293837908,0,0,0,0,0,0,0.0293551161574187,0,0,0,0,0,0,0,0,0,0
X600276.SH,0.176063272565739,0,0,0,0,0,0.0257737056878569,0,0,0,0,0,0,0,0,0,0.124391099590431,0,0,0,0,0,0.0213618145899679,0,0,0,-0.0891228343947226,0.151089535042124,0,0.104581618222211,0,0,0,0,0,0,0,0.0216608393460175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139349710181381,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.0072294273057789,0,0,0,0.14397376290589,0,0,0,0.0209472875845152,0,0,0.0665902554809959,0.00912620864075972,0,0,0,0,0,0,0,0,0.0821190095527397,0,0.035208981828899,0.00650997497170959,0,0,0,0,0.0102030381144983,0,0.0689077867698812,0,0,0,0,0,0,0.0484059389989637,0.0203053780734359,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.000198887023438857,0,0,0,0,0,0,0.0824452939064805,0,0,0,0,0,0,0,0,0,0.339372647754891,0,0,0,0,0,-0.0111491423418586,0.23098952492244,0,0.0347491680695807,0,0,0,0,0,0,0,0,0.187512743606404,0,0,0,0,0.0670607512374808,0,0,0,0,0,0.0348980422490232,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.226927665575255,-6.93889390390723e-18,0,0.0378839110118534,0,0,0,0,0,0,0.176636406552147,0,0,0,0,0,0,0.0181072449558031,0,0,0,0,0.101775805552735,0,0.204564493523428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133578443052668,0,0,0,0.00277042965202831,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.0192755128616922,0,0,0,0,0,0,0,0,0,0,0,0.160773594842094,0.133334266373421,0,0.275757247192988,0,0.0471757885918228,0,0,0,0,0,0,0,0,0,0,0,0.0176495502112994,0,0,0,0.0421557664716685,-0.0103927000508289,0.0859800757867236,0,0.117525126570601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383594453055133,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216749307351836,0,0,0.0180465012925726,0,0.00497637251524508,0,0,0,0,0,0,0,0,0,0.090271274960905,0,0,0,0,0,0,0,0.192816109547081,0.182792154323251,0,0,0,0,0,0,0,0.0909664205925716,0.0709986162082484,0,0,0.020456152311214,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0232818244743677,0,0,0,0,0,0.0124398026712631,0,0,0.407241777705604,0,0,0.0447976902683578,0.0255014407584489,0,0,0,0,0,0,0,0,0,0,0.026736850630707,0,0,0,0,0,0.170638553737091,0,0,0,0,0,0,0,0,0,0.0155400382619133,0,0,0,0,0,0,0.02113747899487,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0270631128921903,0,0,0,0,0,0,0,0,0,0,0,0.164112620548166,0.0705055435447641,0,0,0,0,0,0,0,0,0,0,0.135212265860329,0,0.21900508055575,0.139113738575311,0,0,0,0,-2.77555756156289e-17,0,0,0,0.0110898411147539,0.0442365550977496,0,0.0128149138654707,0,0,0,0,0,0,0
