,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X000063.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X002371.SZ,X000338.SZ,X300014.SZ,X002129.SZ,X002179.SZ,X600703.SH,X002236.SZ,X000100.SZ,X002049.SZ,X600089.SH,X600372.SH,X000157.SZ,X600741.SH,X000661.SZ,X000977.SZ,X600584.SH,X002241.SZ,X601877.SH,X600522.SH,X002463.SZ,X601799.SH,X600702.SH,X000733.SZ,X000800.SZ,X002074.SZ,X002007.SZ,X300142.SZ,X002028.SZ,X002180.SZ,X600183.SH,X600460.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.278204221573472,0.0292623301135345,0.0373675155794482,0,0,0.0264463232910248,0,0,0,0.182164649409509,0,0,0,0,0,0,0,0,0,0,0,-0.0422730740332788,0,0,0,0,0,0,0,0,0.053240656793271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428879359430489,0,-0.00384892305406153,0,0.0238762768374972,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317665290501505,0,0.182622562606564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249218587972971,0,0,0,0,0.0085624488790494,-0.175108068312533,0,0,0,0,0,0.223051847183376,0,0,0,0,0,0,0,0.00940752698717723,0,0,0,0,0,0
X000568.SZ,0.131046130493882,0.432010726769626,0,0,0,0.0618070575504845,0,0,0,0,0,0,0,0,0,0.260286779049701,0,0,0.0646070403563817,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0825888727547768,0,0,0,0,0,0,0,-0.112063353233339,0,0,0,0.0285516616947818,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,-0.0745855659928797,0,0,0,0,0,0,0.0871059557449858,0,0,0,0,0.0167754331329192,0.114427168119528,0,0.0201734652145679,0,0,0,0.201646128385374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214918480968766,0.0274779800005016,0,0,0,0,0,0,0,0,0,0,0.0178319020196895,0,0,0,0,0,0,0
X600809.SH,0,0,0.312810694294709,0,0,0,0,0.0368131470310731,0,0,0,0,0,0,0,0,0,0.0170574303814304,0,0,0.0905157455266004,0,0,0,0.128439221138625,0,0,0,0,0,0.0701438908084187,0,-0.108197804687737,0,0,0,0,0.0490114729521565,-0.0210697263465496,0.268084895271816,0,0,0,0,0,0,-0.068883881882627,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,-0.134975543638582,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.291621230365347,-0.0649649538284939,0,0,0.0243445172776637,0,0,-0.320893024263429,0,-0.0339463795911518,0,0,0,0,0.594798916703737,0,0,0,0,0,0.183815074579048,0.095969682333706,0,0,0,0,0,0,0.243892152822866,0,0,0,0,0,-0.0370265127276526,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0309848238269205,0,0,0,0.00946655018239769,0,0,0.00286498210818694,0,0,0,0,0,0,0.0436404762796883,0,0,0,0,0,0,0,0,0,0,0.0398299376388235,0,0.0800490748760349,0,0,0,0.1384331811129,0,0,0,0,0,0,0,-0.0217006626870572,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.104300760588627,0,0,0,0,0,0,0,0.266485793200699,0,0,0,0,0.0664856386823344,0,0,0,0,0,0,0.0355366288724706,0,0.0504988441595386,0,0,0,0.0850088729867358,0,0,0,0,0,0,0.0861794592764275,0,0,0,0,0,0,0,0,0.0953556965244999,0,0,0,0,-0.0855979347426049,0.136930677399847,0,0,0,0,0,0
X000651.SZ,0,0,0,-0.12809748282688,0,2.16840434497101e-19,0.047804235793924,0.182495444189756,0,0,0.0172856164311897,0,0,0,0,0,0,0.135199301007643,0,0.025569112568788,0,0.0906887202180175,0,0,-0.0514653593684046,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0255419440393728,0.0313273411236088,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.00631336985757496,-0.00860110686023629,0,0,0,0,0,0,0
X002304.SZ,0,0.312922185415454,0.0675693292462322,0,0.0764915319134899,0,0,0,0,0,0,0,0,0,0,0.080926795475591,0,0.0674347681966525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000255795981751103,-0.0403456152712529,0,0,0,0.0143088002557621,0,0.0785562036974386,0,0,0,0,0.00344847879966453,0,0,0,0,0,0,0,0,-0.186064377788254,0,0,0,0,0
