,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X000063.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X000625.SZ,X002371.SZ,X600031.SH,X000596.SZ,X300014.SZ,X002129.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002049.SZ,X000100.SZ,X600372.SH,X002236.SZ,X000977.SZ,X002241.SZ,X600741.SH,X601877.SH,X000157.SZ,X600584.SH,X000661.SZ,X600522.SH,X002180.SZ,X600702.SH,X002074.SZ,X000733.SZ,X300142.SZ,X600460.SH,X002463.SZ,X000800.SZ,X601799.SH,X002007.SZ,X000066.SZ,X300003.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.300295844227148,0.134784809900439,0,0,0.0294805069492065,0,0,0,0,-0.0275906004418723,0,0,0,0,0.00209160442793404,0,0,0,0,0.0775185341540265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646962016982381,0,0,0,0,-0.0670424842372781,0,0,0,0,0,0,-0.0393651383438876,0.00924033370754398,0.0487501756323519,0,0,0,0,0,0
X000858.SZ,0.0376487223301483,0,0.625035503800174,0,0.00192225831550691,0,0,0.0456601118817343,0,0.0540599342851714,0,0,0,0,0,0,0,0.101330921710256,0,0,0,0,0,0,0,0,0,0,0,-0.00583542998728728,0,0,0,0,-0.0549941428641825,0,0,0,0.0776627797456975,0,0,0,0,0,0,0,0,0,0,0,0.0229980915437237,0,0.0190727813783657,0,0,0,0,0,0
X000568.SZ,0.476619994572316,0.236826458403112,0,0,0,0,0,0,0.0406507526073151,0,0,0,0,0,0,0,0.047088568620463,0,0.0355581813852702,0,0,0,0,0,0,0,0,0,-0.0451934366197821,0.0081964456526606,0,0,0,0,0,0,0,0,0.225209301339293,0,0,0,0,0.00364603158318483,0,-0.0710029117120637,0,0,0,0,0,-0.00792426773484295,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0880875466390552,0,0,0,0,0,0,0,0,0,0,-0.193005721427678,0,0.219125990685851,0,0,0,0,-0.0169050613149616,0.204434496904809,0,0,0,0,0.2910952178397,0,0,0,0,0,0,0,-0.143767049339081,0,0,0,0,0,0,-0.0550193931261315,0,0,0,0,0,0,0,0.0173104258887356,-0.0377583262521528,0,0,0,0,0,0
X600809.SH,0,0.00437529923174064,0,0,0,0,0,0,0.413163488111906,0,0,0,0,0,0,0,0,0,0,0.0918014835049535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232797054777538,-0.117749673984419,0,0,0,0,0,0,0,0,-0.109222814175025,0,0,0.083167703555643,0,0.0548666116249715,0.0777501588134751,0,0,0,0,0,0
X600276.SH,0,0,0.0245956401346471,0,0,0,0,0,0,0,0,0,0,0,0,-0.35324226527542,-0.0325114744885574,0,0.374118569018335,0,0.245648706519073,0,0,-0.2195776780308,0,0,0,0,-0.139131091146124,0.281689994813292,0,0,0,0,0,0.342075748333728,0.32115351878204,0,0,0,0,0.00176063873523001,0,-0.0667119415949108,0,0,0,0,0,0,0,0,-0.0597691190572768,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0792472385401573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393026756429305,0,0,0.0749038378929583,0.0198062543609075,0.630986154489063,0,0,0,0.135891417741462,0,0,0,0,0,0,0,0,0,0,0,0,0.0352839150610472,0,0,0,-0.0173270564854758,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0432450539451071,0,0.191243502639144,0,0,0,0.25969182839058,0,0,0,0.0874761266589729,0,0,0,0.0597593037048679,-0.025922647023304,0,0.0119295674818143,0,0,0,0,0,0,0,0,0.0507228695295226,0,0,0,0,0,0,0,-0.0231371398674893,0,0,0,0.142573671406856,0,-0.0867980328892813,0,0,0,0,0,0,0,0.0456576856309135,0,0,0,0,0,0,0
X002304.SZ,0,0.166394439410309,0.261821466943794,0,0,0,0,0,0,0.0693875323527298,0.000549731616297538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130346998703636,0,0,-0.00381238696690158,0,0,0,0,0,0,0,0,0.0750245846530353,0,0,0,0,0.0236936896609826,0,0,0,0.0132597692579275,0,0,0,0.0163361812458219,0,0,0,0,0,0,0
X000651.SZ,0,0.0392503816846995,0,0,0,0,0,0.154347265451633,0.52022771149982,0,0,0,0,0,0,0,0,0,-0.15024611962146,0,0.200111345695792,-0.461729563611373,0,-0.0513717245791836,0,0,0,0,-0.00668103222243288,-0.0608892319992245,0,0,0,0,0,0,0,0,0.018867896670371,0,0,0,0,-8.67361737988404e-19,0,0,0,0.156216577861522,0,0,0,0.0661980476895397,-0.0376041770622878,0,0,0,0,0,0
