,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X600703.SH,X000568.SZ,X002475.SZ,X000063.SZ,X600741.SH,X000338.SZ,X300003.SZ,X600031.SH,X002236.SZ,X600809.SH,X002008.SZ,X600867.SH,X600271.SH,X601877.SH,X000596.SZ,X300124.SZ,X002456.SZ,X600487.SH,X000661.SZ,X600566.SH,X600066.SH,X000625.SZ,X000100.SZ,X002294.SZ,X300136.SZ,X002180.SZ,X002179.SZ,X300142.SZ,X002007.SZ,X000977.SZ,X002241.SZ,X000157.SZ,X000981.SZ,X600498.SH,X000050.SZ,X000869.SZ,X002049.SZ,X600779.SH,X600522.SH,X002508.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0515752060966561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613144535651278,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.00761005251621358,0,0,0.0813009822944851,0,0,0,0,0,0.0197684915160963,0,0.154524505808527,0.0369990732653936,0,0,0,0,0,0.0181511735838361,0.0232956002713757,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0766387757815962,0,0.140693870525407,0,0,0.193896441699975,0,0,0.00631212332368532,-0.0148375010784029,0,0,0,0.0169616284433328,0,0,0,0,0,0,0,0,0.0239323593494226,-0.029783238589587,0,0,0,0,0,0,0,-0.12755876624585,0,0,-0.0242137443115275,0,0,0,0,0,0.0193166543340011,0.0325719079351018,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0113986773693788,0,0,0,0,0,0,0,-0.134773014053874,0,0,0,0,0.163844106761588,0,0,0,0,0,0,0,0,0.141298800556713,0,0,0,0,0,0,0.109212377986311,0,0,0.038615523967817,0,0,0,0,0,0,0,0,0,0,0,0.106791023679248,0,0,0.0240327314905605,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.197888175045078,0.031988679992997,0.0517027214781695,0,0.337569687731879,0,0,0.015047257667672,0,0,0,0,0,0.0964197258684067,0,0,0,0,0,0.075069383945954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160343029425461,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.52206267145969,0,0,0,0,0.0249417180243226,0.39144193615564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012325332458767,0,0,0,0,0,0,0,-0.179494947475516,0,-0.10873290971692,0,-0.0531819405912016,0,0,0,0,0,0,0.151582242351133,0,0.081870020288716,0,0,0,-0.0292875426828703,0.0331088375886881,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0711964451210074,0,-0.0707998440847733,0,0,0,0,0,0,0,0,-0.0298791381303523,0,0,0,0,0,0.231467409071988,0,0,0,0,0.12493364432685,0,0,0,0,0,0,0,0,0,0.017362100943565,0,0,0,0,0.144166902716576,0,0,0,0.0429728665151325,0,0,0,0,0,0,0
X002304.SZ,0,0,0.0381601230861249,0,0,0,0,0,0.248284451717013,0,0,0,-0.0753272190963205,0,0,0.150070938539209,0,0,0.327203579958516,0,0,0,0.0710967178284039,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357314974114093,0,0,0,0,0,0,0,0,0,0.132352852722664,0,0,0,0,0.0219765500601319,0.039666177151286,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.000591867077809895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127394020042002,0,0,0,0,0,0,-0.0127166994434057,0,0.0280218263488246,0,0,0.105750520484808,0,0.109865705541962,0,0.234506570013664,0,0.0780903542422779,0,0.207856355584754,0,0,-0.0546140801371932,0,0,0,0,0,0.0776375171333171,0,0
X600690.SH,0,0,0,0.337798987950654,0,0.0067304173321145,0.139644578328126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720226869496596,0,0,0,0,0,0,0,0.159316650057191,0,0,0,0.1334215017981,0,0,0.00575523117893296,0.0213934326816393,0,0,0,0,0,0
X600703.SH,0,0,0,0,0.170512033552837,0,0,0,0,0,0,-0.35707709096879,0,0,0,-0.0633585462339679,0,0.0484513606349053,0,0,0,0,0,0,0,0.388189257444475,0,0,0,0.0127707021626152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223383301184675,0,0,0.179629385289105,0.105825561500722,0,0,0,0.0135023906051072,-0.0416204499706882,0,0,0,0,0,0
