,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600118.SH,X600690.SH,X600703.SH,X000100.SZ,X600031.SH,X600271.SH,X600372.SH,X002292.SZ,X002236.SZ,X000157.SZ,X002241.SZ,X000338.SZ,X600741.SH,X600089.SH,X600066.SH,X002475.SZ,X000559.SZ,X600177.SH,X601877.SH,X002129.SZ,X000547.SZ,X000016.SZ,X002465.SZ,X600435.SH,X300124.SZ,X000568.SZ,X600839.SH,X300003.SZ,X600582.SH,X002294.SZ,X600252.SH,X002498.SZ,X002276.SZ,X002179.SZ,X000066.SZ,X002456.SZ,X000977.SZ,X002008.SZ,X000550.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.195484660194551,0,0,0,0,0.0566742637060741,0,0.191281511031218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526358028355212,0,0,0,0,0,0,0.0264302369356281,0,0,0.040182638763448,0,0,0,0,0,0,0,0,0,0,0,0,0.0281187270886202,0,0,0.00832918171889881,0.0208010994083649,0,0,0,0,0,0
X600104.SH,0.383403705377356,0,0,0,0,0,0.047752385725002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824691255486428,0,0,0,0.188766162510332,0.0243871503498531,0,0,0,0,0,0,0,0,0.0307739043427403,0,0,0.0762112653934684,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.111514594036635,0.018419271151186,0.0282788559494662,0,0,0,0,0,0
X000651.SZ,0,0,0,0.137570050383065,0,0,0,0.155019329377152,0,0,0,0,0,0.0751323620954076,0.137053787551003,0.00468453936546714,0,0,0,0,0,0.123117451634593,0,0,0,0.0255525436220369,0,0,0,0,0,0,0,0,0,0.237965594009695,8.67361737988404e-19,0,0,0,0,0,0,0.0176144705503908,0,0,0,0,0,0,0,-0.00771422587342497,0.00623003544769912,0.0260293019549746,0,0,0,0,0
X002415.SZ,0,0,0.180905212094572,0,-0.0868777197766478,0,0,0,0,0,0,0,0,-0.0196335248423372,0,0,0.129406027442903,0,0,0,0,0,0,0,0,0,0,0.139074971014574,0,0,0,0,0.203031041088648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158710699878977,-0.139392712892939,0,0,0,-0.0089128397462335,0.0274047200504738,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0860889873553546,0,0,0,0,0,0,0.128641377710696,0,0.176845520117217,0,0,0,0,0,0,0.121713851906595,0,0,0,0,0,0,0.105386132506118,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.136750637714126,0,0,0,0,0.00648846346658837,0.00407155930081675,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.261815122106122,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.0575136269206079,0.00886679161484436,0,0,0.0078007665444398,0,0.111515598498112,0,0,0,0,0,0,0,0.548394154844552,0.0424175296181835,0,0,0,0,0.0375762319933571,0,0,0,0,0,0,0,0,0,0,0.0221758491436365,0,0,0,0,0,0
X002304.SZ,0,0.147078826111759,0,0,0,0.400683409288953,0,0,0,0,0,0,0.0230253064150164,0,0,0,0,0,0,0,0.0602037820638744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403125508319034,0,0,0,0,0.0140313448105498,0,0,0,0,0,0,0,0,0,0,0,0,0.0352412317129053,0,0,0,0,0,0
X600276.SH,0,0,0.0871221265460523,0,0,0,0,0,0,0.17013361704424,0.123119831569624,0,0,0,0,0,0.0471949693816835,0,0,0,0.0511333089067281,0,0.122960363028706,0.00063879770041507,0,0,0,0.13030040672652,0,0,0,0,0,0,0,0.0258787213194693,0,0,0,0,0.059390395431651,0,0,0,0,0,0,0.0508884289075101,0,0,0,0,0.0139717554441594,0,0,0,0,0,0
X000063.SZ,0.0113206391668613,0,0,0.0843174383269565,0,0,0,0,0,0,0,0,0,0,0,0.132714885306445,-3.46944695195361e-18,0,0,0,0.117077983513752,0,0.181208033091855,0.282809520513096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.00931263909830665,0,0,0,0,0,0,-0.0473583733530841,0,0,0,0,0,0
X000625.SZ,0,0,0.0705334585522576,0,0,0.0402343475676044,0,0.0364479949328319,0.00810679447523015,0,0,0,0,0.114213799153511,0,0.0170779729490346,0.0717209532285973,0,0,0,0,0,0.2350272110419,0.00725796799635632,0,0,0,0.00143397775704971,0,0,0,0,0,0,0,0.0826917565894,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0424604145644735,0,0,0,0,0,0,0,0,0,0
