,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X600104.SH,X600031.SH,X000568.SZ,X002304.SZ,X600809.SH,X000725.SZ,X600690.SH,X000063.SZ,X000661.SZ,X000625.SZ,X003816.SZ,X300124.SZ,X000338.SZ,X600703.SH,X300014.SZ,X002241.SZ,X000596.SZ,X000100.SZ,X600741.SH,X002371.SZ,X002007.SZ,X000157.SZ,X600584.SH,X601877.SH,X002129.SZ,X002179.SZ,X300142.SZ,X600183.SH,X002236.SZ,X002049.SZ,X002414.SZ,X000800.SZ,X601799.SH,X300003.SZ,X300136.SZ,X002185.SZ,X000066.SZ,X002008.SZ,X000977.SZ,X002456.SZ,X600066.SH,X300146.SZ,X600118.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.307533941968377,0.0612985520873012,-0.109713630374431,0,0.0686052372082588,0.00692682498630658,0,0,0,0.249917040400161,0,0,0,0,0.0268081297897217,0,0,0,0,0,0,0,0.0587628856291908,0,0,0,0,0,0,-0.14050071161123,0,0.0992464009901367,0,0,0,0,0,0,0,0.0413935187178755,0,-0.0173285269106268,0,0,0,0,0,0,0,0,0.0418015693143975,0,0,0,0,0.0242740442606858,0,0
X000858.SZ,0,0,0,0,0,0,0.0236589701199188,-1.73472347597681e-18,0,0.0933702463422658,0.390040999833274,0,0,0.0244839870073942,0,0,0,0,0,-0.0438308013991164,0,0,0,0.0650545836700447,0.10232677374143,0,0,0,0,0,0,0,-0.0332805584353135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233761609588424,-0.00346408193430592,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0532875558177092,0,0,0,0.0124541887074837,0.135249965879784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174727019694477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218175540889345,0,0,0,0.00235127630831065,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.102055412142201,0,0.0628288949452407,0,0,0,0,0,0,0,0,0,0,0.0415435250116829,0,0.0657435529562874,0,-0.00565018956222896,0,0,0,0,0,0,0.246813925010924,0,0,0,0.0488692227408679,0,0,0,0,0,0,0,0.00862082251088587,0,0,0,0,0,0,0,0,0,-0.0020543285219733,0,0
X000651.SZ,0,0,0,0,0,0,0.0733628454783119,0,0,0,0,0,0.252649428708874,0,-0.0511292862160533,0,0,0,0,0,0.0380669481796851,0,-0.0642888999277588,0,0,0,0,0,0,-0.0453945436380378,0,0.171609085792229,0.0646056837905437,0,0.0365599279549268,0,0,0,0,0.0213906003377771,-0.0649162980026946,0.00399524828246058,0,0,0,0,0,0,0,0,0,0,-0.0254609202947534,0,0,0,-0.00824794347611668,0,0
X002475.SZ,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.0281609085405606,0,-0.0142952799098577,0,0,0,0,0.00948697758818031,0.359278453589533,0,0,0,0,0,0,0,0.0392248662545315,0,0,0,0,0,0,0,0,0.12062825418916,0,0.243021376534779,0,0,0.110849414293711,0,0,0,0,0,0,0,0.0242312086923096,0,0,0,0,0.00774280055565796,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,-0.0341345381742352,-0.0403773231830053,0,0,0,0,0.171519997517155,0,0,0.21695564853487,0,0,0,0,0,0.0561269663408051,0.232810421315836,0.0903031857222977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123654504989727,0,0,0,0,0,0,0,0,0,0,-0.0368460927835852,0,0,0,-0.0370259024414691,0,0
X600031.SH,0,0,0,0,0,0,0.189899747732414,0,0,0,0.210746557479831,0,0,0,0.244775430996291,0,0,0,0.134517016341205,0,0.0326475187184717,0,0,0,0,0,0.0389145936568022,0.0834978936261828,0,0,0.0405511907771147,0,0,0,0,0,0,0,0.142525826247924,-0.200699992705077,0,0,0,0,0,0,0,0,0,0,0,0.0678732563965755,-0.0214362003698903,0,0,0,0.0367925917221898,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0,0.21618208124324,0.342383340932751,0,0,0,-0.0225682098981521,-0.0241075066249147,0,0,0,0,0,0.0550403272103823,0.130034741657612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168815539127687,0,0,0,0,0,0,0.225823690937696,0,0,0,0,0.0580109268851065,0,0,0,0.00268321129931987,0,0
X002304.SZ,0,0.0464198930405814,0,0,0,0,0,0,0.215471838965179,0,0,0,0,0.0106995822548104,0,-0.112390193774719,0,0,0,0,0.239724204015471,0,0.104407480664968,0,0,0,0,0,0,0,0,0.100296529361595,0,0,0,0,0.0347770603576348,0,0.0987651363712367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0346248465433165,0,0
