,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X002475.SZ,X600690.SH,X000651.SZ,X300124.SZ,X000063.SZ,X000725.SZ,X600104.SH,X002371.SZ,X002129.SZ,X000596.SZ,X600031.SH,X003816.SZ,X300014.SZ,X000625.SZ,X600703.SH,X000338.SZ,X002049.SZ,X002179.SZ,X600089.SH,X002236.SZ,X000100.SZ,X002241.SZ,X000661.SZ,X600584.SH,X600702.SH,X002180.SZ,X600522.SH,X601877.SH,X600460.SH,X300142.SZ,X000977.SZ,X000157.SZ,X600741.SH,X002074.SZ,X000733.SZ,X002463.SZ,X600183.SH,X300003.SZ,X000066.SZ,X002007.SZ,X600487.SH,X002294.SZ,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.113457741566899,0.093204398783955,0,0.0291274868697169,0,0,0.0669611247982718,0,0,0,0.0237166737916335,0,0,0.0368700467545372,0,0.0122006858713063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466586058743236,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193486099442673,0,0,0.0212925362727986,0,0,-0.0192327383106056,0.0320901221989565,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0851555675280484,0,0.462073162768659,0,0,0,0,0,0,0,-0.0223281058164262,0,0,0,0,0,0,0,0,0,0,0,0.0662782343973047,0,-0.0100956952371603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130181755584537,-0.00848204726914589,0,0,0,0,0,0
X002415.SZ,0,0.0617461846097079,0,0,0,0,0,0,0,0,0,0,0,0,0.09183334461444,0,0,0,0,0.0953626589925746,0,-0.00217108259948204,0,0,0,0,0.206488285445015,0,0,0,-0.0130566982737078,0,0.101655346552379,-0.0517417801226796,0,0,0,0,0,0,0.034439239844151,0,0,0,0,0,0,0,0,0,0,0,-0.0199580029384815,0,0,0,0,0,0
X000568.SZ,0,0.283813094149489,0.139546362218723,0,0,0,0.396887282921546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745517027279914,0,0,0,0,0,0.0631412531722685,0,0,0,-0.0519073976412075,0,0,-0.0491318687681169,0,0,0,0,0,0,0,-0.0183703308272708,0,0,0,0,0.0443942927414102,0,0,0,0,-0.0135658581571306,0,0,0,0,0,0,0
X600809.SH,0,0,0,0.397155551779329,0,0.0134385437870418,0.114529575149869,0.047231190899896,0,0,0,0.00769432718820654,0,0,0,0,0.157573395740842,0,0,0,0,0,0,0,0,0,0.013726030760314,0,0,0,0,0,0.0324254855598223,0,0.0942744843300163,0,0,0,0,0,0,-0.0518611071027601,0,0,0,0,-0.0455948333559239,-0.0380006770180809,0,0,0,0.000918836362383521,0,0,0,0,0,0,0
X600276.SH,0,0.0128532084459449,0,0,0,0,0,-0.0132966437043051,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.097663384596347,0.0290937295366295,0,0,0,0.0602915634668775,0,0,0,0.0314645181744495,0.157013693045381,0,0,0,0,0,0,0,0,0,0,0,0,0.16104621143933,4.33680868994202e-19,0,0.0509536018200968,0.100826571735036,0,0,-0.0109376842735835,0,0,0,0,0,0,0
X002304.SZ,0,0.362225274484149,0,0.402660254212757,0,0,0,0,0.0750403329321501,0,0,-0.0667603547343186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07007559197763,0.0601023185058297,0,0,0,0,0,0,0.0109079049291549,0,0,0,0,0,0,0,0,0,0,-0.0975502474928942,0,0,-0.00355645682036671,0,0,0,0,0,0,0
X002475.SZ,0,0,0.121389405562851,0,0,0,0,0,0,0,0.234985173003401,0,0,0,0,0.0140526906543855,0,0,0,0.41623196015346,0,0,0,0,0,0,0,0,0.0247900162353325,0,0,0,0,0.203609612191304,0,0,0,0,0,0,0,0,0.00147272771043508,0,0,0,0.298575901102139,0,0,0,0.335740443626455,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.106614727344184,0,0,0.260312089301904,0,0,0,0,0,-8.67361737988404e-19,-0.109397047248619,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.314998991790316,0,0,0.0781844390147475,0.202737844356539,0,0,0.004002785074099,0,0,0,0,0,0,0,0,0,0.00865020229858368,0,0,0,0,0,0,0,0.0131455249213531,0.0217262482115941,0,0,0,0,0,0
X000651.SZ,0,0.151901224442952,0,0,0,0,0,0,0.302866992448307,0,0,0,0,0,0,0,0,0,0,0,0.116158363462457,0.0216782319716279,0,0,0,0,0,0,-0.0126860369133792,0,0,0,0,0,0.00653126836620898,0,0,-1.0842021724855e-19,0,0.0140453457246174,0,0,0,0.0878417583790957,0,0,0,0,0,0,-0.0258349072161783,0,-0.00629430310063374,0,0,0,0,0,0
