,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X002304.SZ,X003816.SZ,X000725.SZ,X000568.SZ,X000661.SZ,X000338.SZ,X600809.SH,X600690.SH,X600703.SH,X002371.SZ,X000596.SZ,X300003.SZ,X600183.SH,X002007.SZ,X600741.SH,X002241.SZ,X000100.SZ,X300014.SZ,X300142.SZ,X000977.SZ,X300124.SZ,X000157.SZ,X601877.SH,X000625.SZ,X002129.SZ,X002236.SZ,X000800.SZ,X002463.SZ,X002456.SZ,X600584.SH,X300136.SZ,X600498.SH,X002049.SZ,X002414.SZ,X600118.SH,X002179.SZ,X002185.SZ,X000066.SZ,X600522.SH,X002223.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0876680226546878,0,0,0,0,0,0,0.0131057453304665,0.102615840724589,0,0,0,0,0,0,0.0119872153573641,0,0,0.307273535330575,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0410996141683772,0,0,0,0,0,0,0,0.0218404739505152,0,0,0.0276703100174788,0,0,0,0,-0.0128976291757267,0,0,0.00232546153397193,0.0179764654955727,0,0,0,0,0,0
X000858.SZ,0.249806385056714,0,0,0,0,0.0700159339731186,0.0411680203228785,0,0,0,0,0,0.121780643337616,0,0,0.316438349952621,0,0,0,0.196247557364705,0,0,0.0251601869005639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122617868955578,0,0,0,0.0038866417646161,0.0195223051836835,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.174630629463518,0,0,0,0,0,0,0.0139623374607501,0,0.181521049255969,0,0,0,0,0.0334861451945309,8.67361737988404e-19,0.0558631539299351,0,0,0,0,0,0.0435246401205546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300142238192515,0,0,0,-0.0337207370383328,0,0,0,-0.0105415929041212,0.000872896998167428,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0283524243010915,0,0,0.00406622943269238,0,0,0,0,-2.16840434497101e-19,0,0.135723967083732,0.525517212998448,0,0,0,0,0,0.044454900818715,0.032224662255328,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0448967627499879,0,0,0,0.0106298563988963,0,0,0,-0.01112362162558,0,0,0,0,0.00579958373467838,0.00739067465079381,0.0146886650234569,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0324301586365146,0,0,0,0,0,0,0,0,0,0,0.0516849440426594,0,0,0.0531024328250639,0,0,0,0.0874862551742416,0,0,0,0,0,0,0,0,0.0865878771208762,0,0,0,0,0,0.066853651903319,0,0,0.0578219386925837,0,0,0,0.0483494629886166,0.0123940713916006,0,0,0,0,0.0212501787568133,0.0316224484365896,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231480366944052,0,0,0.0921538830893016,0.160085452226694,0.210797895868247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498004451268677,0,0,0,0,0,0,0,0,0,0.0150311900052718,-0.0103446550037072,0,0,0,0,0,0
X600104.SH,0,0.0534149070430615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073778094531381,0.119644167601804,0,0,0.3858587441564,0,0,0,0,0.135760375991392,0,0,0,0.0355684558626151,0,0,0,0,0,0,0,-0.0711737164880369,0,0,0,0,0,0,0,0,0,0,0.0194381900017479,0.0159423085406115,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154443871314364,0,0.246368482295295,0,0,0,0,0,0,0,0,0,0,0.26557935478909,0,0,0,0,0,0,0.219210885375334,0.176874765637428,-0.0498604797016622,0,-4.33680868994202e-19,0,0,0,-0.0208827891855546,0,0,0,0.0116409368061367,0.0152053305316621,0,0,0,0,0,0
X600031.SH,0,0.078978070621373,0,0,0,0.0657713049058418,0,0,0,0,0,0,0,0,0.216100865496436,0,0,0,0,0,0,0.019853477180713,0,0,0,0,0,0,0,0,0.0658924358274601,0,0.130505920297603,0,0,0,0,0,0,0,0,0.0967890790427124,0,0,0,0,0,0,0,0,0,0.00926668841341015,0.0269897206828975,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0256610267401514,0,0.121637526402818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579029447346016,0,0,0,0.00128708742169262,0,0,0.00345118804325624,0,0,0,0,0,0,0,-0.00735154518775263,0,0,0.0210640532507413,0.0178943006617494,0,0,0,0,0,0
