,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X000338.SZ,X300003.SZ,X600031.SH,X002236.SZ,X000063.SZ,X002008.SZ,X600867.SH,X600809.SH,X300124.SZ,X002456.SZ,X600271.SH,X000596.SZ,X601877.SH,X600487.SH,X000661.SZ,X600566.SH,X000625.SZ,X600066.SH,X000100.SZ,X002294.SZ,X002179.SZ,X000977.SZ,X002241.SZ,X002007.SZ,X300136.SZ,X300142.SZ,X000157.SZ,X002180.SZ,X000981.SZ,X000050.SZ,X600498.SH,X000869.SZ,X600522.SH,X002049.SZ,X600779.SH,X002508.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.240051594043525,0.117725410603147,0,0.00821896779763362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117425747147905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561064515500595,0,0,0,0,0.0542163485539382,0.102320830447394,0,0.00678050219655926,0,0,0,0,0.0123567720741404,0.0022053159623695,0,0,0,0,0,0
X600104.SH,0,0,0.171789222626237,0,0,0,0,0,0,0,0,0.371448427300841,0.0744062877182759,0,0,0.0475236259539566,0,0.0220993726367473,0.0333139770993566,-0.0950890240539072,0,0,0,0,0,0,0,0,0.0636826781256686,0,0,0,0,0,0,0,0,0,0,0,-0.082304216153847,0,-0.0408855276889676,-0.0385192335316865,0,0,-0.198006565823356,0,0,0,0,0.0162868446902129,0.0117469198136127,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360729212267017,-0.0708550145071708,0.0602080905853043,0,0,0.0931945274154876,0,0,0,0,0.0831895074179298,0,0.0849098227602294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125242213079883,0,0,0,-0.0246638505574098,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.15655338370922,0,0,0,0.339295410449763,0,0,0,0.0500352456333978,0,0,0,0.116802041613245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216031101737677,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0785324562334155,0,0,0,0,0.0954220060404201,0,0.283998997792669,0,0,0,0,0,0,0,0,0,0.207903399900217,0,0,0,0,0,0.0397598740163384,0,0,0,0,0,0,0,-0.0217337745960146,0,0,0,0,0,-0.151736792974375,0,0,0,0,0.100100552389672,0,0.11058362254449,0,0,0,-0.058321310279155,0.138030857505393,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.336423536715095,0,0,0,0,0.110540135654309,0,0,-0.0737017842100047,0,0,0,0,0,-0.000540140253102201,0,-0.090978961682624,0,0.10820309273901,0.15049982085175,0,0,0,0.235976843478132,0,-0.0488817466913971,0,0,0,0,0,0,0,0,0,0,0,0,0.150801754310488,0,0,0,-0.00982778879040383,0,0,0,0,0.153493257327636,0,0
X002304.SZ,0,0,0.139365422332642,0,0,0,0,0,0.311528017682274,0,0,0,-0.00701789760243419,0.066753721151485,0.049367160994138,0,0,-0.0956339773615388,0,0,0.35435755623144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580383302086288,0,0,0,0,0,0,0,0,0,0,0.0311345845847103,0.0145611186211193,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02454948976375,0,0,0,0.0463368495842844,0,0,0,0,-0.299532226639774,0,0,0,0,0,0,0.0289926290178248,0,0,0.178589503608078,0,0,-0.0720646613001193,0.0307277337620909,0.221665038859204,0.190909320378237,0,0.116609663661258,0,0,0,0,0,0,-0.016972329316523,0,0,0,0,0,0
X600690.SH,0,0,0,0.462977267060947,0,0,0.164642658585854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466763885787077,0,0,0,0.0261765787666518,0,0,0,0,0,0,0,0,0,-0.0374704310564439,0,0,0,0.0432949320791731,0,0,0,0,0,0.0928587174863769,0,0,0,0,0,0,0.0138129048471081,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0.158420856766676,0,0,0.261085322906141,0,0,0,0,0.0694572443612405,0,0,0,0.0156996811412897,0,0,0,0,0,0,0.139012613794721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213829179539344,0,0.0380343974100832,-0.060213451895119,0.0965348041738038,0,0,0,0.0110718140753677,0.0273639190405007,0,0,0,0,0,0
