,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600703.SH,X002241.SZ,X000596.SZ,X300003.SZ,X000100.SZ,X600183.SH,X002236.SZ,X601877.SH,X300124.SZ,X300014.SZ,X000157.SZ,X002007.SZ,X300142.SZ,X000066.SZ,X002371.SZ,X002179.SZ,X000625.SZ,X000977.SZ,X002463.SZ,X002008.SZ,X600271.SH,X300136.SZ,X002456.SZ,X600584.SH,X600177.SH,X002506.SZ,X600066.SH,X000050.SZ,X002180.SZ,X600498.SH,X002508.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.248862091273796,0,0,0,0,0.130517943091476,0.436199250229306,0,0,0,0.0148176213571793,0,0,0,0.160964464253717,0,0,0,0,0,0,-0.101139121705444,0,0,0,0,0,0,0,0,-0.058035293095722,0,0,0,0,0,0,0,0,0,0.0485266891971365,0,0,0,0,-0.0190589222297325,-0.00527151567744563,0,0,0,0.02245191561867,0,0
X000858.SZ,0,0,0,0,0,0,0.105213650035235,0,0,0,0.0205345548339493,0,0.539177978219954,0,0,0,0.0439055135136369,0,0.0260160444418885,0,0,0.0065684924371124,0,0,0,0,0,0,0,0,0,0,0.0170537322471199,0,0,0,0,0,0,0,0.018899911640803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249803736047608,0,0
X600276.SH,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0271819746383268,0,0.0753646980058086,0,0,0,0,0.344868034907788,0,0,0.089374772094572,0,0,0,0,0,0,-0.00672150087914406,0,0,0,0.0207894118906319,0,0,0.04764126801779,0,0,0.0340719697208792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02051170156456,-0.0238722290179781,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404716861371349,0,0,0,0.239851843048121,-0.225762600411005,0,0,0,0,-0.0174779674403095,0,0,0,0,0,0,0,0.0958513393670658,0,0.0264795091241171,-0.0748409172751781,0,-0.113079635091978,0,0,0,0.0839872613107406,0,0,0,0,0,3.46944695195361e-18,0,0,0.131251605066342,0,-0.0134045772605998,-0.000951288131750275,0,0,0,-4.33680868994202e-19,0,0
X002415.SZ,0,0.0370445393450438,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.115771732683627,0,0,0,0,0,0,0,0.0575859355509017,-0.0700921338852999,0,0.574648767337585,0,0.124619500991076,0,0,0,0.0782233662383542,0,0,0,0,0,0,0,0,0,-0.0602448014850593,0,0,0,0,0,0,0,-0.0528260305823455,0.0348971349092677,0,0.0359218355953934,-0.0765299728793336,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0108937565264179,0,0,0,0.18367619742484,0,0,0.0443470630895363,-0.0343269502290318,0,0,0,0,0,0,0.0546522099249402,0,0,0,0,-0.0202447540655961,-0.0314383774914609,0,0,0,0.0785830960001328,0,0,0,0,0.0480313111854206,0,0,0,0,-0.00921908238572273,0,0,0,0,0.0230673778384912,0,0,0,0,0,0,0
X002475.SZ,0.306456573636918,0,0,-0.0985476312492348,0,0,0,0,0.0426814512300724,0,0,0.0765207117922459,0,0,0.0271439379655443,0,0,0,0,0.113414617104533,0,0,0,0,0,0,0,0,0,0,0,0.222502887701951,-0.0785291955822709,0,0,-0.123320890225781,0,0.44518692717675,0,0.0504857401722572,0,0,0,0,0,-0.0718261455688356,0,0,0,0,0,0,0.0251466159643358,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.0554557514287677,0,0.160675758753071,0,0,0.231445793428175,0,0,0,0,0.0206338124537762,0,0,0,0.00196070887188883,-0.0784740096363243,0,0,0,-0.109513868174316,0,0,0,-0.0434365068420271,-0.112788769909334,0,0,0,0,0,0,0.0329353784675912,0,0,0,0,0,0,0,0,0,0.200450668864982,0,0.0762544906624984,0.0481089623570833,0,0,0,-0.112618105158681,0,0
X002304.SZ,0.0103551633607579,0.182505006508836,0,0,0,0,0,0.150542379029361,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.163438478185273,0,0,0.0722451088190104,0,0,0,-0.00356365024532856,0,0.0484192811343745,0,0,-0.0117479425499253,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104470986238339,0.041297545096072,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163807090253371,0,0,0,0,0,0,0,0,0,0,0,0,0.0322660265685795,0,0,0,0,0.0219067877127513,0,0,0.0218401330616223,0,0.0871903043904254,0,0,0,0.0877796428927418,0,0,0,0.0840932587805369,0,0,0.00622335308252741,0,0,0,0,0,0
