,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X600372.SH,X600690.SH,X600031.SH,X002241.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600741.SH,X600089.SH,X002236.SZ,X000100.SZ,X000581.SZ,X000050.SZ,X600118.SH,X002475.SZ,X000559.SZ,X601877.SH,X000550.SZ,X002129.SZ,X000568.SZ,X600066.SH,X002456.SZ,X600271.SH,X002294.SZ,X002292.SZ,X600435.SH,X300124.SZ,X300003.SZ,X002038.SZ,X000400.SZ,X000800.SZ,X000869.SZ,X600566.SH,X600839.SH,X002049.SZ,X000977.SZ,X000623.SZ,X002008.SZ,X002007.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0.0558599597811887,0.105225253189706,0,0.0516689633414462,0,0,8.67361737988404e-19,0.0393738988494391,0,0,0,0,0,0.294187173970089,0.10797622886782,0,0,0,-0.0147637861733281,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0906803994531656,0,0,0,0.0493974767701343,0,0,0,0.0669906682955013,-6.93889390390723e-18,0,0,0,0,0,0,0.0411686109290925,0,0,0,0.0106567712893482,0,0,0,0,0,0,0
X600519.SH,0.150567784008366,0,0,0,0.0451723624988145,0,0.237176461174089,0.135085922625771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355985582345709,0,0,0,0,0,0,0,0,0,0,-0.0831217316514993,0,0,-0.0197959499625713,-0.015196822090081,0,0,0,0,0,-0.0108690578820675,0,0,0,0,0,0,0,-0.012617388367146,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917693100110763,0,-0.00236521406780545,0,-0.0111394927153697,-8.67361737988404e-19,0,0.10522979385313,0,0,0,0,0,0,0,0.0500977351964817,0,0,0,0,0.0943161650504013,0,0,0,0.0216041386511069,0,0,0,0.00503002607145048,0,0,0.0298608467082722,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.132065460033542,0,0,0,0,0.198686761036945,0,0,0,0,0,0.0378154616327281,0,0,0,0,0,0,0,-0.0817234754683742,0,0,0,0.192650921109407,0,0,0,0,0.0622547531570491,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168579560370517,0.0628309812749163,0,0,0,0.00875576450117977,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0782544040163609,0,0,0,0,0,0,0,0,0.449621146593142,0,0,0,0,0,0.0676671247135582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0621538790707223,0,0,0,0,0.0512772942713528,0,0,0.0525059546621224,0,0,0,-0.0609589525268689,0.0837613383860295,0,0,0,0,0,0
X000625.SZ,0.448136856053387,0,0,0,0,0,0,0,0,0,0,0,0.0850290030949993,0,0,0,0.241342218752891,0,0,0,0,0,0,0.0622454591501995,0,0.0182892936258298,0.0383503488809493,0,0,0,0.0840420505703867,0.00828345654496552,0,0,0,0,0,0,0,0,0,0,-0.11663241357454,0,0,-4.33680868994202e-19,0.0163403109855396,0,0,0,0,-0.00879499564771083,-3.3881317890172e-21,0,0,0,0,0,0
X002304.SZ,3.46944695195361e-18,0,0,0.00578280218400885,0,0,0,0.31115442133811,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.175356841882575,0,0,0,0,-0.0992328258259193,0,0,-0.0049325736499539,0,0,0,0.189022877529627,0,0,0,0,0.111396817268091,0,0,-0.00357257346075008,0,0,0,0,-0.00365069567444441,0,0,0,0,0,0,0,0,-0.00463291140475349,0,0,0,0,0,0,0
X000858.SZ,0.0445520919333426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159607048704033,0,0,0,0,-0.063730277038646,0,0,0,-0.0166491291553394,0,0,0.16947466751218,0,0,0,0,0,0,0.0916761805972964,0.0571966329170901,0,0,0,0.319998981946352,-8.67361737988404e-19,0,0,0,0,0,0.0645834898604932,0,0,0.0209448270183713,-0.0401788093183456,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.058866251061005,0,0,0,0,0,0,0,0,0.0126081366649506,0,0,0,0,6.93889390390723e-18,0.140330123899923,0,0.0462634047689266,0,0,0,0,0,0,0,0,0,0.0503906225088915,0.00678514822604195,0,0.0280553453133586,0,0,-0.0977463240854608,0,0,0,-0.104372935614433,0.0777421785767124,0,0,0.0231264471862152,-0.0178545234825111,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0128894922099728,0,0,0,0.000495746093128786,0,0,0,0,0,0,0,0,0.0399313657152459,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0556695249203249,0,0,0.027687929146226,0,0,0,-0.0180573552728539,0,0.153054369155114,0,0,0,0.0480577997652356,0,0,0.0866501491162743,0,0,0,0,0,0,0,0.00352319863418713,0,0,0,0,0,0
