,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X600690.SH,X002304.SZ,X600031.SH,X000568.SZ,X000725.SZ,X600104.SH,X300014.SZ,X300124.SZ,X002371.SZ,X000625.SZ,X000338.SZ,X600703.SH,X000063.SZ,X002129.SZ,X002241.SZ,X002049.SZ,X003816.SZ,X300142.SZ,X000661.SZ,X601877.SH,X002179.SZ,X000100.SZ,X000596.SZ,X600460.SH,X000157.SZ,X002074.SZ,X002414.SZ,X600741.SH,X002007.SZ,X600702.SH,X002236.SZ,X600584.SH,X600089.SH,X000799.SZ,X600183.SH,X600779.SH,X601799.SH,X000800.SZ,X000733.SZ,X600884.SH,X300146.SZ,X000066.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.182976133013682,0,0.04679234815149,0,0,0,0.0559117244856423,0,0.0557615453233674,0.088109784291503,0,0,0,0.0387927981001861,0,0,0,0,0,0.092557907704835,0,0,0,0,0,0,0,0,0,-0.0532683886662202,0,0,0,0,0,0.0330314840580068,0,0,0,0,0,0,0,0,0,0,0.0559325189152485,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0860294806196059,0,0,0,0.0715785733991502,0.171783904713122,0.284627532043803,0,0,0.0208693985126364,0,0,0,0,0,0,0,0,0,0,0,0.0128207466089703,0,0,0,0,0,0,0,-0.105334272842128,0,0,-8.67361737988404e-19,0.034993323413998,-0.194470507073454,0,0,0,0.185476050512927,0.00666476975171876,0,0,0,0.158824442967651,0,0,0,0.030478763730311,0,0,0,0,0,0,0
X002415.SZ,0,0.0401610889300068,0,0,0.0681598371469192,0,0.155519201609938,0,0,0.128902835521301,0,0,0,0.112130102424311,0,0,0,0,0,0,0.0938101934601113,0,0,0,0.0200284791149957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555590722075974,0.0098252965365157,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0.000902004820344575,0,0,0,0,0,0,0.163984998218763,0,0.12476667878599,0,0,-0.0664411541145655,0.115203901191344,0,-0.103210963944162,0,0,0,-0.028810216883978,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.030409054410061,0,0,0,0,0,0.139234746141722,0,-0.0400259629800322,0,0.439117591484585,0,0.0498389499656048,0,0,0,0,0,0,0,0,-0.0464390396040314,0.0840322782672769,0,0,0,0,0,0
X600276.SH,0,0.311155986894043,0,0,0,0,-0.0787433916457312,0,0.123658568691521,0,0,0,0,0,0.246235379677559,0,0,0,0.147021609867065,0,0.0748241262342747,0,-0.308436486217983,0,0.0373234495785635,0.0586065521677627,0,0,0,0,0,0,0,0.0677600476995069,0,0,0,0,0,-0.0555623748373877,0.0597683299918304,-0.0878163757347735,0,0,0,0,0,0.0553676324489205,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.00620632248262317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177601599828671,0,0,0,0,0,0.0632859624465116,0,0,0,0,-0.0332576313611074,0,0,0,0.0142910905861301,0,0,0,0,0,0,0,0.0390863497202056,-0.094907342504938,0,0,0,0,-0.0744599381751446,0,0,-0.0331763132474906,0.11473573404268,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0304917164249328,0.0251147505592471,0,0,0,0,0,0,0.032931253343606,0,0,0,0,0,0.224558871671995,0.136469865772165,0,0,0,-0.0836470548508393,0,0,0,0.109244699264645,0,0,0,0,0,-0.021174155842468,0,0.011322846135995,-0.114768969303933,0,0,0,0.28687091636272,0,0,0,0,0,0,0,0,0.0155015647479534,0,0,0,0,0,0
X600690.SH,0,0,0.0295948922380774,0,0.156049927126891,0,0,0,0.108161299424774,0.0327041072301271,0.13561355702256,0,0,0.0182775313162296,0,-0.0227169194648876,0,0,0,0.0376203342327958,0,0,0,0,0,0.0735578227948374,0,0,0,0,0,0,0,0,0,0,0.00467092560992663,0,0,0,0,0,0.0645879222770169,0,0,0,0,0,0,0,0,-0.0665818343579098,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.309069008773632,0.101851458561372,0,0,0,0,0,0.316966486281512,0,0,-0.0311821367300008,0,0,0,0,0.157003840295882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573408934701969,0,0,0.0592303319570559,0,0,0,0,0,0,0,0,0,0.1784444236361,0,0,-0.0852589374250766,0.0146122380221903,0,0,0,0,0,0
X600031.SH,0,0.0687484771243139,0,0,0,0,0,0,0.0389410251261933,0,0,0,0,0,0,-0.00411676523583003,0,0,0.225815923784591,0,0,0.139781310170384,0,0,0,0,0.0282842590355614,0.111817405649656,0,0,-0.240699321575642,0.122677720949628,0,0,0,0,0.0203371737792259,0,0,0.0346458908748956,0,0,0,0,0,0,0.0191629233144033,0,0,0,0,0.013495916360403,0,0,0,0,0,0,0
