,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600271.SH,X000100.SZ,X600118.SH,X000559.SZ,X600066.SH,X600372.SH,X000157.SZ,X002241.SZ,X600089.SH,X002292.SZ,X002475.SZ,X600741.SH,X002236.SZ,X000338.SZ,X300124.SZ,X002465.SZ,X300003.SZ,X000568.SZ,X600839.SH,X600177.SH,X002129.SZ,X002294.SZ,X002074.SZ,X600867.SH,X002506.SZ,X002276.SZ,X000800.SZ,X000977.SZ,X000869.SZ,X600498.SH,X002008.SZ,X600582.SH,X002180.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.152225327117676,0.20701873747149,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0942756351180996,0,0,0,0,0,0,0,0,0,0,0,0,0.136685987871363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0368388660949247,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.137002883286556,0.393899269992314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200271320038243,0,0,0,0,0,0,0.0469783859406119,0,0,0.0130939842311636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,-0.120859510486781,0,0,0,0,0,-0.00889313171856951,0,0,0,0,0,-0.136778945547941,0,0,0,0,0,0,0,0.251168804072056,0,0.221389722089684,0.0225450223403445,-0.025464488340221,0,0,0,0,0,0,0,0,0,0,0,0,0.0741022688781152,0,-0.00238388848527009,-6.7762635780344e-21,0,0,0,0,0,0.0735551070172055,0,0.0514214975728541,0,-0.0869491698069452,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115754621039844,0,0,0,0,0,0,0.0902646411798697,0.0802498300930012,0,0,0,0,0,0.128238697271262,0,0,0,0,0,0,0,0,0,0.0726480400651424,0,0.0444171726875692,0,0.151725690229599,0,0,0,-0.0264499072788782,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.120466333568205,0,0.000916058600418133,0,0,0.215327914734992,0,0.154283767375696,0,0,0,0,0,0,0.112158576100004,0,0,0,0,0,0,0,0,0,0,0.0949571779062129,0,0,0,0,0.0265823069821484,0,0,0,0,0,0,0,0,-0.0364734145104087,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0776590458389958,0.16425016246051,0,0,0,0,0,0,0,0,0.0153314994678539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515458436301003,0,0,0,0,-0.0853949388136782,0,-0.0110245303404438,0,0,0,0,0,0.0285056831512155,0,0,0,0,-0.0090980885432885,-0.0136039541173748,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352942349798547,0,0,0,0,0.0364193660554235,0,0,0,0,0,0,0,0,0,0.272320784595853,0,0,0,0,0,0,0,0.0851235917799179,0,0,0,0.221465866922052,0,-0.0115642720351021,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.171268877545844,0,0.423565509162409,0,0,0,0,0,-0.021278161012514,0,1.38777878078145e-17,0,0,0,0,0,0,0.0491482111320312,0,0,-0.00300910596833087,0,0.102471194650395,0,0,0,0,-0.0252189824302456,0,0,0.00640036619539896,-0.036360116966859,0,0.174907609617838,0,0,0,0,0,0,0,0.0153367484600358,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0.0648416397713438,0,0,0.105031308340922,0,0,0,0,0,0.0157850296694608,0,0,0,0.0999396219582533,0,0,0,0.188287767382924,0,0.226919279875814,0,0,0,0,0,0,0.0760001614113317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595530496314274,0.00275412523818728,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.249185363730986,0,0,0,0.16513672408239,0.0293584326364618,0,0,0,0.0433791049141205,0.0622339607698951,0,0,0,0,0,0,0,0.0377608003578095,0,0,0,0,0,0,0,0,0,0,0.0163485416434936,0,0.028278841673543,0.192731104602874,0,0,0.000522573776201699,0,-0.0110154919723558,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.00216727716710602,0,0,0,0.154111834273512,0,0,0,0,0,0,0,0.132123064051629,0,8.67361737988404e-19,0,0,0.085777758988339,0,0,0.134554399929099,0,0,1.38777878078145e-17,0,0.123259628540255,0,0,0,0,0,0,0,0,0.0518644329990955,0,0,0.0933095381101963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600703.SH,0,0.220632830584903,0,0,0,0,0,0,0,0,0,0,0.116453611633983,0,0,0,0,0,0,0,0,0.0273454805856978,0,0,0.165925527117871,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.313574710956037,0,0,0,0,0,0,0,0,-0.0403384825997522,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140345389395347,-3.46944695195361e-18,0,0,0.277632392749031,0,0,0,0,0,0,0,0,0,0,0,0.00851229852447948,0,0.0243691711828359,0,0,0,0,0,0.0715110862343895,0.0208251036507611,0,0,0.229861868492097,0,0,0,0,-0.0120490858120716,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112070124729318,0,0.260203870946353,0,0,0,0,0,0,0,0.142983257671075,0,0,0,0,0.0320771266806527,0,0,0,0.0280450328070924,0,0.18186642068351,0.0751253169947872,0,0,3.46944695195361e-18,0,0,0,0,0,0.0215123671555142,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0.112320112317892,0,0,0,0,0,0,0.140839298288294,0,0.0576303432016929,0,0,0.0767247148104327,0,0,0.125896775631418,0.0172571321348057,0,0,0,0,0,0,0,0,0.0610024010557916,0,0,0,0,0,0,0,0.00401267078894708,0,0,0.0101896321450431,0,0.198215891595824,0,0,0,0,0,-0.0155060092244546,0,0,0,0,0,0,0
