,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X600104.SH,X000651.SZ,X002129.SZ,X300014.SZ,X000625.SZ,X300124.SZ,X600031.SH,X000725.SZ,X002371.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X600703.SH,X600089.SH,X002179.SZ,X000661.SZ,X600522.SH,X300142.SZ,X601877.SH,X002180.SZ,X002074.SZ,X600460.SH,X600741.SH,X000733.SZ,X000100.SZ,X600702.SH,X600884.SH,X000799.SZ,X000157.SZ,X002236.SZ,X600584.SH,X601799.SH,X002176.SZ,X600779.SH,X600563.SH,X000800.SZ,X002007.SZ,X002056.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0651714435099482,0.187494095111507,0,0.0671817544797093,0,0,0.00977104635760294,0,0,0,0,0,0,0,0,0.0529049496628732,0,0,0,0,0,0,-0.0136458237928244,0,0,0,0,-0.0122587476719477,0,0.0467955999908063,0,0,0,0.0631006334543642,0,3.46944695195361e-18,0,0.0763426275100263,0,0,0,0,0,0,0,0,-0.0366145696905469,0,0,-0.00344090699057522,6.93889390390723e-18,0,0,0,0,0,0
X000858.SZ,0,0,0.0902302373684158,0.324501970575385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106538135101327,0,0,0,0,0,0,0,0.06000364236534,0.00837218417916792,0.165195460953391,0,0,0,0,0,0.132912076071196,0,4.33680868994202e-19,0,0.0365909075238696,0,-0.00218704467099395,0.0112321088814255,0,0,0,0,0,0
X600809.SH,0,0.314252153768002,0,0.0672094718128226,0.0708866832411491,0.128814858803055,0,0,0,0,0,0,0.108746120043838,0,0,0,0,0,0,0.0406995823957912,0,0,0,0,0,0,0,0,0,0,0,0,0.102281208238856,0,0,0,0,0.259831430761913,0,0,0,0,0,0,-0.0859797273545023,0,0.0352567116412075,0,0,0,0.0691183932340539,-0.0175164647492939,0,0,0,0,0.00290654189983591,0,0
X000568.SZ,0,0.15150753161467,0,0,0,0.102865754084226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123233426279833,0.0282288230387839,0,0,0,0,0,0,0,0,0.254301697534916,0,0.181599020146481,0,0,0,0,0,0,0,0,-0.0331941304068929,0,0,-0.0293943934543416,0.032550241394386,0,0,0,-0.072782606302027,0,0
X002415.SZ,0,0,0,0,0,0.436667152884145,0,0,0,0,0,0,0,-0.194507095130175,0.0260188132014019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608572334457367,0,0.697660517641379,0,0,-0.0366809879024339,0,0,0,0,0.0593717726922531,0,0.087072184620915,0.135840002732888,0,0,0,0,0,0
X002304.SZ,0,0.00532796843128654,0.151890591828301,0,0.0433461941968877,0,0.170543966706332,0.0778687721213052,0.018457356730241,0,0,0.0206826798663985,0,0,0,0,0,0.0209533727879202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417034682130923,0,0.186735835553258,0,0,0,0,0,0,0,0,0,0,0,0.0291587471954673,0,-0.0123455290772275,0,0,0,0,-0.0304803619725473,0,0
X600690.SH,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.291808498961789,0,0.032438069311575,-0.0476191939072445,0.15510127830209,0,0,0,0,0,0,0.149128479325675,0,0,0,-0.0838767969229271,0,0,0,0,0,0,0,0,0,0,0,0.14101911823979,0,0,0,0,0,0,0,-0.0885744910182443,0,0,0,0,0,-0.0131187117678596,-0.00945324753232102,0,0,0,-0.0774856572898047,0,0
X600276.SH,0,0,0,0,0,0,0.391854102284871,0,0.0200131597621109,0,0,0,0.000478297425378681,0.0983125683983843,0,0,0,0,0,0,0,0,0,0,0.0408009561021047,0,0,0,0,0.00886825682191992,0,0,0,0,0,0,0,0.0822945878609764,0,0,0,0,0,0,0,0.270223129906041,0.10205143186105,0.0789037641590064,0,0,0,0.0587810533381958,0.0183054742270579,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107751098697999,0,0.0178670440710515,0,0,0.402092356421597,0,3.46944695195361e-18,0,0,0,0.099448021002547,0,0,0,0,0,0,0,0,0,0,0,0,0.0893163019834099,0,0,0,0,0.0427406879771983,0,0,0,0,0.00540729199150843,0.00424867380291674,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11434248242153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138245413786747,0,0,0.0300564037838003,0,6.93889390390723e-18,0,0,0,0.103683139867984,0,0,0,0.032781727775314,0,0,0,-0.0204991654072358,0,0,0,0,0.00388677904126176,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154533405856171,3.46944695195361e-18,0.178892660833326,0,0,0,0.0528673225322205,-0.00149192538116584,0,0.0310426523056666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0782289597227344,0,0,0,0,0,-0.0356409419864554,0,0.123071406075483,0,0,0.0287408337483428,0,0
