,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002304.SZ,X000651.SZ,X002475.SZ,X600690.SH,X300014.SZ,X600104.SH,X600031.SH,X000725.SZ,X300124.SZ,X002371.SZ,X600703.SH,X000063.SZ,X000338.SZ,X000661.SZ,X000625.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X000596.SZ,X300142.SZ,X000100.SZ,X002049.SZ,X002179.SZ,X600460.SH,X600702.SH,X000799.SZ,X600779.SH,X002074.SZ,X601877.SH,X002007.SZ,X000157.SZ,X600741.SH,X002236.SZ,X600584.SH,X601799.SH,X002414.SZ,X600089.SH,X600183.SH,X300003.SZ,X300146.SZ,X000800.SZ,X600884.SH,X000977.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0670442048920479,0,-4.33680868994202e-19,0,0,0.0551678225645643,0,0.173796255203482,0,0,0,0,0,-0.0171181205167261,0.0461514354147402,0,0,0,0,0,0.103008685650488,0,0,0.0423124786345286,0,0,0,0,-0.0050801456856501,0.112032635056033,0,0,0,0,0,0,0,0,-0.0980812164208507,0.0373066791909171,0,0,0,0,0,0,0,0,0,0,0,0.02925943322915,0,0,0,-0.0124851904303311,0,0
X000858.SZ,0,0,0,0,0,0.242219440514976,0,0,0,0,0.0174335199443108,0,0.0676588682266597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136068244730626,0.0290120123638483,0,0,0,0,0,0,0,0,0.0600618289338023,-0.0118986630333658,0,0,0.0608671420680756,0,0,-0.0925419782375903,0,0,0,-0.0586611019492076,-0.0149161403258212,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.154798945997172,0,0,0,0,0.144732041804607,0.070942877255944,0,0,0,0.0121665491912284,0,0,0,0,0,0.0634464409747711,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0214899931202995,0.0940857521545917,0,0,0,0,0,0,0,0,0.027841966582979,0,0,0,0,0,0,0,0,0.111324198907269,0,-0.0301251203793027,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.15849046246038,-0.180378293797003,0,0,0,0,0,0,0.160684193230609,0,0,0,0,0,0,-0.114791602529476,0,0,0,0,0,0,0,-0.0269783891095569,0,0.476741189061607,0.0696088639898693,0,0,0,0,-0.0130510711564562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679105265555432,0,0,0,0,0,0
X600276.SH,0,0,0,-0.140035673163286,0,0,0.130710698056166,0,0,0,0,0,-6.93889390390723e-18,0,0.284401742313268,0,0,0,0,0,0,0,0,0,0,0.187804789369486,0,-0.13374992160536,0,0,0.115120346403701,0,-0.10427934773682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.726711188438637,0,0.0904180130035507,0,0,0.119132261371603,0,0,0,0,-0.213106129485946,0,0,0,0,0,0,0,0,0,0,0,0,0.126641961419567,0,0,0.00448892792368894,0,-0.0125315938779501,-0.00990369135705187,0,0,0,0,0,0,0,0,0.0805491629605166,0,0,0,0,0,0.0156178579591334,0,0,0,0,0,0,0.0176507984069318,0,0,0,-0.0964860220268046,0,0
X002304.SZ,0,0,0,0.147555041784418,0,0.132380660853752,0,0,0,0.022929780371571,-0.149854363323192,0,0,0,0,0,0.251091888224916,0,0,0,0,0,0,0,0.100436706816333,0,0,0,0.126667456842855,0,0,0,0,0.0648108996136547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714201440095029,0.0843231454611459,0,-0.00201623173104806,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.147839479525148,0.00203067154023073,0,0,0,0,0,0,0.178127282194683,0,0,0,0,0,0,-0.0846054016597809,-0.00843367967555978,0,0,0,0,0.0773897882493275,0,0,0,0,0,0,0,0,0,-0.0508671737085668,0,0,0,0,0,0,0,0,-0.0764930489942415,0,0,0.0936020126464549,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0.0294604449908213,0,0,0,0.122926197278624,0,0,0,0,0.0944399685826768,0,0,0,0,0.0153346945422765,0,0.0912849328998242,0,0,0,0,0.0132839723050046,0,0.0173293985316611,0,0,0,0,0,0,0,0,0,0,0,0,-0.167796313313329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.303351207365915,0,0.210903234205952,0,0,0,0,0,0,0,0,0.273441261164843,0,0,0,0,0,0,0,0.00443276274317694,0,0,0,0,0,0,0,0.0136994480159069,0,0,0,0.0266090418015565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206412399915947,0,-0.0526780412523111,-0.0331473281728492,0.00715948409691796,0,0,0,0,0,0
