,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600741.SH,X002475.SZ,X601877.SH,X600703.SH,X600271.SH,X300003.SZ,X002236.SZ,X300124.SZ,X600498.SH,X000100.SZ,X600487.SH,X002008.SZ,X000625.SZ,X002007.SZ,X600809.SH,X000661.SZ,X300142.SZ,X600867.SH,X000157.SZ,X600566.SH,X000596.SZ,X002179.SZ,X600066.SH,X600177.SH,X002506.SZ,X600089.SH,X600522.SH,X300146.SZ,X002456.SZ,X002180.SZ,X600372.SH,X002241.SZ,X600699.SH,X002294.SZ,X600183.SH,X300136.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.286287184452417,0,0.0765154839602699,0,0,0.0266735920416388,0,0,0,0,0,0,0,0,0,-0.0191095364221022,-0.0261640426834393,0,0,0.00191314647124166,0,0,0,0,0,0,0,0,0,0.514327699444863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00454820219300314,-1.73472347597681e-18,0,0,0,-8.67361737988404e-19,0,0
X600104.SH,0,0,0.0129886437455809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113584259470829,0,0,0.088319330949955,0,0,0,0,0,0.1461017400663,0,0,-0.0545587565955635,0,0.110931558403064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351848281074087,0,0.162956562514101,0,-0.019976373215145,0.0371546320359281,0,0,0,0.0684703665870568,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0747222005036381,0,0,0,0,0.718767164925293,0,0,0,0,0.110732405510164,0.0482024970087692,0,0,0,-0.0373608837898692,0,0,0,0,0.076063197431171,0,0,0,0,0,0,0,0,0,0,0,0.110716428819243,0,0,0,0.0688043185524751,0,0.0158839288642662,0,0.0184816597895562,0,0.109664865904937,0,0
X000651.SZ,0,0,0,0,0.0700259496385352,0,0.162897839742731,0,0,0,0,0,0,0.202932024647716,0,0,0,0,0.0137578444875213,0,0,0,0,0,0,0,0,0,0,0.0313996659333826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221878671197662,0,0,0,-0.00078131237334069,0,0,0,0,0,0,0
X000858.SZ,0.276188387629053,0,0,0,0,0,0.311488286521826,0,0,0,0,0,0,0.121311173502452,0.0114820149887218,0,0,0,0,0,0,0,0,0,0,0,0,0.152106685235094,-0.0412300159174006,0,-0.0367810055745255,0,0,0,0,0.0869244776833832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00116890609484972,0.0214303761435116,0,0,0,0,0,0
X600276.SH,0,0,0.183449385528497,0,0,0,0,0,0,0.0162820611331338,0,0,0,0,0,0,0,0,0.375690739404641,0,0,0,0,0,0,0,0,0.10400482510415,0.0181763292630797,0.064744349688869,0.0166168707111116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782471896870077,0,0,0,0,0.0109969015522291,0.0228431598681327,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.381353724012109,0,0,0,0,0,0.112538884765288,0,0,0,0,0,0,0,0,0.0898360867084511,0,-0.130674866785416,0,0,0,0.436039624354528,0,0,0,0,0,0,0.0904142150903577,0,0,0,0,0,0,0,-0.011068032060234,0,0,0,0.00602595302103427,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.118484797969849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808075558389171,0,0.0839840450422786,0,0,0.0238309760613507,0,0,0,0,0,0,0,0,0,0,0,0,0.242151414197608,0,0,0,0,0.133562701885587,0,0.051099082543593,0,0,-0.00742372823631668,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.122908210694066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464721316598376,0,0,0,0,0,0,0.0363516463844167,0,0,0,0,0,0,0,0.0970933277196696,0,0,0,0,0.0970639381604205,-0.0340625723492158,0,0,0,0,0,0,0,0.527786533278503,0,-0.0161432432468464,0,0,0,0,-0.0103708183085935,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186983168090504,0.404089489649422,0,0.136644869675748,0,0,0,0,0,0.0945060717505657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262097002613401,0,0,0,0,0.0443294457460956,0.111978363929408,0,0.0270088270506238,-0.0185151769915618,0,0,0,0.163081797898984,0,0
