,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002475.SZ,X002415.SZ,X600690.SH,X002304.SZ,X600276.SH,X000651.SZ,X300014.SZ,X600104.SH,X002129.SZ,X300124.SZ,X002371.SZ,X003816.SZ,X000625.SZ,X000725.SZ,X002049.SZ,X600031.SH,X000596.SZ,X000063.SZ,X002241.SZ,X600703.SH,X000338.SZ,X002179.SZ,X600089.SH,X600522.SH,X000661.SZ,X300142.SZ,X002180.SZ,X601877.SH,X002074.SZ,X000733.SZ,X600741.SH,X000100.SZ,X600460.SH,X600884.SH,X600702.SH,X000157.SZ,X002414.SZ,X000799.SZ,X600487.SH,X002236.SZ,X600584.SH,X600563.SH,X601799.SH,X000800.SZ,X002176.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.347979804999564,0,0,0,0,0,0,0,0,0,0,0,0,-0.0361647068922107,0,0,0,0,0,0,0,0,0,0,-0.0134047636206655,0,0.0236208644159404,0,0.0234327561601146,0,0,0,0,0,0,0,0,0,0.0312929278252709,0,0,0,0,0.0203879263467534,-0.0154459494768551,0,-0.03574882182391,0,0.0323429318824299,0.034004366553305,0,0,0,-0.0346477505320718,0,0
X000858.SZ,0,0,0.0405667217658296,0,0,0,0,0.14664142169955,0,0,0,0,0,0,0.0811918809808365,0,0,0,0,0,0,0,0,0,0,0,-0.0153407187370344,0,0,0,0.0240879578890681,0,0,0,0,0,0,0,0.306491224108132,0,0,0,0,0,0,0,0,0,0,0,0,0.0169511726925016,0,0,0,0,-0.00220578314955295,0,0
X600809.SH,0,0,0,0.228532474996897,0,0,0,0,0,0,0,0,0,0,0.157074925267057,0,-0.0980543696367871,0,0,0,0,0,0,0,0,0,0,0,0.00741576354563158,0,-0.116536727527764,0,0.126201905007046,0,0,0,0,0,0.12922730144837,0,0,0,0,0,0,0,0,0,0,0,0.241121701651374,-0.071791608882638,-3.3881317890172e-21,0,0,0,-0.00358888098932591,0,0
X000568.SZ,0,0.198990109490564,0.183885453813527,0,0,0,0.0307448437290638,0,0,0,0,0,0,0,-0.0120482774841148,0,0,0,0,0,0.0511908535875666,0,0,0.0206802442470915,0,0,0.0281681563612229,0,0,0,0,0,0,0.00361763897978556,0,0,0,0,0.283446593882462,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215071295853052,0,0,0,0,-0.0186060627630319,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176395824670848,0,0,0.121533115073612,0,0,0,0,0,0.163006728497303,0.160282769921805,0,0,-0.0957752368758695,0,0,0,0,0,0,0,0,0,0.135705190197021,0,0,0,0.0378755760987575,0,-0.11025240324364,0,0,0,0,0,0,0,0,-0.065712557135075,0.00788207227666924,0,0,0,2.16840434497101e-19,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,-0.0114851563337104,0,0,0,-0.0210969711298508,0,0,0,0,0,0,0,0,0.0314111890447093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693067015126704,0,0,0,0,0.537126133674869,0,0,-0.0366937118159648,0,0,0,0,-0.0345138170967748,0.0518378202464624,0,0,0,0,0,0
X600690.SH,0,0,0.0894412820721223,0,0.01203525116695,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182901183872382,0,0.0180628213459935,0.0759658019555107,0,0,0,0.132366352645038,0,0,0,0,0,0.036800365975227,0,0,0,0,0.418402862977819,0,-0.0650614191205589,-0.00255310016843574,0,0,0,0,0,0
X002304.SZ,0,0.248579243561133,0,0.150663672286919,0.0792148484228177,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0480764894566608,0,0,0.0312173760624534,0,0,0,0,0,0,0,0,0,-0.0377247223262474,0,0,0,0.13278930745294,0,0.000648260637925292,0,0,0,0,0,0.119781071312411,0,-0.110199916581783,0,0,0,0,0,0,0,0,0,0,0,0.0486541054868682,0,0,0,-0.0391375176111203,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0634313758520286,0,0,0,0,0,0,0,0,0,0,0,0,0.0669893593046011,0,0,0,0,0.0371052810897859,0.146108851809302,0,0,0,0.00820074636570586,0,0.0894255736301315,0,0,0,0,0,0,-0.00852274455081739,0,0,0,0,0,-0.171102980230979,0.202108484413901,0,-0.0304710593134566,0,0,0,0,0.0138488926300709,0,0
X000651.SZ,0,0,0,0,0.0058705139292829,0,0,0,0,0,0,0,0,0,0,0,-0.0192853624300866,0,0,6.93889390390723e-18,0,0,0.0849680265752183,0,0.25798060364848,0,0,0,0,0.15766350772976,0,0,0,0,0,0,0,-0.150859980837327,0.00535093767395388,0,0,0.103529935636173,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0315710036830149,0,0,0,0.0486122261545307,0,0
