,X600519.SH,X000858.SZ,X002475.SZ,X002415.SZ,X600276.SH,X003816.SZ,X600690.SH,X600809.SH,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000625.SZ,X000725.SZ,X600031.SH,X300124.SZ,X000063.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X002463.SZ,X600089.SH,X000157.SZ,X600584.SH,X600372.SH,X600703.SH,X000977.SZ,X600183.SH,X600741.SH,X600066.SH,X600522.SH,X002236.SZ,X002028.SZ,X002049.SZ,X600418.SH,X601877.SH,X002180.SZ,X600487.SH,X000921.SZ,X002223.SZ,X000661.SZ,X000800.SZ,X601799.SH,X600460.SH,X002156.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.174955832639496,0,0.209739568055078,0,0,0,0,0,0,0,0,0,0.0371390690487886,0,0,0,0,0,0,0,0,0,-0.0233790140742925,0,0,0,0,-0.0225148708190859,0,0,-0.0253167591922319,-0.0153926655314112,0,0,-0.0568402519612779,0,0,0,0,0,0,0.0282395358255955,0,0,-0.0370065430464126,-0.0484020297245026,0,0,0,0.0120643599217682,0,0
X000858.SZ,0.14635628784852,0,0,0,0,-0.00187217346676839,0,0,0,0.424237854745188,0,0,0,0,0.0122925737851782,0,0,0,0,0.00471790496145772,0,0,0,0,0,0,0,0,0,0,0,0,0.106543916635171,0,0,0,0,0,0,0,0,0,0,0.0596161494112906,0,0,0,0,0.0547352535763871,0,0,-0.0234053913589234,0,0,0,0,0.0357837799509162,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0857554470042101,0,0,0,0,0,0,0,-0.0572635094261132,0.163684484518757,0.481236858097894,0,0,0,0,0.0449184238523026,0,0,0,0.0156425000665512,0,0.0646953711894912,0,0,0.0214758549966224,0,0.000129225509882328,0,0,0,0,0,0,0,0,0,0,0.0103316519474972,0,0,0.103112329413031,0,0,0,-0.0485008771630079,0,0
X002415.SZ,0,0,-0.0696072835028445,0,0.0940519418029182,0,0,0,0,0,0,0,-0.0659829361669724,0,0,0,0,0.181442264839768,0,0,0,0,0,0,0,0,0,0,0,0,0.052090114554962,0.0938657628740106,0,0,0,0,0,0.0924249281860414,0,0,0,0,0,0.0479617372758101,0,0,0,0,0,0.0560466892031602,0,0,0,-0.123632527730698,0,0,0.0170697201679851,0,0
X600276.SH,0,0,0,0,0,0,0.02028327993934,0,0,0,0.0521379125499086,0,0,0.0244574195507983,0,0,0,0.175503661242184,0,0.13009190987814,0,0.153115165543205,0,0.000497019581077925,-0.0352188289302403,0,0,0,0,0,-0.0944887313044225,0,0,0,0.041607714001518,0,0,0,0.0737594671177222,0,0,0,0.0204101628541175,0,0,0,0,0.0653110077773369,0,0,0,-0.0553641975433432,0.0636498966884031,-0.0244655569117444,0,0,0.0575183179261319,0,0
X003816.SZ,0,0,0,0,0,0,0,-0.254776698378455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151627316757981,0,0,0,0,0,0,0,0,0.0971119179215289,0,0,0,0,-0.10832127200653,0,0,0,0,0,0,0,0.121508165264894,-0.00433482038552959,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0694926767202938,0.0777633846817018,0.0365014969688352,0,0,0,0.0733259326068583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581830788969882,0,0,0,0,0,0,0,0.15913287045558,0,0,0,0,0,0.0374943516622599,0.0139692222353628,0,0,-0.000123297780277609,-0.180996754054934,0,0,0.00492208871201485,0,0
X600809.SH,0.157117950904448,0,0,0,0.0375156988250242,0,0.150641434400342,0,0,0,0.0186528939262535,0,0,0,0,0,0,0,0,0.409729501502538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000739756843700194,0,0,0.136535465705186,0,0,0,0,0.037144453806648,0,0,0,0,0.0675987132250173,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0833876756538234,0.0834359996550621,0,0,0,0,0,0,0,0.142573344602593,0,0,0,0,0.0230007580450483,0,0,0,0,0,0,0.0768507984695943,0,0,0,-0.00954102422314919,0,0,0,0,0,0.0170519023660078,0,0,0,0,0,0.118723197043174,0,0,-0.0456167965567507,0,0,0,0,0,0.0170560555893872,0,0,0,0,0,0,0
X000568.SZ,0.212456631631945,0.490033283898244,0,0,0,0,0,0,0,0,0.0470991801096614,0,0.00333126998340517,0,0,0,0,0,0,0.149610917761837,0,0,-0.00173066193911093,0,0,0,0,0,0,0,0,-0.00851618635342183,0,0,0,0,0,0,0,0,0,-0.001610818384737,0,0,0,0,0,0,0,0,0,-0.0464929884081615,0,0,0,0,0.013832054190143,0,0
