,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002129.SZ,X000625.SZ,X300124.SZ,X600031.SH,X000725.SZ,X002371.SZ,X003816.SZ,X002049.SZ,X000596.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X600522.SH,X000661.SZ,X601877.SH,X002180.SZ,X300142.SZ,X002074.SZ,X600460.SH,X600741.SH,X600884.SH,X000733.SZ,X000100.SZ,X600702.SH,X000157.SZ,X000799.SZ,X601799.SH,X600563.SH,X002236.SZ,X600584.SH,X002176.SZ,X600487.SH,X002414.SZ,X000800.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.269859720816353,0,0.00753378107944981,0,0,0.0566116225408396,0,0,0,0,-0.015043200198003,0,0,0,0.066637014468527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486678073024226,0,0,0,0,0,0.0263552236452478,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00832203709975313,0,0
X000858.SZ,0,0,0.0569258322607201,0.36570035460978,0,0,0,0,0,0,0,0,0,-0.0149338651430605,0,0,0,0.0120779943191215,0,0,0.0274132926345082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133440003490855,0,0.145505357590362,0,0.0447078594534987,0,0,0.0367947120365886,0,0,0,0.0138628778470462,-0.0657064158496583,0.00887878786266418,0,0,0,0,0,0,0
X600809.SH,0,0,0,0.659063590454761,0.037508185084683,0,0,0,0,0,0,0,0,-0.0343427308402447,0,0,0,0,0,0,0.0600724238762769,0,0,0,0,0,0,0,0,0,0,0,0.0610092644224244,0.00930032474076368,0,0,0,0,0.0322616665323499,0,0,0,0.016252568396977,0,0,-0.205973259058402,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.160836926066532,0,0,0,0.0183202329670709,0,0,0.0342906123597824,0,0,0,0,0,0,0,0,0,0,0,0.0307468953296598,0,0,0,0,0,0,0,0.0592710244299366,0,0,0,0,0,0,0,0,0,0.416207422391813,0,0,0,0,0,0,0,0,0,0,0,0,-0.00521859389270797,-0.0193318134577482,0,0,0,-0.0264404056555187,0,0
X002415.SZ,0,0,0.389096062128016,6.93889390390723e-18,0,0.0313794206107752,0,0,0,0,0,0,0,-0.180907802770407,0.205535210543605,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497276401596051,0,-0.0160053863978354,0,0,0,0,0,0.131964998420853,0,0,0,0,0,0,0
X002304.SZ,0,0,0.104765387022862,1.0842021724855e-19,0,0,0,0.0848743524474137,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0170056002797732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000575188508065919,0.06312956158919,0,0.320032448979382,0,0,0,0.0286378599492984,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156891671388369,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0617417318238107,0,0,0,0,0,0,0,0,0,0.084576536381056,0,0,0.126367980910388,-3.46944695195361e-18,0,0,6.93889390390723e-18,0,0,0,0.0321830510166232,0,0.143752546816243,0,0.0430045938295726,0,0.133321024336422,0.198225195461738,0.015711947254644,0,0,0,0,0.0188836863826991,0,0.12225018375407,0,0,0,0,0.0263082514541537,0,0
X600690.SH,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.249569886376992,0,-0.00161322177724854,0,0,0,0.057457346204702,0,0.102163260383885,0,0,0,0.159834037097254,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0406543125936451,0,0,0,0,0,0,0,0,0,0,0,0,-0.00139512581110293,0,0,0,0,0.0160379164663835,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117685674307021,0,0,0,0,0.106499374990209,0,0,0.0304603226633937,0,0.0116071641218258,0,0,0,0,-0.0630384101846048,0,0,0,0,0,0,0,0.405169880468983,0.0671476463160394,0.0504278753470317,0.162038700227894,0,0,0,0,0,0,0,-0.072371541186171,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0520958694427674,0,0.110478729229891,0,0,0,5.42101086242752e-20,0.0665006043434101,0,0.145561356921756,0,0,0.0855352627214102,0.0125370118086115,-0.108396206319038,0,0,0,0,0,0,0,-0.0536117502575133,0,0,0,0,0,0,0.0455812491054736,0,0,-0.0330164538705926,0,0,0,0,0,0.0116548631733083,0,0.063339808720618,0,0,0,0,0
