,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X600276.SH,X600690.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X000100.SZ,X600271.SH,X601877.SH,X600118.SH,X000550.SZ,X002236.SZ,X600582.SH,X000800.SZ,X000581.SZ,X002475.SZ,X000623.SZ,X000568.SZ,X600177.SH,X300124.SZ,X002294.SZ,X000559.SZ,X000400.SZ,X000050.SZ,X002129.SZ,X000977.SZ,X000869.SZ,X600839.SH,X002456.SZ,X002292.SZ,X002465.SZ,X600312.SH,X300003.SZ,X002007.SZ,X600060.SH,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.164575181293719,0,0,0,0.0899991115597749,0,0,0,0,0,0.57816142511247,0,0,0.0387563107012225,0,0,0,0,0,0,0,0,0.0239771860904231,0,0,0.0518998128127655,0,0,0,0,0,0,0,0,0,0,0.120280279533653,0,0,0,0.124079493737223,-0.0416039181669683,0,0,0,0,0,0.00494604361276401,-0.153991268468231,0,0,0,0,0
X600519.SH,0,0,0,0,0,-0.00866197829521972,0.00560606072263005,0,0,0.0543556655550826,0,0.179174500809674,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196572789896891,0,0,0.0925554894048536,0,0,0,0,0,0,0,0.130844159981804,0,0,0,0,-0.00021873990049425,0,0,0,0,0,-0.0184472765721628,-0.00858886056027751,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.21482631117453,0.292798137772094,0,0,0,0,0,0,0.0744913259168207,0,0,0,0,0,0,0,0,0.0442758361374791,0,0,0,0,0,0,0,0,0,0,0,0.0555745088551504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980307388869638,0,0.139740055860311,0,-0.0203842320234063,-0.0199030650100251,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.235364713663055,0.057249194774304,0,0,0,0,0,0,0,0,0,0,0,0.0115617276210942,0,0,0,0,0,0.0368766329662914,0.283395819742527,0,0,0,0.0589499618414323,0,0,0,0,0,0,0.0640615077394686,0,0,0,0,0.0342154398958652,0,0,0,0,0,0,0,0,0,-0.00354097571896522,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0561183533033156,0.0800471837781538,0,0,0,0,0,0,0.13891172968083,0.067219796716558,0,0.0793548523591409,0,0,0,0.0710167384313923,0,0,0.0460371497616468,0.148689362926082,0.162494719867991,0,0,0,0,0,0,0,0,0.138591889814183,0,0,0.10139723846121,0,0,0,0,0,0,0,-0.00616345940241872,0,0.014864076191879,0,0,0,0
X000625.SZ,0.531749957959979,0,0,0,0,0,0.161405790992202,0,0,0,0,0,0,0,0,0.191881938787468,0,0,0,0,0,0,0,0.0029554966395421,0.150101584690524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012554442905282,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.346964764773203,0,0.0415315359976493,0.137837458798984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935406577130536,0,0,0,0,0,0,0,0,0,0,0,0.128572978692339,0,0,0,0,0,0,0,0,0,0,0,-0.00279743162621372,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0886908226742457,0.0309811182315752,0,0.0672133171952245,0.262986022420544,0,0.0688067849191593,0,0,0,0,0,0,0,0,0,0.0334131904790051,0,0,0,0,0,0,0,0.0209039951034721,1.73472347597681e-18,0,0,0,0,0,-0.00336549516073262,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199518757177187,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.0694452403970048,0,0,0.0869744598530703,0,0.142328882662866,0,0,0.108141485642246,0,0,0,0,0,0,0,0,0,0,0.0914074129260821,0,0,0,0.208327894373396,0.0288564569618841,0,0,0,0,0,0,0,0,0,0,0.0858534477460723,0,0,0,0,0,0,0,-0.00588205067984692,0,0,0,0,0,0
X600031.SH,0.168583199441729,0,0,0,0,-0.0679850325943428,0,0,0.0345247674585717,0,0,0,0,0,0.841657385466598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.098341275610654,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611805728014327,-0.0111898997869179,0,0,0,0,0,0
