,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002236.SZ,X002241.SZ,X000625.SZ,X002475.SZ,X600741.SH,X000338.SZ,X600031.SH,X002456.SZ,X600066.SH,X300124.SZ,X000100.SZ,X600809.SH,X601877.SH,X002008.SZ,X600487.SH,X002085.SZ,X300136.SZ,X002508.SZ,X600522.SH,X600089.SH,X300003.SZ,X600271.SH,X600177.SH,X000157.SZ,X600118.SH,X600699.SH,X600867.SH,X002294.SZ,X300115.SZ,X000050.SZ,X000559.SZ,X002074.SZ,X000981.SZ,X600372.SH,X600566.SH,X600498.SH,X600884.SH,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0843598905009096,0,0,0,0,0,0.0346995366494918,0,-8.67361737988404e-19,0.234396604183359,0,0,0,0,0,0,0,0,0,0,0,0.0230559214923027,0,0,0,0.00643999465840455,0,0.0297923086970434,0,0,0,0,0,0,0,0,0,0.0513670207974037,0,0,0,0,0,0,0,0,-0.00714743854532036,0,0,0.0101664395560592,-0.0206680830605655,0,0,0,0,0,0
X600104.SH,0,0,0.100169598874382,0,0,0,0,0,0,0,0,0,0.00535690321322516,0,0,0,0.328537075355905,0,0,-0.088765179093764,0.00769621145603796,0,0,0,0,0,0,0,0.0535451817293193,0,0,-0.121146830891411,0,0,0,0,0,0,0,-0.0585454149972795,0.027491455291321,0,0,0,0,0,0,0,0,0.203422764308278,0.0836362075677221,-0.0134099359544453,0.0274377858631212,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0212320800059068,0.000189784168556829,0,0,0.243757999992447,0,0,0,0.0775496905161265,0,0,0,0,0,0,0.097233807511607,0,0,0,0.0726391486227934,0,0.0684695429725755,0,0,0.0955121501195496,0,0,0,0,0,0,0,0,0,0,0.0302072196914805,0,0,0.0368719609592181,0,0.00237877289331359,0,0,0.0262180719393538,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.146082622067369,0,0,0,0,0.234549850979744,0,0,0.0807534700066765,0,0,0,0.00927286300506736,-0.0252846260870873,0.105131263070177,-0.0118833699024133,3.46944695195361e-18,0,0,0,0,-0.000930127786950371,0,-0.0326493443468101,0,0.147143395069556,0,0,0,0,0,0,0,0,0,0,0,-0.0217313077205458,0,0,0,0,0,0,-0.0110208905737979,0,0,0,0.0155409842541205,0,0,0,0,0,0
X000858.SZ,0,0,0,0.142306910997894,0,0,0,0,0,0,0,0.462309522360339,0.0338513766902947,0,0,0,0,0,0,0,0,0,0,0.103891193772703,0,-0.0317468002034585,0,1.73472347597681e-18,0,0.00922891586055894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149693927547896,0,0,-0.00399186426709197,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0413506248967831,0,0,0,0,-0.0853241519166925,0,0.0576004695293247,0.23482419585826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648866317625566,0,0,0.024757206166547,0,0,0,0,0,0,0,0,0,0.0601288248495674,0.0403733295970856,0.0294633869666954,0,0,0,0,0,0.13294479517839,-0.0915748277478432,0,0,-1.0842021724855e-19,-0.00192319316108948,0,0,0,0,0,0
X000725.SZ,0,0,0.119298919884695,0,0,0,0,-0.016168033684562,0,0,0,0.0845784204369239,0,0,0,0,0.00356761031026441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120864336437533,0,0,0,0,0.244263328887653,0.0839258867645232,0.150634189785863,0,-0.0150141372478382,0.0203494349444103,-0.0269132029538376,0,0,0,0,0
X002304.SZ,0,0.12274032310548,0,0,0.208294586221618,0,0,0,0,0,0,0.0770158060711701,0,0,0,-0.0422800807797566,0.096538901379347,0,0.184494086285116,-0.0369815701008635,0,0,-0.0160231230321116,0,0,-0.0778752249866332,0,0,-0.0381436793402844,0,0,0,0,0,0,0,0,0,0,0,0.207541815456706,0,0,0,0,0,0,0,-0.0199065191761361,0,0,-0.00805764407932597,0,0,0,0,0,0,0
X000063.SZ,0,0,0.0941483704613292,0,0,0,0,0,0,0.059597198415504,0.180070096340992,0,0.232964753670932,0,0,0,0.0153468256108821,0,0,0,0,0,0,0.0739659969101584,0.106406315103086,0,0.242168998362951,0.00704762269127687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157420315296831,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0.225355755363231,0.112780658965324,0,0,0,0.175851011399832,0,0,0,0,0,0,0,0,0.0235502785356979,0,3.46944695195361e-18,0.0544324625637043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875492118877757,0,0.0114661214581039,0,0,0.00822551547919437,0.00446520120470208,0,0,0,0,0,0
