,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X000338.SZ,X300003.SZ,X002236.SZ,X600031.SH,X002008.SZ,X600809.SH,X300124.SZ,X600867.SH,X002456.SZ,X601877.SH,X600271.SH,X600066.SH,X000625.SZ,X600487.SH,X002294.SZ,X000596.SZ,X000100.SZ,X600566.SH,X002241.SZ,X000661.SZ,X300136.SZ,X300142.SZ,X000981.SZ,X002180.SZ,X002508.SZ,X002007.SZ,X000050.SZ,X000157.SZ,X002038.SZ,X002179.SZ,X600522.SH,X000869.SZ,X600498.SH,X600177.SH,X000977.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.328118265936089,0.12690398772175,0,0,0,0,0.0513329883995876,0.0179348848442849,0,0.0620476822828026,0,0,0,0,0,0,0.0445792634261386,0.019226400388185,-0.0336716310411929,0,0,0,0,0,0,0,0,0,0.0072665120021775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00486226296923788,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.0925048143243703,0,0,0.283978587205605,0,0,0,0,0,0,0,0,0,0,0.00187336821631645,-4.33680868994202e-19,0,0.0442302113195958,0,0,0,0,0,0,0.106458251295324,0,0,0.0493602369594561,0,0,0,0.0700006465885088,0,0,0,0,0,0,0,-0.0561518200541298,0,0,-0.00945082200002912,-0.0416749262434252,0,-0.0758503548240318,0,0,-0.016637475729922,-0.052335882280692,0,0,0,0,0,0
X002415.SZ,0.0935466920715858,0,0,0,0,0,0,0,0,0,0,0,0.0252104777783199,0,0,0,0.226869861080671,0,0.00860915631847856,0,0,0,0,0,0,0,0,0.15294710851027,0,0,0,0.194598793581007,0.228828067714543,0,0,0.0299992183459867,-0.00881176483299924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00724158051269808,-0.0158476895592123,-0.0502323521963432,0,0,0,0,0
X000858.SZ,0.272123725845522,0,0,0,0,0.210643755093532,0.0405801975471655,0,0,0,0.219811568849369,0,0.0802608110390277,0,0,0,0,0,0,0.0933551210666394,0,0,0,0,0,0,0,0,-0.100979626926171,0.046616887829114,0,-0.0227557052505266,0,0,-0.00741426249068695,0,0,0,0,0,0,0,-0.00518473551821543,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0465070218232247,0,0
X600276.SH,0.0972173557450279,0,0,0.0391533572972897,0,0,0,0,0,0,0.118262715864589,0,0,0,0,0.318917337900276,0,0,0,0.0100861996468392,0,0,0,0,-0.0947805765679507,0,0,0,0.165477526905392,0,0,0.189736610414743,0,0.167846353549312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0580872372692394,0.016126852676652,0,0,0,0,0,0
X000651.SZ,0,0,0,0.360497288995694,0,0,0,0,0,0.222139810584819,0,0.147794950509225,0,0,0,0,0.0556830964965848,0,0,0.0789639448030229,0,0,0.0139407017528939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0821967644581346,0,-0.0219672204137541,0.214528375915199,0,0,0,0.089912504030653,0,0,0,-0.0880973249865519,0,0,0.0483161507539735,0.0849561246061681,0,0,0,0,0,0
X002304.SZ,0,0,0.0673158087119626,0.00690928198116517,0,0,0,0,0,0.162158519739617,0,0,0.180510602706174,0,0,0,0,0,0.0275239780706067,0.172683280987636,0.0747900667386825,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085128123817706,-0.0254621776542091,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0498857304235981,0,0,0,0,0,0,0,0,0,0,0,0.0253326523556161,0,0,0.171493011280523,0,0.11641930182761,0,0,0,0,0.0679889323166601,0,0.0858848848591142,0,0,-0.111364668292156,0,0,0,0,0,0,0,0,0.0166545505363165,0,0,0,0,-0.013061532261664,0.0257250450636054,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299708194528305,0,0,0,0,0,0.0570624642884743,0,0,0,0,0,0.00426715992192975,0,0.130125467726644,0,0,0,0.154594149487469,0,0.0604550234369558,0,0,0,0,0,0.0185579998156626,0,0,0.00763492157205747,0,0.019554224867489,-0.0316080438331812,0,0,0,0,0,0
X600690.SH,0,0,0,0.307273292940299,0,0,0.102747814315374,0,0,0,0,0,0.131132121835984,0,0,0,0,0,0,0.042837709861616,0.0348143317390725,0,0,0,0,0.0404465191879276,0,0,-0.0797050476352751,0.0843069422310809,0,0,0,0,0,0,0,0.0571026973357817,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01540535733284,-0.0237736909611395,0,0,0,0,0,0
