,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X002371.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X600104.SH,X000725.SZ,X000596.SZ,X300014.SZ,X002129.SZ,X600031.SH,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002049.SZ,X002236.SZ,X000661.SZ,X600372.SH,X000100.SZ,X002241.SZ,X000977.SZ,X002180.SZ,X601877.SH,X600741.SH,X600702.SH,X600584.SH,X000157.SZ,X600522.SH,X002074.SZ,X000733.SZ,X300142.SZ,X600460.SH,X300003.SZ,X002007.SZ,X002294.SZ,X300146.SZ,X000800.SZ,X002463.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002371.SZ,0,0,0.062392618039533,0,0.0691406518324821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179335076304713,0,-0.3797944225054,0.00161757681246845,0,0,0,0,0,0,0.0884544218281368,0,-0.538311654999136,0.0804649120624698,-1.73472347597681e-18,0,0,0,0,0,0.126032403141652,0,0,0,0,0,0,0,0,0.0409427478909445,0,0,0,0,0,0,0
X000063.SZ,0,0,0.109356545920847,0,0,0,0,0,0,-1.38777878078145e-17,0.246541072424381,0,0,0,0,0,0,0,0,0,0,-0.0494880093831802,0,0,0,-0.335352127080294,0.505577772273235,0,0,0,0,0.0495341273681342,0,-0.253428246816733,0,0,0,0,0,0,0,0,0,0,0,0,0.0490159012360769,0,0,0,0.195635422603871,0.0356121509660784,-0.0353164615165479,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0.0936312416755705,-0.00128153906377731,0,0,0,0,0,-0.0691099795788169,0.179205234031858,0,0.077599058721938,0,0,0,0,-0.134852862616679,0,0,0.0696828662472857,0,0,0.176667481499359,0.0786689607462031,0,0,0,0,0,0,0,0,-0.00976674795271588,0,0,0,-0.0209877943501087,0,0,0,-0.00941463349522136,-0.11545012894413,0,0.0342824724910731,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,-0.00121688866130534,0,0,0.0997791584706932,0,0,0,0,0,0,0,0,0,0.0623142805496947,0,0,0,0,0.00869454669394771,0,0,0,0.0161404638008638,0.0523641392477233,0,0,0,0.0153862337458599,0,0.249108862773566,0,0,0,0,0,0,0,0,0,0,-0.0101120040521407,0,0.131311707310573,0,0,0.134595521491443,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.164716907762971,0,0,0,0.0771518369890459,0,0,0,0,0,0,0.252673795696801,0.00381039081540396,0,0,0,0.0158338769185621,0,0,0,0,0,0.0279187174266701,0,0,0.232874607737587,0,0,0,0,0,0,0,0,0,0,0,0,0.035119836593178,-0.0471365744447543,0,0,-0.03208484470415,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0702057068821333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552684737997157,0.163849403635298,0,0,0.196559880628486,0,-0.00736915222419854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037516712804989,0.0122032299862763,0,-0.113432124563998,0,0,0,0,0,0,0
X000596.SZ,0,0.222915824829785,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206429749349606,0,0,0,-0.0324817138502255,0,0,0,0,-0.0380248885646775,0,-0.00350897856614858,0,0,0,0,0,0,0,0.0633742712569871,0,0,-0.0736437679392974,0,-0.0249120803406172,0.00941845551282986,0,0,0,0,0,0
X300014.SZ,0,0,0.0354837911249782,0,0,0,0,0,0,0,0,-0.114916814886069,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.000814469737613817,0,0,0,0,0.0654176069096841,-0.0137468571645608,0,0.0617334663129392,0,0.0474202242119895,0,0,0,0.34337625965974,0.0459192858239081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0.141413292022805,0,0,0,0,0,0,0,0,0,0,0,0,0.0270158903395569,0,0.179289436112861,0.140642627836359,0,0,0,0,0,0,0,0,0.0679976773870344,0,0,-0.133394345354317,0,0.0881629788280879,0.14703583276701,0.0560863562501497,0,0,0,0,0,-0.158110666410825,0,0,0,0,0.115700932122462,-0.0590185251390049,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0963090567128593,0,0,0.0450508077711403,0,0,0,0,0,0,0,0,-0.116397200309459,0,0,0.00922562992850699,0,0,0,0,-0.0261156275836,0,0,0,0,0.000641569456742171,0.137934563132786,0,0,0.0117163398003611,0,0.660212354809724,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198976122861252,0,0,0,0,0,0,0
