,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X600104.SH,X000725.SZ,X000063.SZ,X300124.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X600418.SH,X002179.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X600703.SH,X000066.SZ,X600372.SH,X600839.SH,X000157.SZ,X002028.SZ,X002236.SZ,X002049.SZ,X600522.SH,X600741.SH,X002456.SZ,X600066.SH,X600183.SH,X600460.SH,X601877.SH,X002156.SZ,X000661.SZ,X002129.SZ,X600487.SH,X000800.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.462336198377945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103264320624503,0,0,0,0,0,0,0,0,0,0,0,0,0.0266882370093011,0,0,0,0,0,0,0,0,0,-0.0239413106874402,0,0,0,0,0,0,0,0,0,0,0,-0.125678582118157,-0.0661305178735171,0,0,-0.0681605107957102,0,0
X000858.SZ,0.285238832563048,0,0,0,0,0,0.459446448707743,0,0,0,0,0.0608283153621449,0,0,0,0,0,0.0943012908320044,0.0726827150445723,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284600665537307,0,0.160658496456086,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103774030191624,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.0651737158887888,0,-0.0896083701216144,0,0,0,0,0,0.297803667331947,0.0603652635186298,0,0,0,0.0566709297213812,-0.0500239769264424,-0.025539950155564,0,0,0,0,0,-0.0982207326734991,0,0,0,0,0.169561265241709,0,-0.0174029818443082,0,0,0,0,0,0.0555761969417435,0,0,0,0,0,0,-0.241618378333136,0,0,0,-0.129825509640692,0,0
X002415.SZ,0,0,0,0,0,0.0832060387776348,0,0,0,0,0,0,0,0,0,0.0863031164624103,0,0,0,0,0.286386207586034,0,0,0,0,0,0,0,0,0,0.0296959517561848,0,-0.0122520350219848,0,0,0.0737519165141226,0,0,0,0,0,0,0,0,0,0.0432217381491255,0,0,0,0,0,0,0,0,0,0,-0.0411192070613047,0,0
X002475.SZ,0,0,0,0,0,0.0417756363187099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825956969968561,0,0.434347351489048,0,0,0,0.0871452589842256,0.050521341012896,0,0,0,0,0.0248635700147105,0,0,0,0,0,0,0.0274430932172913,0,0.0753964240703224,-0.0437971856696025,0,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.0800451528147756,0,0,0,0,0,0
X600690.SH,0,0.00280971839998639,0,0,0.141943539221612,0,0,0.351442603225634,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0669087798529197,0,0,0,0,0,0,0,0,0.175080066303212,0,-0.0436444539373816,0,0.0404393387983824,0,0,0,0,0,0,0.0702287396477383,0,0,0,0,0,0,-0.122229182238756,0,0,0,0,-0.011437333815329,0.0206815993992591,0,0,0,4.33680868994202e-19,0,0
X600809.SH,0,0.0544320164325533,0,0,0,0,0,0,0,0.715372479497575,0,0,0,0,0,0.0108194394946308,0,0,0,0.135478101401139,0,0,0,0.0605050669453017,0,0,0.0747302107422686,0,0,0,-0.0138236642533368,0,0,0,0,0,0,0,0,-0.00406455234727379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0386626662659806,0,-0.0104908381504508,0,0
X000651.SZ,0,0,0,0,0,0.447322905678082,0,0,0,0,0.081602116092716,0.0549202936013787,0,0,0,0,0,0.168216924586523,0,0,0,0,0,-0.00297142595176459,0.056748744023664,0,0,0,0,0,0,0,-0.0128542869665035,0,0,0,0,0,0,0,0.094775449950303,0,-0.038768385316089,-0.111108995453121,0,0,0,0,0,0,0,0,-0.0213302138779646,0,0,0,0.0132831362154094,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327783588263781,0,0,0,0,0,0.0546354725349363,0,0,0,0,0,0.100688323607529,0.0270847093758725,0,0,0,0,0.0129954974759276,0,0,0,0.054241569478621,0,0,0,0,0,0,0,0.179675940782365,0,0,0,0,0,0,0.049537106641362,-0.0554971362530096,0,0,0,0.00901672975711971,0,0
X000568.SZ,0,0.150656522309716,0,0,0,0,0.448053501331057,0,0,0,0,0,0,0,0,0,0,0.185808340439532,0,0.0890485307826779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190127365449114,0,0,0,0.0605058787306516,0,0,-0.0133717316733407,0,0,0,0,0,0,0,0,0,-0.0491878507032493,0,0,0,0,0
