,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X000625.SZ,X002371.SZ,X300124.SZ,X000725.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X000977.SZ,X002236.SZ,X600703.SH,X002463.SZ,X600372.SH,X002049.SZ,X002241.SZ,X600584.SH,X600741.SH,X000661.SZ,X600522.SH,X002129.SZ,X002028.SZ,X601877.SH,X000800.SZ,X600066.SH,X000921.SZ,X600183.SH,X601799.SH,X600418.SH,X002074.SZ,X002007.SZ,X002223.SZ,X600566.SH,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.172899757421817,0.134459094669865,0.0401853137721788,0,0,0.130592308044258,0,0,0,0,0,0,0,0,0.123379179867355,0,0,0,0.0371731377186807,0,0,0,-0.082741599179155,0,0,0,0,0,0,0.0731315152741946,0,0,4.33680868994202e-19,8.67361737988404e-19,0,0,0,0,0,0.0119476709935451,0,0,0,0,0,0,0,0,-0.0117718409231804,0.0136162456840567,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0273433318279751,0.303238026161302,0,0,0.0114482216043966,0,0,0,0.0281956946088825,0,0,0.139644253860414,0,0,0.0715161701736693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322120850027632,0,0,0,0.00750744748980695,0,0,0,-0.00277311679363949,0,0,0,0,0,0,0,0,0.0164485063974872,0,-0.000945211012600867,-0.0393908235844442,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0201874898766502,0,0,0,0,0,0.17338267080422,0,0.0490927566745317,0,0,0,0,0,0,0,0,-0.0547693394501872,0.043090582575864,0,0,0.173839251736223,0,0,0,5.42101086242752e-20,0,-3.46944695195361e-18,0,0,-0.00992645401878577,0,0,0,0.0683829681967209,-0.0325701984349083,0,0.0240766699388834,0,0,0,0,0,0,0,0,-0.0270188212345836,0,0,0,0,0,0,0
X600809.SH,0.0540419440639568,0,0,0,0,0.078334566571371,0,0,0.0391919956126557,0,0,0,0,0.0893314128896348,0,0.322284173577292,0,0.113285810425746,0,0,0,0.143773957160528,0,0,0,0,0,0,0,0.0367091547308895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00353008791581343,0,0,0,0,0,-0.0924316172010006,0,-0.0351444029607089,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510171246428866,0,0,0,0,0.170810577720891,0,0,0.241782184358413,0,0,0.181138441900874,0,0.169318471357626,0.0270137563503113,0,0,0,0,0,0,0,0.0256415148411414,0,0,0,0,0,0,-0.0136998060462272,0,0,0,0,0,0,0,0
X000568.SZ,0,0.638042594750403,0,0,0,0,0,0,-0.0508865191314487,-0.00488926988164285,0,0,0,0,0,0.0353940839932188,0,0,0,0,0.161854408310854,0.00396948375354677,0,-0.0173253070744202,0,0,1.73472347597681e-18,0,-0.0235112772662602,0,0,0,0,0,0,0,0.0920059621960638,0,0,0,0,-0.0404353808590307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.249539105933037,0,0.0385703899767027,0,-0.0147523886072117,0,0,0,0.120225847705798,0,0,0,0,-0.0966019548446136,0,0,0.137101899979781,0,0,0,0,-0.110224240762381,0,0,0,0.0289899230541922,0,0,0,0.0330157098121414,0,0,0,0,0.189127875830189,0.0235108807072626,0,0,0,0,0,0,0,0,-0.0203848568042779,0.00327914336939736,-0.00648353803487168,0,0,0,0,0
X000651.SZ,0,0,0,0,-0.0704430397270894,0,0,0,0.0393435789826153,0.119243675988672,0,0,0,0,0,0,0,0.0888538384287828,0,0,0,0,0,0,0,0,0,0,-0.0463474555322657,-0.0289694172197269,0,0,0,0,-0.0866399099889085,0.0232404352087781,0,-0.0143075819123794,0,0,0,0.247301653609815,0,0,0,0,0,0,0,0,-0.0751556263447241,-0.0273449693932584,0.00701424024527571,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0734226933414792,0,0,0,0,0,0,0,0,0,0,0,0.35686680918978,0,-0.14294838514279,0,0,-0.104663553276429,0,0,0.498119361905783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187971835196433,0,-0.00737606570878191,0,-0.0210320317412105,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.177700905545051,0,0,-0.0197777932396867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0898187220310061,0,0.0418896811616142,0,0,0,0,0,0,0,0,0,-0.0417352027143741,0,0,0,0,0,3.46944695195361e-18,0.306856613557472,0,-2.71050543121376e-20,-0.0935471030208092,0.212209499522121,0,0,0.251954398137921,0,0.0104052220015561,-0.0299087948018388,-0.0652198372525306,0,0,0,0,0,0
