,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X600104.SH,X600276.SH,X000651.SZ,X300124.SZ,X000725.SZ,X600031.SH,X300014.SZ,X003816.SZ,X002129.SZ,X002371.SZ,X002241.SZ,X000063.SZ,X002049.SZ,X000625.SZ,X000596.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X300142.SZ,X601877.SH,X600741.SH,X600460.SH,X000100.SZ,X000661.SZ,X000733.SZ,X600522.SH,X002180.SZ,X002074.SZ,X000157.SZ,X600702.SH,X002236.SZ,X600884.SH,X000799.SZ,X601799.SH,X600584.SH,X000800.SZ,X600372.SH,X002414.SZ,X002176.SZ,X002056.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.175140818474991,0,0,0,0.0569478752185418,0.0887863821398137,0,0,0,0,0.0385255529640253,0,0,0,0,0,0,0,0.0429304829949276,0,0,0.214291602632663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204016193422404,0,0,0,0,0,-0.0103233028163441,0,0,0,0,0,0
X000858.SZ,0.209275273750102,0,0,0,0.395288933778047,0,0,0,0,0,0,0,0,0.123163203486434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131682549877738,0.101393405574994,0,0,0,0,0,0,0.0317488530578219,0,0,0.1745731009403,0,0,0,0,0,0,0,0,0,0,-0.0324182670194387,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.141437508707302,0,0,0,0,0,0,0,0,0,-0.393738782336326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168532069416217,0.43131396283728,0.326904776827471,0,0,0,0,0,0,0.00312377784336064,0.134135318961347,0,0,-0.0414315508824048,0.141108093066561,0,0,0,0,0,0
X600809.SH,0,0.0510811695796867,0.0854062099894584,0,0.358082079591604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147486279948103,0,0,0.158735438912087,0,0,0,-0.0769800608630558,0,0,0,0.098105099569207,0,0,0,0,0.185656569131143,0,0,0,0,0,0,0,0,0.0158825102963219,0,0,0,0,0.0143131907121579,0,0,0,0,0,0
X000568.SZ,0,0.235767964327422,0,0.0171290681621508,0,0,0.140620093514019,0,0,0,0,0,0,0,0,0,0,0.19841778394946,0,0,0,0,0.120936334100821,0,0,0,0,0.0366358812318222,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0854806635837024,0,0,0.0345614605016252,0,0,0.0174680585311413,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.241465160341825,0,0,0,0,0,0.105895504434059,0,0,0.154625779443475,0,0.104692213226842,-0.139137875226853,0,0,0.0144174295796352,0,-0.0117453530851644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275927334576783,0,0,0,0,0,0.144590848707974,0,0,-0.0295637779208173,-0.0674723158249226,0,0,0,0,0,0
X002304.SZ,0,0,0.00544705231676775,0,0.178476712773206,0,0,0,0,0,0,0.18470888651322,0,0,0,0.317134095258418,0,0,0,0,0,0,0.129908921704069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198758617406851,0,0,0,0,0,0,0,0,-0.0258806542411056,0,0,0,0.00190618171064061,-0.0629369052093603,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178685764746965,0.402653221626492,0,0,0,0.0826784356669591,0,0,0.061415421430338,0,0,0,-0.00949687405390929,0,0,0,0,0.0797265399158945,0,0,-0.0284018810901683,0,0.166468856272005,0,0,-0.0259358996569977,0,0,0,0,-0.105013299897431,0,0,0,0.0127899735476923,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135658912113498,0,0,0,0,0,0.149100241594512,0,0,0,0,0,0,0,0.169911802488263,0,0,0,0,0.00783775167190322,0.0416280328649196,0,0,0,0,0,0,0,0,0.0355614442193476,0,0,0,0,0,0.0427742691651062,-0.00262955483065023,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.222307519862224,0,0,0,0,0,0,0,-0.00188778978208201,0,0,0,0,0,0,0,0.0425159424777155,0,0,0,0.0803762109614066,0,0,0,0,0,0,0,-0.0154992396061252,0,0,0,0,0.113727990431024,0,0.0364057688200089,0,0,0,0.32167502875507,0.29882090497547,0,-0.0312137226891681,0,0,0,0,0.00997523547422178,0,0.162482253352739,0,0,0,0
