,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X000651.SZ,X002304.SZ,X600690.SH,X600031.SH,X600104.SH,X002475.SZ,X000725.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X003816.SZ,X000338.SZ,X000063.SZ,X000625.SZ,X002241.SZ,X000100.SZ,X000596.SZ,X600703.SH,X300142.SZ,X000157.SZ,X002129.SZ,X002371.SZ,X600741.SH,X002049.SZ,X002179.SZ,X002007.SZ,X000799.SZ,X002236.SZ,X601877.SH,X600584.SH,X300003.SZ,X300146.SZ,X002414.SZ,X600183.SH,X000800.SZ,X600779.SH,X600460.SH,X601799.SH,X600702.SH,X600089.SH,X600707.SH,X002074.SZ,X000977.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.107278648854306,0,0,0,0.0422873736202715,0,0,0,0,0,0,0,0.287327672657238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065889434070458,0,0.0774524977390862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0352416323586066,0,0,0,-0.0127340778236412,0,0
X000858.SZ,0,0,0,0,0.147337144466403,0.21292907923373,0,0.0388482606401134,0.0194472327993806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137013298737849,0,0.224132234773397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179424028131436,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0487221379975443,0,0,0,0,0.0983465210968918,0,0,0,0,0,0,0,0,0,0,0.0695979886471889,0,0,0,0,0,0.216767300347398,0.200787420810211,0.133747751282835,0,0,0.0234615567926692,0,0,0,0,0,0,0,0.0738999478309428,0,-0.00820149354130995,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.016873578612865,0,0
X600276.SH,0,0.20165339074114,0,0,0,0.197830190599907,0,0,0,0,0,0,-0.0409269384702304,0.00074078582511003,0,-0.118406893150889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.0568449790438375,0,0,0,-0.151516175593905,0,0,0,0,0,0.0207828550703742,0,0,0,0,0,0,0,0.0271671603603241,0,0,0,0,0.028942347302033,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127480053810828,0,0,0,0,0,0,0,0,0,0,0,0,0.306866495946124,0,0.121749251175674,0,0,0.405508036370142,0,0.0535861566814147,0,0,0,0,0,0,0.0867369281957255,0,0,0,0,0,0.0532968681018691,0,0,0,0,-0.0520576798366587,0,0,0,-0.0258315912176947,0,0
X000568.SZ,0,0.727243162514981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140305318227788,0,0,0,0,0,0,0,0,0,0,0.021086928632047,0.294451631547741,0,0,0,0,0,0,0,0,0,0.027330367749061,0,0,0,0,-0.00754007171359118,0,0,0.0308058919856843,0.0801195735290646,0,-0.0437177456268299,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0650198229965382,0.0138330754781213,0,0,0,0,0,0,0.00848891813828155,0,0,0,0,0,0.115367854463402,0,0.00263563076380331,0,0.012699251261985,0,0,0.177496901678679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238707498067935,0,0,0,0,0,0,-0.0147832646865461,0,0,0,0,-0.000987485761119612,0,0
X002304.SZ,0.0751854508757741,0,0,0,0.114486536796735,0.30622953704024,0,0,0.126605879018428,0,0,0,0,0.0483508065587683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511213826821267,0,0,0,0,2.16840434497101e-19,0,0
X600690.SH,0,0.00441061340465747,6.93889390390723e-18,0,0.00656144499124551,0,0,0.13119903025126,0,0,0,0,0,0.076889915867516,0.109353798137581,0,0,0,0,0,0,0,0,0,0,0,-0.0203437320001448,0,0.470536252121514,0,0,0,0,0,0,0,0.0951669739279178,0,0,0,0,0.149284825152849,0.0866580299372774,0,0.0399886623595311,0,0,0,0,0,0,0,-0.00188418753884409,0,0,0,0.0186862532285471,0,0
X600031.SH,0,0,0,0,0.00223322759657513,0,0,0,0,0,0,0,0,0,0,0.235807474145426,0,0.152629994502812,0,0,0.0770881809534235,0,0,0,0.0286488188770597,0,0,0,0,0.292672395170953,0.124997802118877,0,0,0,0,0,0,0.00919925116160132,0,0.064859184582951,0,0,0,0.057417290878035,0,0,0,0,0,0,0,-0.00123913171774363,0,0,0,0,0.0105708248561927,0,0
