,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X600118.SH,X000550.SZ,X601877.SH,X002236.SZ,X002475.SZ,X000581.SZ,X000800.SZ,X000623.SZ,X600582.SH,X000568.SZ,X600177.SH,X000559.SZ,X300124.SZ,X002129.SZ,X600060.SH,X000050.SZ,X002294.SZ,X000400.SZ,X300146.SZ,X000977.SZ,X000869.SZ,X600839.SH,X002456.SZ,X002292.SZ,X002465.SZ,X300003.SZ,X600312.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.0788412759382079,0,0,0,0,0,0,0.141879456990939,0,0,0,0.394147068076411,0,0,0.011259019629526,0.180254368013886,0,0,0.0427741928119214,0,0,0,0,0.109532033626742,0.0648555238951715,0,0,0,-0.0708674302825575,0,-0.129815097294264,0,0,0,0,0,0,0,0,0,0,0,0,0.0344687639466614,0,0,0,0.00316768686621105,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,-0.0864658602135642,0,0.1157067286951,0,0.0759020821530452,0.219960768520708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754285709738305,0,0,0,-0.0306410385081265,8.67361737988404e-19,0,0.00876083833489806,0,0,0,0,0.0805915848971003,0,0,0,0,0,0,0,0,0,-0.00286365848367732,0,0,0,0,0,-0.0103619452987733,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.197441573633484,0.305429773161629,0,0,0.078817064279443,0,0,0,0,0,0,0,0,0.0224900961019224,0,0,0,0.000277305654263393,0,0,0,0,0,0.0478594085666692,0,0,0,0,0,0,0.0537441333189601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269522979240029,0,0,-0.0129150577881341,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.242820629982042,0.0736530338721528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181418998835048,0,0.267703710869777,0.101904675673554,0,0,0,0,0,0,0,0,0,0,0,0,0.0225494564730524,0,0,0,0.0239364506705879,0,0,0,0,0,0,0,-0.00168643936224509,0.00224851183718286,-0.0449420113320581,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.123260765122244,0,0.0565654362323933,0.181213090382595,0,0,-0.0389280004907731,0,0,0.0831906208764457,0.0276515557234854,0,0,0,0,0,0.0715115238442922,0.0601535790714878,0,0.119232864626922,0.132699248401511,0,0,0,0,0,0,0,0,0,0,0.155618981227933,0,0,0.118210997052107,0,0,0,0,0,0,0,0.0987937744958253,0,0,0,0
X000625.SZ,0.337277957560713,0,0.0907695746683184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063736814570749,0,0,0,0,0,0.146806827375486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347202663822362,0,0,0,0,0.00775581837532761,0,0.121008082702925,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.38480256361541,0,0,0,0.0596339599673699,0,0,0,0,0,0,0,0.228648924152057,0,0,-0.058787639165894,0,0,0.0153654113151009,0,0.121640315526219,0,0,0,0,0,0,0,0,0.0308016320859918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0120995036357508,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0118239295658505,0,0,0,0.0879858220593939,0.0637051915388995,0.0539881198393622,0,0,0.26515213659982,0,0.0352808462445898,0,0,0,0,0,0,0,0,0,0,0,0,0.0300446939547951,0,0,0,0,0,0,0,0.0428166487691534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174918542961451,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278700882652389,0,0,0,0,0.0814711443573553,0,0,0,0,0,0,0,0,0,0,0.00132210574295747,0,0,0.263639102850339,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,-0.00292966539127465,0,0,0,0,0,0
X600031.SH,0.171196863730061,0,0,0,0,-0.0802348511412176,0,0,0.0102504439226678,0,0,0,0,0,0,0.898781876364517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0299089929302579,0,0,0,0,0,0,0,0,0,0,0,-0.0236312967693378,-0.00446978759817419,0,0,0,0,0,0
