,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X300124.SZ,X600104.SH,X000725.SZ,X000063.SZ,X600031.SH,X003816.SZ,X002129.SZ,X002371.SZ,X000596.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X002049.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002241.SZ,X002180.SZ,X300142.SZ,X601877.SH,X600702.SH,X000157.SZ,X600741.SH,X600522.SH,X002236.SZ,X600584.SH,X000733.SZ,X002074.SZ,X600460.SH,X000977.SZ,X000066.SZ,X000799.SZ,X300003.SZ,X002007.SZ,X600183.SH,X002414.SZ,X002294.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0385664122699669,0,0,0.159872804489735,0,0.181089219185928,0,0,0.0656190423163251,0,0,0,0.033056699543807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0630199908471144,0,0,0,-0.0172583798023518,0,0,0,0,0.0671092025285107,0,0,0.0786805781113019,0,0,0,0,0,0.0149957208967322,0,0,0,0,0,0
X000858.SZ,0,0,0.0301537857656311,0,0.236474411209249,0,0.665289578175373,0,0.0401362184168203,0,0,0,0,0,0,0,0,0,0.023719982481316,0,0.0262694871367303,0,0,0,0,0,0,0,0,0,0.0582195924135134,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135632133869509,0,0,0,0,0,0,-0.0221600451549595,0,0,0,0,0,0,0
X002415.SZ,0,0.160047599885324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182285099473166,0,-0.0344087141132849,0,-0.0674468802024892,0,-0.0400538111456608,0.030163477676819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339618548377774,0,0,0,0,0,0,0
X000568.SZ,0,0.394640463247724,0.104544866700499,0,0,0,0.406542412039947,0,0,0,0,0.0555817746076641,0,0,0,0,0,0,0,-0.0378923827680591,0,0,0,0,-0.214679074216758,0,0,0,0,0,0,-0.0237550294955938,0,0,0,-0.0824651151445342,0,0,-0.0821764476341526,0,0,-0.0547239998940572,0,0,-0.0264774630554987,-0.0280170753643611,0.266485254726777,0,0,0,0,0.0125551600082985,-0.0299444086616759,0,0,0,0,0,0
X600809.SH,0,0.0424726807100956,0.0386574589002283,0.0830213542405742,0,0,0.237876725687867,0.00838815859451874,0,0,0,0,0,0,0,0,0,0,0,0.0645257225324723,0,0,0,-0.0134889109420228,0,0,0,0,0,0,0,0,0,0,0,-0.066185536492889,0,0,0,0,0,0,-0.0440471628962708,0.272696383587338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.0612500004836574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648796442929126,0,-0.0232779769000396,0,1.73472347597681e-18,0,0,0,0.0672536129426463,0,0.123969352351543,0,0,0.0426631839297122,0.0332258044293737,0.0228779709115589,0,0,0,0,0.0390790205390154,0,0.136569177624543,0.0265321374673855,0.0608449917698382,0,0.135468960671593,0,0,0,-0.0191394047464291,0,0,0,0,0,0
X002304.SZ,0,0.375789107181328,0,0.372874635687489,0,0,0,0,0,0,0,0,0,-0.0318890870368111,0.0197217590861345,0,-0.0238080097922215,0,0.200088496464442,0,0,0,0,0,0,0,0,0,-0.0221581090355901,0,0,0,0,0,0,-0.00769704130246742,0,0,0,0,0,0,-0.0281410063766531,0,-0.00310270946605805,0,0,0,-0.0726645939731414,0,0,-0.00399892801954712,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.134302838942564,0,0,0,0,0.0549808494426979,0,0.0624487788019402,0,0,0,0.119670910294083,0,-0.0423605307303481,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104699258869369,0,0,0,0,0,0,0.00568639430396668,0,0,0,0,0,0,0,0,0,0.00726099548191191,0,0,0,0,0,0,0
X000651.SZ,0,0.211277239550918,0,0,0,0,0.0110483427079208,0.338977970563163,0,0,0,0,0,0,0,0,0,0,0,0,0.075122648044674,0.0797390398966706,0,0,0,0,0,0,0,0,0.0119942025094486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,-0.010078992408187,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.164270099332435,0,0,0,0,0,0,0,0,0.255185402071611,0,0,0,0,0,0,0,0,0,0,0,0.0395633599124802,0,0,0,0.311197150006749,0,0,0,0.202701381870437,0,-0.0372176687153624,0,0,0,0.0572613032262138,0,0,0,0,0.594168709775606,0,-0.0236972579037666,0,0,0,0,0,0
X300124.SZ,0,-0.100739027094888,0,0,0,4.33680868994202e-19,0,0,0,0.207718806060827,0,0,0,0,0.0654891664881448,0,-0.0573375982164339,0,0,0.171261946437194,0,0,0,0,0,0,0,-0.363121986342531,0.00264936351295706,0.0869687394024352,0,0.0195151846508226,0.19447320936244,0,0,0,0,0,-0.0437593534989166,0,0.183128640622069,0.202669085796231,0,0,-0.0947973097128859,0.105188416342253,0,0,0,0,0,-0.0284036023261435,-8.67361737988404e-19,0,0,0,0,0,0
X600104.SH,0,0,0,0.0881288849072541,0,0,0,0,0.0288273676836038,0,0,0,0,0,0,0,0,-0.0610456856089925,0,0,0.141993556814263,0,0,0,0,0.0276989792578866,0,0,0,0,0,0,0,0,0.26386241734481,0,0,0,0,0,0,0.0486446944283748,0,0,0,3.46944695195361e-18,0,0,0,0,-0.0142901729995688,0.0596985990960816,-0.0465803722498843,0,0,0,0,0,0
X000725.SZ,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147407316048746,0,0,0,0,0,0,0,0,0,0,0.17596459846937,0,0,0,0.0375952183873224,0,0,0.0792935860479114,0.0390592514935134,0,0,0.0487897383413146,0,0,-0.017764854051589,0.00304877769991417,0,0,0,0,0,0
X000063.SZ,0,0,0.03603592678347,0,0.0768778562057089,0,0,0,0,0,0,0,0,0,0,0,0.0473966732983912,0.0868777659608404,0.0219651214651754,0,0,0,0,0,0,0,0,0,0,0.024825314063398,0,0,0,0,0,0,0.269573968171168,0.169071440271024,0,0,0,0.0283869757807805,0,0,0,0,0.190083588564328,0,0,0,0,-8.67361737988404e-19,0.0114636501160118,0,0,0,0,0,0
X600031.SH,0,0.346663873030846,0,1.38777878078145e-17,0,0,0.0263852138927837,0.118014653093686,0,0,0.104655088787499,0,0,0,0,0,0,0,0,0,0,0.0448633593289577,0,0,-0.193040835761831,0,0,0,0.0761161136578731,0.0426728172826029,0,0,0,0.286141955804999,0,0,0,0,0,0,0,0.0345392826395811,0.0251638631292335,0,-0.00522828782489628,0,0,0,0,0,0,-0.0276798226638225,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0.0158127989530982,0,0,0,0,0,0.10810334591199,0.0114228305890229,0,0,0,-0.0149216778167926,0,-0.0166730045114469,-0.0111595476406733,-0.0122077074777493,0.00383940097613951,0,0,0.00214974792611998,0.212080102460399,0,0,0,-0.0216917115537624,0,0,0,0,0,0,0,0,0,-0.0396498714860186,0,0.0539264624591823,0,0,0,0,0,0,0,0,0,0,0.0126231067767115,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722766707331904,0,0,0,0.142750440852863,0,0.134688029862254,0,0,0,0,0,0,0,0,0,0.0241703435375312,0,0.173067419450091,-0.0396916406016935,0,0,0.221420097378094,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0266371349369654,0,-0.0545504568879103,0,0,0.0554421027633128,-0.0214844981987173,0,0,0,0,0,0
X002371.SZ,0,0,0.0502484272794508,0.117008749282335,0,0,0,0,0,0.0279635207692294,0,0,0,0.0640475302959274,0,0,0.00439193300092813,0,0,0,0,0,0,0,0.405068585760635,0,0,0,0,0.105451103918053,0,0,0,0,0,0,0,0.0201982779678131,0,0,0.345994392631825,0,0,0,0,0,0.00192257520683735,0,0,0,0,-0.021597566184135,0.017913637525013,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0.432465434019468,0,-0.0464981677483077,0,0,0,0,0.174028477693997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220836356028037,0,0,0,0,0,0,0,0,0,0,0,0,0.0236381239194253,0,0.145216526682374,0,0,0,0,0,0,0,0.0166547276715562,-0.0278738189219904,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0.035531069610139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105962078405321,0,0,0,0,0,0.229247084570106,0,0,0,-0.046529174990244,0,0.016168942904375,0,-0.586812709227892,0,0.0459617203539297,0,0,0.105972414434196,0,0,0.0134639586542643,0,0,0,0,0,0.0226107408239153,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187448155163153,0,0.0268287071599091,0,0,0.305086666548536,0,0,0.123895040424637,0,0,0,0,0,0,-0.13025084653761,0,-0.111690580719094,0,0,0.536423654664422,0,0,0,0,0.0427184275096686,0,0,0,0,-0.0991415706898225,0,0.0735723317590051,0,-0.0743084913365698,0.124798216738618,0,0.0584237752862866,-0.00179390483346974,0,0,0,0,0,0
