,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X003816.SZ,X000625.SZ,X600104.SH,X002371.SZ,X300124.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002463.SZ,X002241.SZ,X000977.SZ,X002049.SZ,X600372.SH,X600741.SH,X000661.SZ,X002129.SZ,X600584.SH,X600522.SH,X002028.SZ,X601877.SH,X600183.SH,X000800.SZ,X601799.SH,X600066.SH,X600418.SH,X000921.SZ,X002156.SZ,X002074.SZ,X002007.SZ,X600460.SH,X000988.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.188364568015379,0.11216432358742,0.0398775455063657,0.135567657645057,0,0,0,0,0,0,0,0,0,0,0.100948460259782,0,0,0,0.0444815315049476,0,0,0,0,0,0,0,-0.0868252821509536,0,0,0,0,0.00578957240897175,0.0803772694267989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00975457473795191,0.0109097259133572,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0742444479651039,0.15647245566502,0.348525092665647,0,0,0,0,0,0,0,0,0,0,0,0,0.0510081191453599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311616545395353,0,0,0,0,0,0,0,-0.025305338598231,0,0,0,0,0,0,0,0.00689331220515771,-0.0180965905584427,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.1763184818913,0,0.0248739433902543,0.0497554405332333,0,0,0,0,0,0,0,0,-0.0314542851906208,0.0591244920878385,0,0,0.151491813284441,0,0,0,0,0,0,0,0,0,-0.0146030679581256,0,0,0.0319098026580018,0.114180122007407,0,-0.0592064257788077,0,-0.0111735555948041,0,0,0,0,0,0,-0.0299744677219874,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0639652893877551,0,0,0,0.0216905089432711,0,0,0,0.0945985025330596,0.401421013716111,0,0,0.127621762968513,0,0,0,0.132079168160724,0,0,-0.0336722089326632,0,0,0,0,0,0,0.105372651299378,0,0,0,0,0,0,0,0,0,0.00235583171730219,0,0,0,-0.133818116042449,0,0,0,0,0,-0.0261082559237506,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473444367715298,0,0,0,0,0.243373123562635,0,0,0,0,0.0865550114879652,0,0.209261094998315,0,0.135943327002807,0.0659927474881821,0,0,0,0,0.0677297395336444,0,0.00706914154209183,0,0,0,0,0,0,0,-0.00978087351404143,0,0,0,0,0,0,0
X000568.SZ,0,0.619770949147185,0,0,0,0,-0.0469880320926782,0,0,0,0,0,0,0,0,0,0,0.00331014326058362,0,0,0.156960574494615,0,0,-0.0242123978691008,0,0,-3.46944695195361e-18,-0.0217241029973482,0,0,0,0.00895243534613389,0,0,0.107939707178515,0,0,0,0,0,0,0,0,0,-0.0342096668774572,0,0,0,0,0,0,-0.0096954446365918,0,0,0,0,0,0,0
X002475.SZ,0.253856772089638,0,0,0,0.106086030871503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132456352192032,-0.111069657970738,0,0,-0.0553583886189999,0.536822387331433,-0.0264462406890696,0,0,0,0,0,0.03162021213146,0,0,0,0,0,0,0,0.0406876179353401,0,0.122138193139151,0,0,0,-0.11530532373123,0,-0.034371581336571,0,-0.109888534513766,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.128026962989838,0,-0.0171938079406262,0,0,0,0.0881630200661733,0,0,0,0,0,-0.0699335867556484,0,0,0.0691639538273539,0.0164630562910623,0,0,-0.102417961134666,0,0,0,0,0,0,0.0400009262720237,0,0,0,0,0.0479376854788906,0,-0.00377960097445156,0,0,0.206407132879766,0,0,0,0,0,0,-0.0200424584226871,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295966504698234,0.297808500142857,0,0,0,0,0,0,0,0,0,0,0,0.0256401521579391,-0.112635463154875,0,0,0,0,0,0,0,0,0,0,0.0543683933932397,0,0,0.181116924109495,-0.0257694374092128,0,-0.118496176220205,0,0,0,0.108632270205108,0.0354698806761197,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,-0.0284859880463845,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114156441896857,0.204855754704181,0,0.184902096767715,0,0,0,-0.381434212531444,0.0433048603056087,0,0,0,0,0,0,0,0,0,0,0,0,0.213209039362551,-0.00467146101250619,0.233002339032457,-0.176242004884872,0.219434419798196,0,0,0,0,0,0.0712826684400581,-0.0501390479706917,0,0,0,0,0,0,0
