,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X000651.SZ,X002304.SZ,X002475.SZ,X600104.SH,X600690.SH,X600031.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000661.SZ,X000063.SZ,X000338.SZ,X002241.SZ,X600703.SH,X003816.SZ,X002371.SZ,X000625.SZ,X000596.SZ,X000100.SZ,X300142.SZ,X002129.SZ,X000799.SZ,X002049.SZ,X002179.SZ,X600741.SH,X000157.SZ,X600702.SH,X600460.SH,X002414.SZ,X002007.SZ,X002236.SZ,X601877.SH,X600584.SH,X600779.SH,X601799.SH,X300146.SZ,X300003.SZ,X000800.SZ,X600183.SH,X002074.SZ,X000977.SZ,X000066.SZ,X002008.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.0851809709283406,0,0,0.119744351806065,0,0,0,0,0,-0.028202759490125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00414011545065667,0,0,0,0,0,0.126673005441371,0,0,0,0,0,0,0,0.0420131426396455,0,-0.0780600529584305,0,0,0.00514470819801086,0,0,0,0,0,0
X000858.SZ,0,0,0,0.239726963618369,0,0.415528341647414,0,0,0,0,0,0,0,0.0221305889561708,0,0,0,0,0.0533076091610148,0,0,0.00250597386482557,0,0,0,0,0,0.071424363105454,0,0.0246953882180017,0,0,-0.0115716948630535,-0.0206578487627924,0,0,0,0,0,0,0,0.0645069112937564,0,0,0,0.0495252765667086,0,0,0,0,0,0,0,0,0,0,-0.0115731312480897,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.142864598828682,0,0,0,0.00702657275457962,0,0,0,0,0,0,-0.00736561712331082,0.162268422758593,0,0.0166723027798641,0.0283385008248062,0,0.0585664236674768,0.0334585926536461,0,0,0,0,0.0920879032558253,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263324669180104,0,0,0,-0.0418124700626043,0,0,0,0,0.000791362965903708,0,0
X600276.SH,0,0,0,0,0,0,0,0.056802742795185,0.188112873927801,0,0,0,-0.105716091155475,0,0,0,0.0779118538822993,0,0,0,0,0,0,0,0,0.0589255418445291,0,0,0.0134731572306453,0,0,0,0,0.0077540666574952,0,0,0,0.0466987213127442,0,-0.0297020967856049,0,0,0,0,0,0,0,0,0,-0.0104400640961445,0,0.203705015284504,-0.0769497778948249,0,0,0,0.0340967944332206,0,0
X600809.SH,0,0,0,0,0,0.0941965048322107,0,0.0365603306792333,0,0,0,0,-0.0663704415312364,0,0.173794734950645,0.0054616481156801,0,0,0,0,0,0,0,0.0067253248055555,0,0,0,0.378955668725634,0,0,0,0,0.0371369777627998,0,0,0,0,0,0,0.0341819290921836,0,0.0494208835934057,0,0,0,0.169688008540673,0,0.072024835381712,0,0,0,0,0,0,0,0,0.0357576983357203,0,0
X000568.SZ,0,0.481922113837733,0,0,0,0,0,0.260314622502652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0698164436584454,0.0561335343918657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033666043519842,0,0.0845248291519545,0,0,0,0.0361374510230152,0,0,0.0857370755334511,0,0,-0.0122081627108188,0,0,0,0,0.00638410573963568,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.0754819720335256,0,0,0,0,0.0250466851845818,0,0,0,0,0,0,0.00547303184419036,0,0.170681734526889,0,0.0241346187019332,0,0,0,0,0.157051788868346,0.0296577497533038,-0.0914122256534947,0,0,0,0,0,0,-0.139963833595135,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.024843796353528,0,0
X002304.SZ,0,0,0,0,6.93889390390723e-18,0.123143354962016,0,0,0,0,0,0,0,-0.106660251285248,0,0.0181583272380579,0,0,0,0.541429664639026,0,0,0,0.0214460002208747,-0.0253901153766434,0.0461019306448962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262440161295641,0,0,0,0,0,0,0,0,0,-0.147780991194063,0.144273904197396,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838465692665915,0.0092378869930619,0.0424487427966996,0,0,0,0.351489443695064,0,0,-0.0147392892653808,0,0.123484488544408,0,0.0965596394046052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0492960548141478,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0866051995595548,0,0,0,0,0,0.0820617791464995,-0.00402824176877044,0,0,0,0,0,0,0.0653207022207587,-0.0800175622622736,0,0.0644174461845595,0,-0.0597703324809393,0,0,0.0153049568975143,0,0.0997409345714539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434008344815243,0.0392741637875197,0,0,0,0,0,0
X600690.SH,0,0,0.131934351607146,0,0,0,0,0,0,0,0,0,0.426388112501121,0,0,-0.0410579030668575,0,0,-0.0225763543811273,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.240934918459418,0,0.036038866536796,0,0,0,0,0,0.00742647931365111,0.0583801758767044,0,0,0,-0.0299227086985114,-0.039039804251972,0.0375933605706504,0,0,0,0.0135570988120357,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308582075987354,0,0,0,0.0845672662693033,0.220583978977052,0,0,0,0,0,0,0,0,0.0967656744786569,0.210054074549087,0,0,0.0257405996722133,0,0,0,0,0,0,0,0.0547340597582949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0719932906299958,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103021135833163,0,0,0.0123134918190415,0,0,0,0,0,0.304628764349701,0.0654306142168393,0,0,0,0,0,0,0,0.060153817143361,0.114066812620095,0.0291831898838809,0,0,0,0.166112904942749,0,0,0,0,0,0,0,0,0.0544746928142731,0,0,0,0,0,0,0,0,0,0
X300014.SZ,0,0,0.939138967780868,0,0,0,0,-0.159426581392485,-1.73472347597681e-18,0,0,0,0,0,0.323664902310861,0.0859566013124265,0,0,0.387374226409149,0,0,0,0.0321760788517048,0,0,0,0.287412519657081,0.0431920502129813,0,0,0,0,0,0,0,0,0,0,-0.13946235596576,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0214968171755563,0,0,-0.261194600837015,0,0
X300124.SZ,0,0,0,0,0,0.0628651055243476,0,0,0,0,0,0.215502796315764,0,0.219704357736046,0,0,0,0,0,0,0,0.0961243876790024,0,0,0,0,0,0,0,-0.280448862430837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275825312307329,0,0.210005586830344,0,0,0,0,-0.0226546521179814,0,0,0,0.00524889495913701,0,0
