,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002475.SZ,X600741.SH,X000338.SZ,X002236.SZ,X600031.SH,X601877.SH,X300003.SZ,X002008.SZ,X002456.SZ,X300124.SZ,X000625.SZ,X600271.SH,X600066.SH,X600809.SH,X000100.SZ,X600487.SH,X600867.SH,X002241.SZ,X002294.SZ,X600566.SH,X000981.SZ,X000977.SZ,X002180.SZ,X300136.SZ,X600522.SH,X002049.SZ,X000157.SZ,X002179.SZ,X600584.SH,X000050.SZ,X600089.SH,X000661.SZ,X002508.SZ,X600177.SH,X000596.SZ,X300142.SZ,X600699.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0115625476036643,0,0.430270466214316,0,0,0.0592722147183117,0,0.0807978672077125,0.0402764223636443,0.0469730737415564,0,0,0,0,0,0.022035141585066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021419809382226,-0.035133212040045,0.0500393948345979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180591327759631,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0289752756656779,0,0,0,0,0.367525978481927,0,0,0,0.0404717608009791,0,0,-0.104433470520467,0,0,0,0,-0.0195682330777057,0,0,-0.0227068057301907,0,0,0,0,0,0,0,0,-0.126681223006402,0,-0.0636482051050085,0,0,0,0,-0.0515753807405553,0,-0.0800909065685014,0.0253405550144958,0.228547226643374,0,0,-0.0268178285413325,0,0,0,0,0,0,0
X002415.SZ,0.074489273244067,0,0,0,0,0,0.00704686954989495,0.202368928348192,0,0,0,0,0,0,0,0.0949305521716428,0,0,0,0.263590891113333,0,0,0,0,0,0.0229414964493859,0,0.0889093642774828,0,0.131065751354526,0,0,0,0,0,0.174076103865614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00939211076688691,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.193588194391291,0,0,0,0,0.548433756835268,0,0,0,0,0,0.0108817250859511,0.109984918023032,0,-0.0529834067370806,0,0,0.0303529224542165,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0975474671877712,0,-0.0245203999857314,0,0,0,0,0,0,0.0597380989172649,0,0,0.00817507056776308,0,0,0,-0.0156796698546859,0.00502286441561776,0,0,0,0,0,0
X000858.SZ,0.228760468043019,0,0,0.28431121618735,0,0,0.0384680696003107,0,0,0.030401842378134,0.00581137287015264,0.416617013441525,0,0,0.0119524557451849,0.0731758132677726,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013855471764908,0,0,0,0,0,0,-0.0653483721408348,0,0,0,0,-0.0526039844896438,0,0,0,0,0,0,0,0,0,0,0.00528564665746692,-8.67361737988404e-19,0,0,0,0,0,0
X600276.SH,0,0,0.0952567982464315,0,0.136359733126413,0,0.0301437950153046,0,0,0,0,0.0124743044844235,0,0.0173226733846539,0,0,0,0,0.154478658550899,0,0,0,0,0,0,0.0836885328071755,0,0.188722044683479,0,0,0,0.0120337262636567,0,0,0,0,0,0.0643458370293824,0,0,0,0,0,0.15895784455416,0,0,0,0,-0.195516318590091,0,0,-0.0332413148696062,0.00985230936862071,0,0,0,0,0,0
X002304.SZ,0,0.0795282055091221,0,0,0.142577598875087,0.058436529143371,0,-0.0404492733359828,0,0,0,0.297668844358189,0.0797179809482239,0.258429274760293,0,0,0,0,0,0,0,0,0,-0.0217541204938571,0,0,0,0,0,-0.0640556368326594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269396515157987,0,0,0,0,0,0,0.0204671051398875,-0.0118336804171089,-0.157714383889013,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.164949959245222,0,-0.0254425107680114,0,0,0,-1.38777878078145e-17,0,0,0,0.0197358059626256,0,0,0,0,0,0,0,0.44356127095213,0,0,0.0277998712164571,0,0,0,0,-0.0657403970162464,0.0421174455798334,0,0,0,0,0,0,0.545104871291211,0.123952175863659,0,0,0.119294568683429,0,0,-0.0273230384486303,0,-0.0244456432720448,0.0097856741619162,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.468855423950881,0,0,0,0,0,0,0,0,0,-0.00470944311298724,0,0,0,0,0,0.160764569908246,0,0,0.172266851603681,0.243058541563257,0,0,0,0.0764412417474214,0,0,0,-0.0152160188622704,0,0,0,0,3.46944695195361e-18,0,0,-0.00318167235200036,0,0,0.283578806498209,0,0,0.127452215064204,0,0.0538362390932787,8.67361737988404e-19,0,0,0,0,0,0
X600690.SH,0,0,0,0.267777476598051,0.16030745971186,0,0.185238846288719,0.102093392666781,0,0,0,0.0558518444230327,0,0.0373542822555284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00402711211281687,0,0,0,0,0,-0.210551132063645,0,0,0,0.0348852544569004,0.0106765290195421,0,0,0,0,0,0,0.00867350644294807,0,0,0,0,0,0,0
X600703.SH,0,0,0.234048972388416,0,0,0,0,0,0,0,0,-0.213012896588951,0.151630382707597,0,-0.254608792626395,0.183300086035012,0,-6.93889390390723e-18,0,0,0,-0.0898391935322428,0,0,0,0,0,0.324036619309093,0,0,0,0,0,0,0,0,0,0.113278994077678,0,0,0.275084412377929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0.271608233634411,0.319982840706333,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.0131106120970391,0,0,0,0,0,0,0,0,0,0.133587483954948,0.0649258812369469,0,0.0147905551872031,0,0,0,0,0,0,0,0,-0.0103375358810294,0,0,0,0,0,0,0,0,0.141975933323666,0,0,0,0,0.00920068462701756,0,0,0,0,0,0,0
