,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X003816.SZ,X000651.SZ,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X000625.SZ,X600031.SH,X000063.SZ,X002304.SZ,X300124.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X600089.SH,X600372.SH,X002463.SZ,X600703.SH,X000157.SZ,X600584.SH,X000977.SZ,X002028.SZ,X600522.SH,X600741.SH,X002236.SZ,X600066.SH,X600183.SH,X002049.SZ,X601877.SH,X600418.SH,X000921.SZ,X000661.SZ,X600460.SH,X000800.SZ,X600487.SH,X002223.SZ,X002180.SZ,X002074.SZ,X601799.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.147366643438226,0,0,0,0,0,0,0.148441596173329,0.156923788579248,0,0,0,0,0,0,0,0,0.00561741122836828,0.0353354980497617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164598602731001,0,0,0,0,-1.73472347597681e-18,0,-0.10085154821707,-0.0127937764294673,-0.0224313911131196,0,0,0,0,0,-0.0933181024593109,0,0,0,0.00280608065245226,0,0
X000858.SZ,0.141654342627291,0,0,0,0,0,0,0,0.0654986141388942,0.339305806402198,0,0,0,0,0,0,0,0,0,0.00933968731728007,0,0,0.0269422415878894,0,0,0,-0.0358064318426674,0,0,0,0,0,0,0.0895032851757489,0,0,0,0,0,0,0,0,0,0,0,0.0615881981661506,0,0.0825369381708147,0,0,0,-0.0105402427322829,0,0,0,0,0.0266360415420839,0,0
X600276.SH,0,0,0,0,0,0.0232129271608355,0,0,0,0,0,0.0672090314926653,0,0,0,0,0.20658572933107,0,0,0.121596050278835,0,0.0489386487774801,0.0117967121362744,0,0,0,0,0,-0.0742916267650198,0,-0.0767163231970674,0,0,0,0,0,0,0,0,0.129200341319578,0,0,0.00530294221511595,0,0,0,0,0,0,0,0,-1.435210705501e-05,-0.0339496849064062,-0.124057426151468,0,0,0.0293860572642021,0,0
X002415.SZ,0,0,0,0,-0.0266412242238715,0.128222008824927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147222071709383,0,0,0,0,0,0,0,0,0,0,0,0.0541407464722498,0,0.0348859123036361,0.168376845990743,0,0.0428874526439772,0,0,0,0,0,0,0,-0.0358393102003682,0,0,0,0.0782825100682054,0,-0.0822707325934849,0,0,0.0214291413306289,0,0
X002475.SZ,0,0,0,0,0,0,-0.023647758480607,0,0,0,0,0,0,-0.134427255558764,0,0,0,-0.0729910655435357,0,0,-0.100828076855849,0.0261585365105571,0,0.422932481836185,0,0,0,0,0,0.236705775108106,0.134128308730276,0.0199487378396695,0,0.264899719954562,0,0.133199586822599,0,0,0,0.014439274759866,0,0,0,0,0,0,0,0.0512822751353685,0,0,0,0.0160448529826607,0,0,0,0,-0.0591152471016587,0,0
X600690.SH,0,0,0,0,0,0,0,0.363420148680243,0,-0.12017832672576,0,0,0.0790476292096125,0,0,0,0,0,0.168317812733389,0,0,-0.0957432988295892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170860817022276,0,0,0,0.200144467521724,-0.0806020649717194,0,0,0,0,0,0,0,0.0252284924076235,0,0,-0.0107812545716764,-0.106256421527344,0,0,-0.0334675895012071,0,0
X003816.SZ,0,0,0,0,0,0,0,0,-0.0757708633868883,0,0,0,-0.126516112609093,0,0,0,0,-0.143532684498793,-0.0342066542459147,0,0,0,0,0,0,0,-0.0765090031777241,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.316623975014712,0,0,-0.00417515055546323,0,0,0,-0.0158655154944938,0,0
X000651.SZ,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0840069611922356,0,0,0,0,0,-0.0294387302401244,0,0,0,0,0,0,0,0.111101470644943,-0.0189938259892276,-0.0603545961512957,0,0,0,0,0,0,0,0,0,0.102514078315646,0,0,0,0,0,0,0,0,0.0654693714750692,0,0,0,0.061655501781408,0,0,-0.0310694298888587,0,0
X600809.SH,0.29688440521841,0,0,0,0,0.0558150003320504,0.114708352681202,0,0,0,0.0381138373017759,0,0,0,0,0,0,0,0.0598030435432624,0.353026349711206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321730359780782,0,0,0.207192894838947,0,0,0,0,0,0,0,0.132514568447706,0,0,-0.00406374179968201,0,0
X000568.SZ,0.471501170616556,0.0982772275018309,0,0,0,0,0,0,0,0,0.0133523949788327,0,0,0,0,0,0,0,0,0.224731754773632,0,0,-0.0410841512934908,0,0,0,0,0,0,0,0.0188269190059494,0,0,0,0,0.0310532709375862,-0.0301455499077691,0,0,0,0,0.0842867076227215,-0.0341193697229511,0,-0.0333012400943693,0,0,0,0.0112475490077843,-0.0440964121661336,0,0,-0.0315460722920664,-0.0558951954898534,0,0,-0.00807784130151887,0,0
